year,week,incidence
2007,50,1.67351
2007,51,1.95096
2007,52,2.50019
2008,1,2.43939
2008,2,2.29319
2008,3,2.62907
2008,4,3.92966
2008,5,4.99202
2008,6,5.7776
2008,7,5.98318
2008,8,5.61677
2008,9,4.53234
2008,10,3.83249
2008,11,3.21522
2008,12,2.69245
2008,13,2.03366
2008,14,1.65275
2008,15,1.3113
2008,16,1.1652
2008,17,1.02035
2008,18,0.877607
2008,19,0.825107
2008,20,0.787315
2008,21,0.805439
2008,22,0.886061
2008,23,0.743743
2008,24,0.706842
2008,25,0.655943
2008,26,0.633492
2008,27,0.571837
2008,28,0.558278
2008,29,0.597893
2008,30,0.577222
2008,31,0.596987
2008,32,0.564653
2008,33,0.585682
2008,34,0.503985
2008,35,0.468139
2008,36,0.576455
2008,37,0.681361
2008,38,0.794764
2008,39,0.868116
2008,40,1.06828
2008,41,1.00756
2008,42,0.979399
2008,43,1.04943
2008,44,1.13218
2008,45,1.13156
2008,46,1.15469
2008,47,1.20448
2008,48,1.36081
2008,49,1.30322
2008,50,1.30204
2008,51,1.45109
2008,52,1.79927
2009,1,1.47138
2009,2,1.61555
2009,3,1.95333
2009,4,2.42907
2009,5,2.96686
2009,6,3.57354
2009,7,3.36653
2009,8,3.2962
2009,9,3.17227
2009,10,2.5804
2009,11,2.42922
2009,12,1.99028
2009,13,1.72423
2009,14,1.60355
2009,15,1.28418
2009,16,1.2932
2009,17,2.74012
2009,18,2.22391
2009,19,1.76657
2009,20,1.92171
2009,21,1.8611
2009,22,1.68423
2009,23,1.7393
2009,24,1.83001
2009,25,1.58128
2009,26,1.49172
2009,27,1.389
2009,28,1.34702
2009,29,1.16056
2009,30,1.2085
2009,31,1.15544
2009,32,1.14518
2009,33,1.4664
2009,34,2.38017
2009,35,3.44681
2009,36,4.05315
2009,37,4.26621
2009,38,4.21579
2009,39,4.8861
2009,40,6.06923
2009,41,7.09467
2009,42,7.7151
2009,43,7.55134
2009,44,6.67118
2009,45,5.20633
2009,46,4.04477
2009,47,3.49722
2009,48,2.69023
2009,49,2.47119
2009,50,2.44773
2009,51,2.64594
2009,52,2.61567
2010,1,1.90712
2010,2,1.86738
2010,3,1.88072
2010,4,1.96908
2010,5,2.11387
2010,6,2.09695
