week,cases,incidence
2013-42,295,754.630103346
2013-43,265,786.5368633504
2013-44,253,666.1751540365
2013-45,354,816.0630719934
2013-46,365,887.0418975406
2013-47,380,833.1871601473
2013-48,373,817.8389756183
2013-49,411,998.8334791484
2013-50,434,832.6298825877
2013-51,147,612.3214062565
2013-52,0,0
2014-01,14,147.1670345843
2014-02,369,683.2447645676
2014-03,425,755.7436517533
2014-04,478,917.0439720666
2014-05,462,1012.980178916
2014-06,501,1014.7657531749
2014-07,634,1087.6464634335
2014-08,367,831.3323970462
2014-09,523,1005.4405290578
2014-10,526,1037.0049090156
2014-11,615,1137.3513583489
2014-12,474,955.5488358028
2014-13,435,873.7747067331
2014-14,132,434.3962878863
2014-15,0,0
