week,incidence
2017-42,552.5599273931
2017-43,508.1402734597
2017-44,430.2752755272
2017-45,688.8901862339
2017-46,594.9406249256
2017-47,613.9787249233
2017-48,654.4346874182
2017-49,628.1174949196
2017-50,806.4025934556
2017-51,849.842253361
2017-52,483.3697778801
2018-01,944.2482962476
2018-02,1014.6843402765
2018-03,1152.2383793633
2018-04,1357.8151519827
2018-05,1497.1779384098
2018-06,1729.7891687285
2018-07,1792.895070094
2018-08,1480.5178715233
2018-09,1428.7338462122
2018-10,1331.1721203526
2018-11,937.9934930269
2018-12,811.9816270109
2018-13,639.5134013586
2018-14,221.4233614671
2018-15,102.2875209224
