week,cases,incidence
2016-42,319,812.0561056946
2016-43,213,593.1165070172
2016-44,258,696.6195053462
2016-45,315,762.7488013947
2016-46,330,864.8025367541
2016-47,319,789.4671715297
2016-48,301,770.7869196692
2016-49,258,642.2064021506
2016-50,411,920.1011887439
2016-51,432,1075.3223477871
2016-52,39,724.2339832869
2017-01,451,1405.9918321539
2017-02,987,1795.4268459062
2017-03,733,1471.2671363481
2017-04,727,1452.431374116
2017-05,722,1369.3433979441
2017-06,516,1299.4535243899
2017-07,418,950.6697900794
2017-08,259,617.3280896198
2017-09,304,627.2697259822
2017-10,227,488.6975242196
2017-11,216,496.0385807785
2017-12,164,468.2770829764
2017-13,142,383.4107355006
2017-14,28,152.1573741985
2017-15,0,0
