week,incidence
2017-42,564.6194084644
2017-43,529.2589894418
2017-44,439.7010371811
2017-45,703.0894876282999
2017-46,614.851500056
2017-47,638.6652066059
2017-48,685.6660550682001
2017-49,666.5149081464999
2017-50,852.4956805401
2017-51,905.4334442954
2017-52,546.1756292919
2018-01,1042.8052932588
2018-02,1174.3236521827
2018-03,1407.7750062798
2018-04,1689.9449718546
2018-05,1925.5083589616002
2018-06,2309.9062243764
2018-07,2368.3690217542
2018-08,2120.1490607783
2018-09,2072.3071913814
2018-10,2083.8052925814
2018-11,1503.5097119050001
2018-12,1162.2942606694
2018-13,848.3113374293
2018-14,292.5874368769
2018-15,130.5744636696
