week,incidence
2013-42,40.8513092444
2013-43,33.6422546719
2013-44,11.5602824266
2013-45,40.9056147402
2013-46,35.2639636695
2013-47,43.3928472808
2013-48,42.7798853822
2013-49,40.5418296289
2013-50,40.1692025184
2013-51,35.5414142098
2013-52,32.0130897967
2014-01,19.4318137655
2014-02,25.6132726326
2014-03,30.4640693227
2014-04,33.6422546719
2014-05,92.6350996852
2014-06,150.5169181016
2014-07,211.5979984911
2014-08,281.2172088143
2014-09,310.6314229084
2014-10,266.9317575155
2014-11,164.6490756618
2014-12,121.4564863547
2014-13,83.1059811123
2014-14,67.6979318282
2014-15,33.0340834013
