week,incidence
2010-42,36.0965372508
2010-43,40.1209801864
2010-44,36.6428488149
2010-45,20.0251515904
2010-46,44.3045353853
2010-47,48.8054857366
2010-48,49.8856071422
2010-49,103.2793251316
2010-50,165.859932979
2010-51,233.7505011986
2010-52,262.8198213217
2011-01,491.3085564151
2011-02,455.2188136535
2011-03,424.3908126385
2011-04,471.8044382263
2011-05,430.7726293699
2011-06,389.519539572
2011-07,327.4187567555
2011-08,171.4152976138
2011-09,118.5488974152
2011-10,68.7788231767
2011-11,60.4152755255
2011-12,36.152971157
2011-13,33.7915947854
2011-14,29.6178451748
2011-15,22.0444946079
