week,incidence
2011-42,43.0048337433
2011-43,49.7521438651
2011-44,29.6976776416
2011-45,47.8636254855
2011-46,55.7159969913
2011-47,39.9297978438
2011-48,44.0889892158
2011-49,57.3985883535
2011-50,44.5727975931
2011-51,46.8445510418
2011-52,34.6051662164
2012-01,68.3276800312
2012-02,55.7679466389
2012-03,73.3085138496
2012-04,71.9112996133
2012-05,134.699679251
2012-06,251.2451413623
2012-07,530.5706220534
2012-08,506.0044304535
2012-09,454.7044421126
2012-10,318.4388480821
2012-11,257.4226033654
2012-12,116.7662072285
2012-13,66.2335439411
2012-14,51.5454428306
2012-15,20.9863588667
