week,incidence
2015-42,793.1136478978001
2015-43,737.5833477099001
2015-44,677.9302957021999
2015-45,669.8390599955
2015-46,728.633475213
2015-47,743.6951598306999
2015-48,723.5338507445
2015-49,827.0344875553
2015-50,816.5160355633
2015-51,755.7999153104998
2015-52,40.1209801864
2016-01,694.329042387
2016-02,868.0327276381
2016-03,1165.8926715832
2016-04,1438.5216394007
2016-05,1928.9316697037998
2016-06,2121.7288844131003
2016-07,1900.7310513052
2016-08,2157.5512935084002
2016-09,1981.6335044771
2016-10,1757.5541860055
2016-11,1702.4812620482999
2016-12,975.9299699978001
2016-13,527.0372168148
2016-14,404.98379371190003
2016-15,22.4126162654
