week,incidence
2012-42,739.5161173834
2012-43,655.3357671074
2012-44,536.0076191394
2012-45,785.3412857787
2012-46,877.9926863098
2012-47,886.1385188981
2012-48,773.8334597053001
2012-49,811.8281137509
2012-50,810.3745893765
2012-51,611.1231003637
2012-52,463.013287547
2013-01,708.6482204629999
2013-02,1234.4968620123
2013-03,1540.2180698025
2013-04,1949.3462710837
2013-05,2410.2955941993
2013-06,2844.2264922834
2013-07,2460.4289953371
2013-08,2300.9815261853
2013-09,2132.1864841884003
2013-10,1719.4989881294
2013-11,1497.7653155696
2013-12,1242.3317711451002
2013-13,1129.2594052635
2013-14,556.288973166
2013-15,545.8731522382
