month,total.desktop-site,timeRange.start,timeRange.end,total.mobile-site
2007-12-01T00:00:00.000Z,2998331524,2007-12-01T00:00:00.000Z,2008-01-01T00:00:00.000Z,
2008-01-01T00:00:00.000Z,4930902570,2008-01-01T00:00:00.000Z,2008-02-01T00:00:00.000Z,
2008-02-01T00:00:00.000Z,4818393763,2008-02-01T00:00:00.000Z,2008-03-01T00:00:00.000Z,
2008-03-01T00:00:00.000Z,4955405809,2008-03-01T00:00:00.000Z,2008-04-01T00:00:00.000Z,
2008-04-01T00:00:00.000Z,5159162183,2008-04-01T00:00:00.000Z,2008-05-01T00:00:00.000Z,
2008-05-01T00:00:00.000Z,5584691092,2008-05-01T00:00:00.000Z,2008-06-01T00:00:00.000Z,
2008-06-01T00:00:00.000Z,5712104279,2008-06-01T00:00:00.000Z,2008-07-01T00:00:00.000Z,
2008-07-01T00:00:00.000Z,5306302874,2008-07-01T00:00:00.000Z,2008-08-01T00:00:00.000Z,
2008-08-01T00:00:00.000Z,5140155519,2008-08-01T00:00:00.000Z,2008-09-01T00:00:00.000Z,
2008-09-01T00:00:00.000Z,5479533823,2008-09-01T00:00:00.000Z,2008-10-01T00:00:00.000Z,
2008-10-01T00:00:00.000Z,5679440782,2008-10-01T00:00:00.000Z,2008-11-01T00:00:00.000Z,
2008-11-01T00:00:00.000Z,5415832071,2008-11-01T00:00:00.000Z,2008-12-01T00:00:00.000Z,
2008-12-01T00:00:00.000Z,5211708451,2008-12-01T00:00:00.000Z,2009-01-01T00:00:00.000Z,
2009-01-01T00:00:00.000Z,5802681551,2009-01-01T00:00:00.000Z,2009-02-01T00:00:00.000Z,
2009-02-01T00:00:00.000Z,5547320860,2009-02-01T00:00:00.000Z,2009-03-01T00:00:00.000Z,
2009-03-01T00:00:00.000Z,6295159057,2009-03-01T00:00:00.000Z,2009-04-01T00:00:00.000Z,
2009-04-01T00:00:00.000Z,5988817321,2009-04-01T00:00:00.000Z,2009-05-01T00:00:00.000Z,
2009-05-01T00:00:00.000Z,6267516733,2009-05-01T00:00:00.000Z,2009-06-01T00:00:00.000Z,
2009-06-01T00:00:00.000Z,5818924182,2009-06-01T00:00:00.000Z,2009-07-01T00:00:00.000Z,
2009-07-01T00:00:00.000Z,5801646978,2009-07-01T00:00:00.000Z,2009-08-01T00:00:00.000Z,
2009-08-01T00:00:00.000Z,5790850384,2009-08-01T00:00:00.000Z,2009-09-01T00:00:00.000Z,
2009-09-01T00:00:00.000Z,4057515768,2009-09-01T00:00:00.000Z,2009-10-01T00:00:00.000Z,
2009-10-01T00:00:00.000Z,6016107147,2009-10-01T00:00:00.000Z,2009-11-01T00:00:00.000Z,
2009-11-01T00:00:00.000Z,5768486910,2009-11-01T00:00:00.000Z,2009-12-01T00:00:00.000Z,
2009-12-01T00:00:00.000Z,5426505977,2009-12-01T00:00:00.000Z,2010-01-01T00:00:00.000Z,
2010-01-01T00:00:00.000Z,5703465285,2010-01-01T00:00:00.000Z,2010-02-01T00:00:00.000Z,
2010-02-01T00:00:00.000Z,5762451418,2010-02-01T00:00:00.000Z,2010-03-01T00:00:00.000Z,
2010-03-01T00:00:00.000Z,6661347946,2010-03-01T00:00:00.000Z,2010-04-01T00:00:00.000Z,
2010-04-01T00:00:00.000Z,6618552152,2010-04-01T00:00:00.000Z,2010-05-01T00:00:00.000Z,
2010-05-01T00:00:00.000Z,6410578775,2010-05-01T00:00:00.000Z,2010-06-01T00:00:00.000Z,
2010-06-01T00:00:00.000Z,4898035014,2010-06-01T00:00:00.000Z,2010-07-01T00:00:00.000Z,
2010-07-01T00:00:00.000Z,5296177638,2010-07-01T00:00:00.000Z,2010-08-01T00:00:00.000Z,
2010-08-01T00:00:00.000Z,7381346660,2010-08-01T00:00:00.000Z,2010-09-01T00:00:00.000Z,
2010-09-01T00:00:00.000Z,7546488744,2010-09-01T00:00:00.000Z,2010-10-01T00:00:00.000Z,
2010-10-01T00:00:00.000Z,10172844562,2010-10-01T00:00:00.000Z,2010-11-01T00:00:00.000Z,
2010-11-01T00:00:00.000Z,6948678354,2010-11-01T00:00:00.000Z,2010-12-01T00:00:00.000Z,
2010-12-01T00:00:00.000Z,7001952100,2010-12-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,
2011-01-01T00:00:00.000Z,7568511227,2011-01-01T00:00:00.000Z,2011-02-01T00:00:00.000Z,
2011-02-01T00:00:00.000Z,6906248849,2011-02-01T00:00:00.000Z,2011-03-01T00:00:00.000Z,
2011-03-01T00:00:00.000Z,7326545928,2011-03-01T00:00:00.000Z,2011-04-01T00:00:00.000Z,
2011-04-01T00:00:00.000Z,6835492088,2011-04-01T00:00:00.000Z,2011-05-01T00:00:00.000Z,
2011-05-01T00:00:00.000Z,7009799378,2011-05-01T00:00:00.000Z,2011-06-01T00:00:00.000Z,
2011-06-01T00:00:00.000Z,6536675534,2011-06-01T00:00:00.000Z,2011-07-01T00:00:00.000Z,
2011-07-01T00:00:00.000Z,6571730164,2011-07-01T00:00:00.000Z,2011-08-01T00:00:00.000Z,
2011-08-01T00:00:00.000Z,6514500361,2011-08-01T00:00:00.000Z,2011-09-01T00:00:00.000Z,
2011-09-01T00:00:00.000Z,5837738935,2011-09-01T00:00:00.000Z,2011-10-01T00:00:00.000Z,
2011-10-01T00:00:00.000Z,6974424665,2011-10-01T00:00:00.000Z,2011-11-01T00:00:00.000Z,
2011-11-01T00:00:00.000Z,7507641641,2011-11-01T00:00:00.000Z,2011-12-01T00:00:00.000Z,
2011-12-01T00:00:00.000Z,6396357939,2011-12-01T00:00:00.000Z,2012-01-01T00:00:00.000Z,
2012-01-01T00:00:00.000Z,7808477339,2012-01-01T00:00:00.000Z,2012-02-01T00:00:00.000Z,
2012-02-01T00:00:00.000Z,7530127141,2012-02-01T00:00:00.000Z,2012-03-01T00:00:00.000Z,
2012-03-01T00:00:00.000Z,7358543625,2012-03-01T00:00:00.000Z,2012-04-01T00:00:00.000Z,
2012-04-01T00:00:00.000Z,7220029422,2012-04-01T00:00:00.000Z,2012-05-01T00:00:00.000Z,
2012-05-01T00:00:00.000Z,7784479302,2012-05-01T00:00:00.000Z,2012-06-01T00:00:00.000Z,
2012-06-01T00:00:00.000Z,7524265988,2012-06-01T00:00:00.000Z,2012-07-01T00:00:00.000Z,
2012-07-01T00:00:00.000Z,7819376527,2012-07-01T00:00:00.000Z,2012-08-01T00:00:00.000Z,
2012-08-01T00:00:00.000Z,7885641059,2012-08-01T00:00:00.000Z,2012-09-01T00:00:00.000Z,
2012-09-01T00:00:00.000Z,7913689733,2012-09-01T00:00:00.000Z,2012-10-01T00:00:00.000Z,
2012-10-01T00:00:00.000Z,8379960050,2012-10-01T00:00:00.000Z,2012-11-01T00:00:00.000Z,
2012-11-01T00:00:00.000Z,8219987195,2012-11-01T00:00:00.000Z,2012-12-01T00:00:00.000Z,
2012-12-01T00:00:00.000Z,8033826900,2012-12-01T00:00:00.000Z,2013-01-01T00:00:00.000Z,
2013-01-01T00:00:00.000Z,9126210673,2013-01-01T00:00:00.000Z,2013-02-01T00:00:00.000Z,
2013-02-01T00:00:00.000Z,8100597857,2013-02-01T00:00:00.000Z,2013-03-01T00:00:00.000Z,
2013-03-01T00:00:00.000Z,8701419671,2013-03-01T00:00:00.000Z,2013-04-01T00:00:00.000Z,
2013-04-01T00:00:00.000Z,8049296729,2013-04-01T00:00:00.000Z,2013-05-01T00:00:00.000Z,
2013-05-01T00:00:00.000Z,8089099883,2013-05-01T00:00:00.000Z,2013-06-01T00:00:00.000Z,
2013-06-01T00:00:00.000Z,7759959725,2013-06-01T00:00:00.000Z,2013-07-01T00:00:00.000Z,
2013-07-01T00:00:00.000Z,8237301982,2013-07-01T00:00:00.000Z,2013-08-01T00:00:00.000Z,
2013-08-01T00:00:00.000Z,9306122925,2013-08-01T00:00:00.000Z,2013-09-01T00:00:00.000Z,
2013-09-01T00:00:00.000Z,9985326806,2013-09-01T00:00:00.000Z,2013-10-01T00:00:00.000Z,
2013-10-01T00:00:00.000Z,10775158269,2013-10-01T00:00:00.000Z,2013-11-01T00:00:00.000Z,
2013-11-01T00:00:00.000Z,10414877805,2013-11-01T00:00:00.000Z,2013-12-01T00:00:00.000Z,
2013-12-01T00:00:00.000Z,7102459747,2013-12-01T00:00:00.000Z,2014-01-01T00:00:00.000Z,
2014-01-01T00:00:00.000Z,7026531269,2014-01-01T00:00:00.000Z,2014-02-01T00:00:00.000Z,
2014-02-01T00:00:00.000Z,6718243109,2014-02-01T00:00:00.000Z,2014-03-01T00:00:00.000Z,
2014-03-01T00:00:00.000Z,7464128273,2014-03-01T00:00:00.000Z,2014-04-01T00:00:00.000Z,
2014-04-01T00:00:00.000Z,7216245221,2014-04-01T00:00:00.000Z,2014-05-01T00:00:00.000Z,
2014-05-01T00:00:00.000Z,7543277646,2014-05-01T00:00:00.000Z,2014-06-01T00:00:00.000Z,
2014-06-01T00:00:00.000Z,6577352648,2014-06-01T00:00:00.000Z,2014-07-01T00:00:00.000Z,
2014-07-01T00:00:00.000Z,6761059566,2014-07-01T00:00:00.000Z,2014-08-01T00:00:00.000Z,
2014-08-01T00:00:00.000Z,6687313714,2014-08-01T00:00:00.000Z,2014-09-01T00:00:00.000Z,
2014-09-01T00:00:00.000Z,7564600999,2014-09-01T00:00:00.000Z,2014-10-01T00:00:00.000Z,
2014-10-01T00:00:00.000Z,6577533128,2014-10-01T00:00:00.000Z,2014-11-01T00:00:00.000Z,3091546685
2014-11-01T00:00:00.000Z,6153537606,2014-11-01T00:00:00.000Z,2014-12-01T00:00:00.000Z,3027489668
2014-12-01T00:00:00.000Z,5830332248,2014-12-01T00:00:00.000Z,2015-01-01T00:00:00.000Z,3278950021
2015-01-01T00:00:00.000Z,6103767055,2015-01-01T00:00:00.000Z,2015-02-01T00:00:00.000Z,3485302091
2015-02-01T00:00:00.000Z,5602710439,2015-02-01T00:00:00.000Z,2015-03-01T00:00:00.000Z,3091534479
2015-03-01T00:00:00.000Z,6346602713,2015-03-01T00:00:00.000Z,2015-04-01T00:00:00.000Z,3330832588
2015-04-01T00:00:00.000Z,6198945657,2015-04-01T00:00:00.000Z,2015-05-01T00:00:00.000Z,3222089917
2015-05-01T00:00:00.000Z,6323801814,2015-05-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,3334069483
2015-06-01T00:00:00.000Z,5165413640,2015-06-01T00:00:00.000Z,2015-07-01T00:00:00.000Z,3038162463
2015-07-01T00:00:00.000Z,5229226022,2015-07-01T00:00:00.000Z,2015-08-01T00:00:00.000Z,3254472695
2015-08-01T00:00:00.000Z,5035534449,2015-08-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,3268487582
2015-09-01T00:00:00.000Z,5409631355,2015-09-01T00:00:00.000Z,2015-10-01T00:00:00.000Z,3172429827
2015-10-01T00:00:00.000Z,5535704471,2015-10-01T00:00:00.000Z,2015-11-01T00:00:00.000Z,3246082505
2015-11-01T00:00:00.000Z,5296956116,2015-11-01T00:00:00.000Z,2015-12-01T00:00:00.000Z,3218234512
2015-12-01T00:00:00.000Z,5264446173,2015-12-01T00:00:00.000Z,2016-01-01T00:00:00.000Z,3387411863
2016-01-01T00:00:00.000Z,5569632502,2016-01-01T00:00:00.000Z,2016-02-01T00:00:00.000Z,3739628742
2016-02-01T00:00:00.000Z,5347709361,2016-02-01T00:00:00.000Z,2016-03-01T00:00:00.000Z,3333231392
2016-03-01T00:00:00.000Z,5407676056,2016-03-01T00:00:00.000Z,2016-04-01T00:00:00.000Z,3419853636
2016-04-01T00:00:00.000Z,5572235399,2016-04-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,3301385124
2016-05-01T00:00:00.000Z,5330532334,2016-05-01T00:00:00.000Z,2016-06-01T00:00:00.000Z,3418435805
2016-06-01T00:00:00.000Z,4975092447,2016-06-01T00:00:00.000Z,2016-07-01T00:00:00.000Z,3372618063
2016-07-01T00:00:00.000Z,5363966439,2016-07-01T00:00:00.000Z,2016-08-01T00:00:00.000Z,3500661121
2016-08-01T00:00:00.000Z,913675893,2016-08-01T00:00:00.000Z,2016-09-01T00:00:00.000Z,480041296
