month,total.desktop-site,timeRange.start,timeRange.end,total.mobile-site
2007-12-01T00:00:00.000Z,469835842,2007-12-01T00:00:00.000Z,2008-01-01T00:00:00.000Z,
2008-01-01T00:00:00.000Z,863575077,2008-01-01T00:00:00.000Z,2008-02-01T00:00:00.000Z,
2008-02-01T00:00:00.000Z,805618770,2008-02-01T00:00:00.000Z,2008-03-01T00:00:00.000Z,
2008-03-01T00:00:00.000Z,821957233,2008-03-01T00:00:00.000Z,2008-04-01T00:00:00.000Z,
2008-04-01T00:00:00.000Z,844357513,2008-04-01T00:00:00.000Z,2008-05-01T00:00:00.000Z,
2008-05-01T00:00:00.000Z,827713709,2008-05-01T00:00:00.000Z,2008-06-01T00:00:00.000Z,
2008-06-01T00:00:00.000Z,825055354,2008-06-01T00:00:00.000Z,2008-07-01T00:00:00.000Z,
2008-07-01T00:00:00.000Z,780369890,2008-07-01T00:00:00.000Z,2008-08-01T00:00:00.000Z,
2008-08-01T00:00:00.000Z,804302071,2008-08-01T00:00:00.000Z,2008-09-01T00:00:00.000Z,
2008-09-01T00:00:00.000Z,817672904,2008-09-01T00:00:00.000Z,2008-10-01T00:00:00.000Z,
2008-10-01T00:00:00.000Z,855432765,2008-10-01T00:00:00.000Z,2008-11-01T00:00:00.000Z,
2008-11-01T00:00:00.000Z,1007854264,2008-11-01T00:00:00.000Z,2008-12-01T00:00:00.000Z,
2008-12-01T00:00:00.000Z,1482076522,2008-12-01T00:00:00.000Z,2009-01-01T00:00:00.000Z,
2009-01-01T00:00:00.000Z,1313287179,2009-01-01T00:00:00.000Z,2009-02-01T00:00:00.000Z,
2009-02-01T00:00:00.000Z,916254643,2009-02-01T00:00:00.000Z,2009-03-01T00:00:00.000Z,
2009-03-01T00:00:00.000Z,1010935249,2009-03-01T00:00:00.000Z,2009-04-01T00:00:00.000Z,
2009-04-01T00:00:00.000Z,816911070,2009-04-01T00:00:00.000Z,2009-05-01T00:00:00.000Z,
2009-05-01T00:00:00.000Z,900827289,2009-05-01T00:00:00.000Z,2009-06-01T00:00:00.000Z,
2009-06-01T00:00:00.000Z,908943732,2009-06-01T00:00:00.000Z,2009-07-01T00:00:00.000Z,
2009-07-01T00:00:00.000Z,846000568,2009-07-01T00:00:00.000Z,2009-08-01T00:00:00.000Z,
2009-08-01T00:00:00.000Z,839851733,2009-08-01T00:00:00.000Z,2009-09-01T00:00:00.000Z,
2009-09-01T00:00:00.000Z,602992497,2009-09-01T00:00:00.000Z,2009-10-01T00:00:00.000Z,
2009-10-01T00:00:00.000Z,880828772,2009-10-01T00:00:00.000Z,2009-11-01T00:00:00.000Z,
2009-11-01T00:00:00.000Z,892473405,2009-11-01T00:00:00.000Z,2009-12-01T00:00:00.000Z,
2009-12-01T00:00:00.000Z,783921314,2009-12-01T00:00:00.000Z,2010-01-01T00:00:00.000Z,
2010-01-01T00:00:00.000Z,888038285,2010-01-01T00:00:00.000Z,2010-02-01T00:00:00.000Z,
2010-02-01T00:00:00.000Z,823448165,2010-02-01T00:00:00.000Z,2010-03-01T00:00:00.000Z,
2010-03-01T00:00:00.000Z,836322180,2010-03-01T00:00:00.000Z,2010-04-01T00:00:00.000Z,
2010-04-01T00:00:00.000Z,771419721,2010-04-01T00:00:00.000Z,2010-05-01T00:00:00.000Z,
2010-05-01T00:00:00.000Z,778512486,2010-05-01T00:00:00.000Z,2010-06-01T00:00:00.000Z,
2010-06-01T00:00:00.000Z,596213096,2010-06-01T00:00:00.000Z,2010-07-01T00:00:00.000Z,
2010-07-01T00:00:00.000Z,631180879,2010-07-01T00:00:00.000Z,2010-08-01T00:00:00.000Z,
2010-08-01T00:00:00.000Z,952332186,2010-08-01T00:00:00.000Z,2010-09-01T00:00:00.000Z,
2010-09-01T00:00:00.000Z,1040867552,2010-09-01T00:00:00.000Z,2010-10-01T00:00:00.000Z,
2010-10-01T00:00:00.000Z,1627809061,2010-10-01T00:00:00.000Z,2010-11-01T00:00:00.000Z,
2010-11-01T00:00:00.000Z,995628729,2010-11-01T00:00:00.000Z,2010-12-01T00:00:00.000Z,
2010-12-01T00:00:00.000Z,968407157,2010-12-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,
2011-01-01T00:00:00.000Z,1146508998,2011-01-01T00:00:00.000Z,2011-02-01T00:00:00.000Z,
2011-02-01T00:00:00.000Z,911219090,2011-02-01T00:00:00.000Z,2011-03-01T00:00:00.000Z,
2011-03-01T00:00:00.000Z,1000068078,2011-03-01T00:00:00.000Z,2011-04-01T00:00:00.000Z,
2011-04-01T00:00:00.000Z,868707187,2011-04-01T00:00:00.000Z,2011-05-01T00:00:00.000Z,
2011-05-01T00:00:00.000Z,1032177894,2011-05-01T00:00:00.000Z,2011-06-01T00:00:00.000Z,
2011-06-01T00:00:00.000Z,963032634,2011-06-01T00:00:00.000Z,2011-07-01T00:00:00.000Z,
2011-07-01T00:00:00.000Z,950102155,2011-07-01T00:00:00.000Z,2011-08-01T00:00:00.000Z,
2011-08-01T00:00:00.000Z,895803744,2011-08-01T00:00:00.000Z,2011-09-01T00:00:00.000Z,
2011-09-01T00:00:00.000Z,763290597,2011-09-01T00:00:00.000Z,2011-10-01T00:00:00.000Z,
2011-10-01T00:00:00.000Z,937347272,2011-10-01T00:00:00.000Z,2011-11-01T00:00:00.000Z,
2011-11-01T00:00:00.000Z,1017247857,2011-11-01T00:00:00.000Z,2011-12-01T00:00:00.000Z,
2011-12-01T00:00:00.000Z,879453223,2011-12-01T00:00:00.000Z,2012-01-01T00:00:00.000Z,
2012-01-01T00:00:00.000Z,1143793098,2012-01-01T00:00:00.000Z,2012-02-01T00:00:00.000Z,
2012-02-01T00:00:00.000Z,1027600446,2012-02-01T00:00:00.000Z,2012-03-01T00:00:00.000Z,
2012-03-01T00:00:00.000Z,1007788513,2012-03-01T00:00:00.000Z,2012-04-01T00:00:00.000Z,
2012-04-01T00:00:00.000Z,946861623,2012-04-01T00:00:00.000Z,2012-05-01T00:00:00.000Z,
2012-05-01T00:00:00.000Z,1008782690,2012-05-01T00:00:00.000Z,2012-06-01T00:00:00.000Z,
