month,total.desktop-site,timeRange.start,timeRange.end,total.mobile-site
2007-12-01T00:00:00.000Z,130893995,2007-12-01T00:00:00.000Z,2008-01-01T00:00:00.000Z,
2008-01-01T00:00:00.000Z,242577625,2008-01-01T00:00:00.000Z,2008-02-01T00:00:00.000Z,
2008-02-01T00:00:00.000Z,232881826,2008-02-01T00:00:00.000Z,2008-03-01T00:00:00.000Z,
2008-03-01T00:00:00.000Z,237641105,2008-03-01T00:00:00.000Z,2008-04-01T00:00:00.000Z,
2008-04-01T00:00:00.000Z,249178385,2008-04-01T00:00:00.000Z,2008-05-01T00:00:00.000Z,
2008-05-01T00:00:00.000Z,295525467,2008-05-01T00:00:00.000Z,2008-06-01T00:00:00.000Z,
2008-06-01T00:00:00.000Z,313295197,2008-06-01T00:00:00.000Z,2008-07-01T00:00:00.000Z,
2008-07-01T00:00:00.000Z,261580612,2008-07-01T00:00:00.000Z,2008-08-01T00:00:00.000Z,
2008-08-01T00:00:00.000Z,234347914,2008-08-01T00:00:00.000Z,2008-09-01T00:00:00.000Z,
2008-09-01T00:00:00.000Z,292094070,2008-09-01T00:00:00.000Z,2008-10-01T00:00:00.000Z,
2008-10-01T00:00:00.000Z,292035801,2008-10-01T00:00:00.000Z,2008-11-01T00:00:00.000Z,
2008-11-01T00:00:00.000Z,295167835,2008-11-01T00:00:00.000Z,2008-12-01T00:00:00.000Z,
2008-12-01T00:00:00.000Z,277901080,2008-12-01T00:00:00.000Z,2009-01-01T00:00:00.000Z,
2009-01-01T00:00:00.000Z,334660552,2009-01-01T00:00:00.000Z,2009-02-01T00:00:00.000Z,
2009-02-01T00:00:00.000Z,309364545,2009-02-01T00:00:00.000Z,2009-03-01T00:00:00.000Z,
2009-03-01T00:00:00.000Z,344749704,2009-03-01T00:00:00.000Z,2009-04-01T00:00:00.000Z,
2009-04-01T00:00:00.000Z,321232353,2009-04-01T00:00:00.000Z,2009-05-01T00:00:00.000Z,
2009-05-01T00:00:00.000Z,334957264,2009-05-01T00:00:00.000Z,2009-06-01T00:00:00.000Z,
2009-06-01T00:00:00.000Z,338916224,2009-06-01T00:00:00.000Z,2009-07-01T00:00:00.000Z,
2009-07-01T00:00:00.000Z,312223726,2009-07-01T00:00:00.000Z,2009-08-01T00:00:00.000Z,
2009-08-01T00:00:00.000Z,290587441,2009-08-01T00:00:00.000Z,2009-09-01T00:00:00.000Z,
2009-09-01T00:00:00.000Z,239500494,2009-09-01T00:00:00.000Z,2009-10-01T00:00:00.000Z,
2009-10-01T00:00:00.000Z,338974899,2009-10-01T00:00:00.000Z,2009-11-01T00:00:00.000Z,
2009-11-01T00:00:00.000Z,331293298,2009-11-01T00:00:00.000Z,2009-12-01T00:00:00.000Z,
2009-12-01T00:00:00.000Z,302144775,2009-12-01T00:00:00.000Z,2010-01-01T00:00:00.000Z,
2010-01-01T00:00:00.000Z,341192502,2010-01-01T00:00:00.000Z,2010-02-01T00:00:00.000Z,
2010-02-01T00:00:00.000Z,335092692,2010-02-01T00:00:00.000Z,2010-03-01T00:00:00.000Z,
2010-03-01T00:00:00.000Z,322742716,2010-03-01T00:00:00.000Z,2010-04-01T00:00:00.000Z,
2010-04-01T00:00:00.000Z,310040900,2010-04-01T00:00:00.000Z,2010-05-01T00:00:00.000Z,
2010-05-01T00:00:00.000Z,320716886,2010-05-01T00:00:00.000Z,2010-06-01T00:00:00.000Z,
2010-06-01T00:00:00.000Z,254185902,2010-06-01T00:00:00.000Z,2010-07-01T00:00:00.000Z,
2010-07-01T00:00:00.000Z,253881204,2010-07-01T00:00:00.000Z,2010-08-01T00:00:00.000Z,
2010-08-01T00:00:00.000Z,361750042,2010-08-01T00:00:00.000Z,2010-09-01T00:00:00.000Z,
2010-09-01T00:00:00.000Z,434713149,2010-09-01T00:00:00.000Z,2010-10-01T00:00:00.000Z,
