month,total.desktop,total.mobile-app,total.mobile-web,timeRange.start,timeRange.end
2016-01-01T00:00:00.000Z,138408180,2597592,83100446,2016-01-01T00:00:00.000Z,2016-02-01T00:00:00.000Z
2016-02-01T00:00:00.000Z,123748271,2189416,71659978,2016-02-01T00:00:00.000Z,2016-03-01T00:00:00.000Z
2016-03-01T00:00:00.000Z,126259760,2444916,70557294,2016-03-01T00:00:00.000Z,2016-04-01T00:00:00.000Z
2016-04-01T00:00:00.000Z,131828352,1765669,66254019,2016-04-01T00:00:00.000Z,2016-05-01T00:00:00.000Z
2016-05-01T00:00:00.000Z,147520779,2520371,70048692,2016-05-01T00:00:00.000Z,2016-06-01T00:00:00.000Z
2016-06-01T00:00:00.000Z,129151458,2442754,69478903,2016-06-01T00:00:00.000Z,2016-07-01T00:00:00.000Z
2016-07-01T00:00:00.000Z,110081917,2483753,69833390,2016-07-01T00:00:00.000Z,2016-08-01T00:00:00.000Z
2016-08-01T00:00:00.000Z,111021328,2500152,74536598,2016-08-01T00:00:00.000Z,2016-09-01T00:00:00.000Z
2016-09-01T00:00:00.000Z,113700757,2017778,69359629,2016-09-01T00:00:00.000Z,2016-10-01T00:00:00.000Z
2016-10-01T00:00:00.000Z,120174161,1806047,74338361,2016-10-01T00:00:00.000Z,2016-11-01T00:00:00.000Z
2016-11-01T00:00:00.000Z,125147756,2149145,77638167,2016-11-01T00:00:00.000Z,2016-12-01T00:00:00.000Z
2016-12-01T00:00:00.000Z,117229575,4280083,81698630,2016-12-01T00:00:00.000Z,2017-01-01T00:00:00.000Z
2017-01-01T00:00:00.000Z,140739857,8460047,86410551,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
2017-02-01T00:00:00.000Z,118638013,7079858,71316263,2017-02-01T00:00:00.000Z,2017-03-01T00:00:00.000Z
2017-03-01T00:00:00.000Z,145902612,6238796,79515252,2017-03-01T00:00:00.000Z,2017-04-01T00:00:00.000Z
2017-04-01T00:00:00.000Z,111567497,2883751,74350385,2017-04-01T00:00:00.000Z,2017-05-01T00:00:00.000Z
2017-05-01T00:00:00.000Z,132826836,2784297,77342888,2017-05-01T00:00:00.000Z,2017-06-01T00:00:00.000Z
2017-06-01T00:00:00.000Z,111729040,2667349,70990655,2017-06-01T00:00:00.000Z,2017-07-01T00:00:00.000Z
2017-07-01T00:00:00.000Z,89693962,2954124,71345588,2017-07-01T00:00:00.000Z,2017-08-01T00:00:00.000Z
2017-08-01T00:00:00.000Z,103877062,3233767,74471734,2017-08-01T00:00:00.000Z,2017-09-01T00:00:00.000Z
2017-09-01T00:00:00.000Z,109439016,2696725,69355074,2017-09-01T00:00:00.000Z,2017-10-01T00:00:00.000Z
2017-10-01T00:00:00.000Z,112500294,2801875,72671348,2017-10-01T00:00:00.000Z,2017-11-01T00:00:00.000Z
2017-11-01T00:00:00.000Z,114669490,2709197,73441573,2017-11-01T00:00:00.000Z,2017-12-01T00:00:00.000Z
2017-12-01T00:00:00.000Z,102004440,3005313,79924728,2017-12-01T00:00:00.000Z,2018-01-01T00:00:00.000Z
2018-01-01T00:00:00.000Z,104774992,3083621,83601578,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
2018-02-01T00:00:00.000Z,95802205,2691782,76657957,2018-02-01T00:00:00.000Z,2018-03-01T00:00:00.000Z
2018-03-01T00:00:00.000Z,109411959,2803719,80567774,2018-03-01T00:00:00.000Z,2018-04-01T00:00:00.000Z
2018-04-01T00:00:00.000Z,95393042,2705818,76395596,2018-04-01T00:00:00.000Z,2018-05-01T00:00:00.000Z
