Week,1960-1969,Afweer,Aids,Amantadine,Antigene_drift,Antigene_shift,Astma,Aviaire_influenza,Azerbeidzjan,Aziatische_griep,Bloedtransfusie,Borstvoeding,Buikgriep,COPD,Cytostaticum,Darminfectie,Diabetes_mellitus,Ebola,Echinacea_(plant),Eerste_Wereldoorlog,Eiwitmantel,Endemie_(geneeskunde),Epidemie,Genetica,Griep,Griepprik,H1N1,H2N2,H3N2,H5N1,H5N2,H7N9,Hemagglutinine,Hiv,Hoest,Hoesten,Hong_Kong_griep,Hongkong,Hongkonggriep,Hoofdpijn,Immuundeficiëntie,Immuunsysteem,Incubatieperiode,Infectie,Infectieziekte,Influenza,Influenzavirus_A,Keel_(anatomie),Keelpijn,Koorts,Koude_rilling,Koude_rillingen,La_Gloria_(Veracruz),Lijst_van_longziekten,Marburgvirus,Mexicaanse_griep,Morbiditeitsgraad,Mortaliteit,Mutatie_(biologie),Neuraminidase,Opportunistische_infectie,Orthomyxovirus,Oseltamivir,Palmitoylethanolamide,Pandemie,Pandemrix,Pathogeen,Pokken,Pulmonologie,Recombinatie_(genetica),SARS,Spaanse_griep,Spierpijn,Steenpuist,Symptoom,Vaccin,Varkensgriep,Verkoudheid,Virologie,Virulentie,Virus_(biologie),Virusinfectie,Vogelgriep,Vogelpest,Wereldgezondheidsorganisatie,Ziekte
2009-01,,59.0,,,13.0,29.0,,25.0,354.0,34.0,130.0,335.0,1040.0,,51.0,74.0,,,0.0,2614.0,19.0,0.0,,,1704.0,19.0,,,,,,,29.0,,394.0,89.0,2.0,,41.0,444.0,1.0,501.0,141.0,416.0,273.0,,,0.0,0.0,2661.0,309.0,6.0,0.0,0.0,,0.0,17.0,83.0,0.0,,53.0,,,,,,138.0,,0.0,0.0,,279.0,340.0,935.0,219.0,,0.0,980.0,34.0,61.0,0.0,0.0,23.0,112.0,188.0,492.0
2009-02,,185.0,,,41.0,53.0,,36.0,980.0,86.0,420.0,604.0,562.0,,139.0,149.0,,,0.0,6070.0,35.0,0.0,,,3511.0,79.0,,,,,,,66.0,,772.0,218.0,6.0,,119.0,827.0,4.0,1369.0,199.0,1090.0,634.0,,,0.0,2.0,6106.0,712.0,5.0,0.0,0.0,,0.0,44.0,224.0,0.0,,139.0,,,,,,400.0,,0.0,0.0,,671.0,774.0,1835.0,476.0,,0.0,2153.0,152.0,115.0,0.0,0.0,55.0,299.0,527.0,1232.0
2009-03,,349.0,,,66.0,150.0,,86.0,861.0,151.0,508.0,712.0,1595.0,,211.0,147.0,,,0.0,3026.0,43.0,0.0,,,12189.0,155.0,,,,,,,98.0,,638.0,398.0,10.0,,1293.0,1068.0,0.0,1529.0,525.0,1267.0,796.0,,,0.0,3.0,7288.0,650.0,7.0,0.0,0.0,,0.0,38.0,276.0,0.0,,145.0,,,,,,378.0,,0.0,0.0,,959.0,957.0,2162.0,519.0,,0.0,2265.0,127.0,132.0,0.0,0.0,93.0,346.0,553.0,1467.0
2009-04,,297.0,,,43.0,86.0,,99.0,896.0,125.0,494.0,627.0,1330.0,,539.0,169.0,,,0.0,3152.0,51.0,0.0,,,10257.0,105.0,,,,,,,70.0,,695.0,207.0,4.0,,460.0,1058.0,1.0,1661.0,238.0,1175.0,722.0,,,0.0,6.0,6564.0,638.0,5.0,0.0,0.0,,0.0,31.0,254.0,0.0,,158.0,,,,,,369.0,,1.0,0.0,,975.0,829.0,1983.0,555.0,,0.0,2013.0,118.0,110.0,0.0,1.0,90.0,369.0,549.0,1410.0
2009-05,,208.0,,,32.0,62.0,,70.0,733.0,96.0,560.0,575.0,785.0,,556.0,133.0,,,0.0,6789.0,31.0,0.0,,,7423.0,98.0,,,,,,,70.0,,594.0,196.0,3.0,,212.0,992.0,1.0,1334.0,167.0,1088.0,822.0,,,0.0,6.0,4965.0,579.0,7.0,0.0,0.0,,0.0,21.0,205.0,0.0,,110.0,,,,,,300.0,,0.0,0.0,,755.0,766.0,1892.0,505.0,,0.0,1583.0,128.0,92.0,0.0,0.0,105.0,338.0,573.0,1317.0
2009-06,,209.0,,,33.0,59.0,,69.0,859.0,87.0,585.0,590.0,517.0,,177.0,191.0,,,0.0,6711.0,41.0,0.0,,,5755.0,67.0,,,,,,,64.0,,616.0,182.0,2.0,,176.0,878.0,2.0,1325.0,203.0,1229.0,786.0,,,0.0,4.0,4845.0,586.0,5.0,0.0,0.0,,0.0,27.0,168.0,0.0,,141.0,,,,,,317.0,,1.0,0.0,,761.0,807.0,2025.0,586.0,,0.0,1447.0,107.0,92.0,0.0,0.0,62.0,320.0,564.0,1383.0
2009-07,,199.0,,,14.0,47.0,,65.0,813.0,64.0,520.0,785.0,1954.0,,392.0,131.0,,,0.0,6328.0,40.0,0.0,,,3813.0,53.0,,,,,,,47.0,,566.0,123.0,3.0,,137.0,952.0,0.0,1363.0,457.0,1236.0,680.0,,,0.0,1.0,4252.0,611.0,7.0,0.0,0.0,,0.0,16.0,152.0,0.0,24.0,107.0,,,,,,303.0,,0.0,0.0,,509.0,740.0,1811.0,483.0,,0.0,1241.0,97.0,91.0,0.0,0.0,237.0,425.0,533.0,1297.0
2009-08,,166.0,,,22.0,32.0,,54.0,864.0,61.0,393.0,619.0,1862.0,,427.0,140.0,,,0.0,5420.0,31.0,0.0,,,2438.0,49.0,,,,,,,55.0,,491.0,121.0,3.0,,150.0,978.0,0.0,1156.0,357.0,996.0,635.0,,,0.0,3.0,3728.0,503.0,1.0,0.0,0.0,,0.0,19.0,126.0,0.0,27.0,110.0,,,,,,239.0,,0.0,0.0,,462.0,779.0,1929.0,420.0,,0.0,1148.0,97.0,64.0,0.0,0.0,75.0,357.0,373.0,1240.0
2009-09,,244.0,4377.0,,35.0,41.0,,38.0,739.0,65.0,469.0,599.0,1148.0,,455.0,149.0,,,0.0,5532.0,47.0,0.0,,,865.0,38.0,,,,,,,65.0,,537.0,154.0,4.0,1855.0,127.0,954.0,0.0,1237.0,385.0,1064.0,723.0,,,0.0,5.0,3836.0,487.0,3.0,0.0,0.0,,0.0,20.0,154.0,0.0,56.0,142.0,,,,,,363.0,,0.0,0.0,,464.0,732.0,1857.0,437.0,,0.0,1357.0,84.0,97.0,0.0,0.0,88.0,294.0,387.0,1119.0
2009-10,,279.0,4078.0,,32.0,48.0,,47.0,896.0,67.0,597.0,668.0,405.0,,414.0,155.0,,,0.0,7478.0,43.0,0.0,,,3175.0,63.0,,,,,,,64.0,,568.0,152.0,4.0,2110.0,112.0,958.0,0.0,1444.0,425.0,1218.0,798.0,,,0.0,0.0,3785.0,500.0,8.0,0.0,0.0,,0.0,20.0,150.0,0.0,73.0,140.0,,,,,,318.0,,0.0,0.0,,477.0,885.0,2108.0,497.0,,0.0,1365.0,138.0,101.0,0.0,0.0,95.0,420.0,508.0,1199.0
