Settimana,Totale Medici,Totale Casi,Totale Assistiti,Incidenza Totale
2012-42,912,397,1182583,0.34
2012-43,982,588,1276054,0.46
2012-44,994,665,1293685,0.51
2012-45,1022,920,1328625,0.69
2012-46,1027,1026,1334317,0.77
2012-47,1023,1181,1331392,0.89
2012-48,1047,1461,1360022,1.07
2012-49,1044,1784,1359398,1.31
2012-50,1053,2290,1367740,1.67
2012-51,1010,2940,1314336,2.24
2012-52,993,3306,1291363,2.56
2013-01,1038,4751,1349921,3.52
2013-02,1063,7166,1383479,5.18
2013-03,1056,9114,1372457,6.64
2013-04,1051,11268,1365138,8.25
2013-05,1052,13103,1368661,9.57
2013-06,1042,13532,1353972,9.99
2013-07,1030,13040,1340896,9.72
2013-08,1040,12501,1353079,9.24
2013-09,1040,10360,1348874,7.68
2013-10,1015,7823,1317980,5.94
2013-11,993,5554,1289349,4.31
2013-12,974,4038,1260508,3.2
2013-13,935,2706,1216430,2.22
2013-14,915,1858,1189267,1.56
2013-15,889,1319,1157365,1.14
2013-16,787,809,1110875,0.73
2013-17,831,551,1083322,0.51
