week,incidence
2014-42,49.0331016448
2014-43,27.3310032963
2014-44,38.7223350429
2014-45,43.0670354972
2014-46,46.3798843816
2014-47,37.9468238508
2014-48,48.0363088238
2014-49,52.1773699293
2014-50,72.8826754568
2014-51,121.7471965016
2014-52,79.0065781564
2015-01,91.3682831382
2015-02,137.9205306979
2015-03,118.4593515197
2015-04,145.3304154591
2015-05,139.7232234237
2015-06,152.7330488135
2015-07,160.5878913239
2015-08,161.4606516028
2015-09,134.2367101122
2015-10,131.7357756728
2015-11,88.9328063241
2015-12,84.9133979833
2015-13,76.4186989952
2015-14,54.8768159894
2015-15,55.6630029718
