week,incidence
2012-42,34.4487058769
2012-43,31.6971068193
2012-44,44.6764228351
2012-45,28.6956244487
2012-46,37.729479631
2012-47,29.1036088475
2012-48,32.424743217
2012-49,32.6199772649
2012-50,41.2318506229
2012-51,51.4835084892
2012-52,61.4206744847
2013-01,82.1368378384
2013-02,108.4101238377
2013-03,82.3857169183
2013-04,113.9462771323
2013-05,153.4919416731
2013-06,129.3526701413
2013-07,123.714385952
2013-08,132.3639619648
2013-09,116.5491028328
2013-10,109.1783184704
2013-11,67.129314646
2013-12,66.7325094093
2013-13,76.6670575183
2013-14,56.1619638571
2013-15,67.0647081288
