Week,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,0,3,2,2,1,1,1,2,0,1,4,0
1,0,0,3,0,1,1,0,0,1,1,1,0
2,0,1,5,2,0,1,1,0,0,1,0,0
3,0,1,1,4,4,1,1,2,1,0,2,0
4,0,1,2,1,0,0,0,0,1,0,1,0
5,0,1,0,0,1,0,1,1,0,1,2,0
6,0,1,3,1,1,3,0,0,2,2,3,0
7,2,1,0,2,2,0,1,0,1,0,1,0
8,0,2,0,1,0,4,1,0,1,1,1,0
9,1,2,2,4,0,2,0,1,0,0,1,0
10,0,1,1,0,0,1,1,2,0,4,0,0
11,0,0,2,1,3,1,0,0,0,0,7,0
12,0,0,3,0,0,1,0,1,0,0,0,0
13,0,1,1,2,1,0,0,1,0,1,4,0
14,0,1,2,1,2,0,1,1,0,1,4,0
15,0,0,4,2,3,1,3,2,0,4,3,0
16,0,1,3,1,1,0,1,0,2,1,2,0
17,0,2,0,0,0,2,2,2,6,4,3,0
18,0,3,1,3,0,2,3,3,7,2,0,0
19,0,1,1,0,1,0,3,1,4,1,1,0
20,0,0,0,0,1,1,0,1,1,1,2,0
21,0,1,1,1,3,1,0,2,1,0,0,0
22,0,0,3,1,0,2,0,1,1,0,0,0
23,0,0,1,1,0,1,1,1,0,1,0,0
24,0,0,1,2,0,1,1,3,1,0,0,0
