Week,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,0,4,5,5,6,7,6,6,12,19,17,0
1,0,5,5,6,7,6,7,9,15,12,21,0
2,0,2,6,5,7,6,4,9,6,7,32,0
3,0,4,6,6,5,8,9,8,12,15,44,0
4,0,3,4,7,6,5,6,11,8,15,35,0
5,0,5,4,5,5,9,5,9,5,21,30,0
6,1,4,4,6,5,7,6,7,8,17,22,0
7,4,3,4,6,7,7,9,6,7,13,28,0
8,2,6,5,7,6,6,6,7,4,14,38,0
9,4,3,5,4,7,4,4,13,11,12,25,0
10,5,2,3,5,6,6,5,8,5,28,48,0
11,0,8,2,4,6,5,4,5,4,11,38,4
12,0,3,2,4,5,5,3,7,4,5,4,0
13,0,4,6,6,5,6,6,6,20,8,20,0
14,0,6,5,3,6,6,5,2,13,13,12,0
15,0,4,4,4,3,6,9,7,15,10,8,0
16,0,5,4,4,6,4,5,3,10,10,16,0
17,0,6,5,5,5,6,6,1,3,14,7,0
18,0,3,6,5,5,6,6,6,4,11,9,0
19,0,6,4,4,4,7,6,5,6,5,7,0
20,0,1,4,3,7,4,7,6,7,5,8,0
21,0,3,5,4,3,6,4,5,7,6,7,0
22,0,1,2,5,4,4,2,5,11,3,5,0
23,0,2,1,2,4,5,5,4,7,4,13,0
24,0,3,2,4,4,5,7,5,6,0,2,0
