Week,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,0,1,3,2,4,5,5,5,6,6,7
1,0,3,5,4,3,3,4,6,6,6,6
2,0,2,7,3,4,6,4,4,5,6,6
3,0,0,7,2,1,2,6,4,6,5,7
4,0,2,7,3,3,4,6,5,5,4,6
5,0,0,6,5,2,4,3,4,5,5,7
6,0,1,6,4,6,3,6,2,5,6,7
7,3,3,4,2,2,2,5,6,4,5,7
8,2,1,2,3,1,2,6,5,7,7,7
9,2,2,4,4,2,6,4,6,6,7,5
10,0,2,2,3,4,2,3,2,3,5,6
11,0,1,1,4,6,3,5,4,3,4,7
12,0,0,1,2,5,1,2,2,6,2,3
13,0,1,6,3,4,5,6,5,5,6,8
14,0,0,4,2,5,3,7,6,8,7,7
15,0,1,4,2,4,5,6,6,6,7,7
16,0,4,3,2,5,5,5,4,5,7,8
17,0,5,3,3,3,3,6,4,7,7,5
18,0,1,1,2,0,4,5,5,5,6,5
19,0,0,1,0,4,2,3,3,5,7,5
20,0,1,2,2,2,4,6,2,5,6,6
21,0,1,2,0,1,6,3,3,6,3,6
22,0,2,1,1,1,3,3,4,3,4,2
23,0,1,0,2,1,1,3,3,3,4,3
24,0,1,1,1,1,4,3,2,4,4,3
