Week,Influenza_A_virus_subtype_H9N2,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2011-01,108,10820,4578,5825,34702,8872,318,44205,4184,219,52605,3119,7965,15018,741,408,8177,3136,99,2015,242,2028,10682,450,4113,559,36998679,6438,14727,32867,846,15624
2011-02,89,10908,4809,6874,30002,9512,400,43851,2292,218,51528,1622,9516,16606,767,533,8251,2789,97,1984,292,1691,9003,518,4313,607,42250001,6462,15205,27803,918,15971
2011-03,105,10354,4460,7075,27761,9927,365,45025,2031,203,51625,1397,11400,15356,730,394,3251,3036,107,2072,261,2367,7365,494,6046,561,39547189,7102,15231,22519,1084,17001
2011-04,90,9586,4572,6731,26610,8776,446,41337,3714,177,48457,1424,12868,15007,590,241,1988,2813,87,1858,266,1702,6426,556,8794,680,39323939,7640,12839,17513,986,13734
2011-05,83,8318,4085,6740,25352,7731,437,37463,1873,172,49538,1267,9592,13153,548,184,1394,2274,89,1759,228,1708,5006,512,6700,617,39400293,7924,12131,15720,1039,12504
2011-06,88,9583,4157,6806,25339,8262,354,38652,2008,185,46191,1360,10451,13930,597,195,1390,2263,86,1960,282,1676,6752,572,7218,651,39513553,7895,11942,14838,993,12194
2011-07,84,9465,4169,6649,26005,7836,354,37613,1909,158,46551,1411,11867,13602,575,195,1202,2326,64,1868,331,1725,5645,594,7805,711,37850938,7742,12454,13687,1124,12504
2011-08,100,9113,3944,6693,24802,7953,429,35695,4066,152,43152,1346,10383,11881,504,139,1225,2370,79,1805,295,1631,5152,493,6791,607,37837471,6795,11940,12111,918,12424
2011-09,159,31032,3936,7009,24534,8607,370,33693,2422,147,44430,1396,8047,11162,759,171,1062,2195,79,2214,273,1481,5028,526,5943,553,38363822,5902,12719,11487,907,16241
2011-10,97,10416,5452,7288,23164,8562,428,33034,1551,168,41474,1485,6492,9804,1421,139,829,2370,74,2004,226,1680,4719,518,4672,550,38179688,4640,13420,11804,767,15379
2011-11,82,13305,3579,6490,20377,7586,328,30745,1308,153,34106,1115,5246,8758,1013,124,760,2022,64,2115,234,1145,4699,432,3729,447,37444818,4030,12197,9782,674,12548
2011-12,83,9282,3308,6011,20448,7401,251,29679,1297,130,31590,1129,4311,10630,535,107,744,1926,78,1833,186,967,4843,416,3121,451,36862105,3445,11544,9067,570,12433
2011-13,78,9973,3229,5713,19889,7447,235,28391,1302,117,34222,1175,3607,8050,556,85,764,1882,58,1902,166,1129,5261,401,2397,398,36221693,3116,11675,8978,611,12620
