Week,Influenza_A_virus_subtype_H9N2,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2013-01,428,31207,4330,7348,38197,6882,297,42355,4906,130,65441,3010,16816,15738,757,304,6379,2655,121,2844,229,2821,10682,505,6910,817,76096198,18158,12143,14880,1693,9756
2013-02,157,56765,5725,9225,38751,15310,407,44641,16060,189,125372,5278,20865,16798,1389,992,26965,4219,172,6462,279,4761,30000,896,11122,1335,64597334,36254,21328,19575,3807,14466
2013-03,134,42318,5449,9727,34621,14108,334,46066,10934,130,103034,4497,17005,14144,1347,686,15775,3469,159,5294,881,3584,23422,751,8873,1048,64888381,29514,21877,16427,2582,16264
2013-04,122,35216,5256,8287,35220,11720,491,46202,6422,105,83667,3793,15100,13326,1065,444,6828,5267,157,3839,309,3048,11912,547,8962,872,68499646,22148,20671,15408,2047,14753
2013-05,111,30381,4892,8324,32753,11380,267,44302,4591,89,74700,3595,14704,11642,818,249,3911,3917,117,3405,207,2752,8851,470,8725,761,66490856,17673,21241,14374,1608,17055
2013-06,109,33220,4827,9463,30711,10655,298,42044,3608,79,59515,3079,10417,11848,770,196,3059,3687,119,3161,280,2512,7275,416,6395,737,66266671,13963,19452,39397,1274,15014
2013-07,118,26723,6242,9451,30823,10250,299,44090,2785,84,54611,2811,8719,12795,657,207,1922,4739,98,3071,215,2099,6218,405,8057,743,65913176,11744,19598,40150,1135,14241
2013-08,97,27935,5885,9192,30829,10151,263,41592,3057,103,54231,2705,7838,13348,648,154,2487,4064,123,2600,221,1984,7318,452,7478,698,66865852,11173,18054,33102,956,14745
2013-09,116,27546,5377,9312,29760,10813,303,41475,2767,70,51636,2636,7281,10929,613,152,2059,3772,91,2720,211,1839,7490,509,6098,620,66785338,9420,18808,24382,809,15990
2013-10,101,26780,4962,9590,28481,10764,300,39911,2540,94,49207,2201,6919,10190,559,82,1935,3483,129,2576,199,1780,6504,410,6041,632,67031399,8764,21086,19451,772,15996
2013-11,94,25137,4303,9317,26851,10906,298,40908,2237,94,45029,2182,6284,10310,486,98,1765,3151,112,2415,204,1689,7509,420,5932,528,67206436,8304,20846,18610,694,16080
