Week,14._Februar,1918,1919,1920,1933,1957,1958,1968,1969,1976,1977,1999,2005,AIDS,Acetylsalicylsäure,Adamantan,Adolf_Mayer_(Agronom),Akute_Bronchitis,Akute_Mittelohrentzündung,Alexander_S._Kekulé,Allen_Welsh_Dulles,Allergie,Amantadin,Antibiotikum,Antigen,Antigendrift,Antigenerbsünde,Antigenshift,Antikörper,Asiatische_Grippe,Astrologie,Bakterien,Berna_Biotech,Bertolt_Brecht,Biologische_Schutzstufe,Biologische_Sicherheitsstufe,Blutsenkungsreaktion,Charles_Tomlinson_Griffes,Cholecalciferol,Cholera,Coxsackie-Virus,Denguefieber,Desinfektion,Deutsch-Sowjetischer_Krieg,Dilatative_Kardiomyopathie,Dispositionsprophylaxe,Durchfall,Elektronenmikroskop,Enzephalitis,Epidemie,Epidemien,Epidemiologische_Überwachung,Erbrechen,Erkrankungen_des_Atmungssystems,Erkältung,Eukalyptusöl,European_Centre_for_Disease_Prevention_and_Control,European_Influenza_Surveillance_Scheme,Europäische_Schlafkrankheit,Europäisches_Zentrum_für_die_Prävention_und_die_Kontrolle_von_Krankheiten,Expositionsprophylaxe,Fieber,Franz_Schönhuber,Frettchen,Frühsommer-Meningoenzephalitis,Gastroenteritis,Geflügelpest,Geflügelpestschutzverordnung,Gelbfieber,Gendrift,Generikum,Gilead_Sciences,GlaxoSmithKline,Gliederschmerz,Grippe,Grippe_(Begriffsklärung),Grippeimpfung,HIV,Haemophilus,Halsschmerzen,Hantaviren,Hausmittel,Haussperling,Hit_and_Run_(Medizin),Hoffmann-La_Roche,Hongkong-Grippe,Husten,Hygiene,Hämagglutination,Hämagglutinin_(Influenzavirus_A),Immunisierung,Immunsystem,Impfen,Impfkalender,Impfkritik,Impfstoff,Impfung,Infektion,Infektionsepidemiologisches_Jahrbuch,Infektionskrankheit,Influenza,Influenza-A-Virus_H1N1,Influenza-A-Virus_H5N1,Influenza-Schnelltest,Influenzaimpfstoff,Influenzapandemie,Influenzavirus,Inkubationszeit,Intercell,Internationale_statistische_Klassifikation_der_Krankheiten_und_verwandter_Gesundheitsprobleme,Jakow_Michailowitsch_Swerdlow,Johannes_Paul_II.,Jonas_Salk,Kapsid,Klaus_Stöhr,Kohortenisolierung,Krankheit,Krankheitserreger,Königsberg_(Preußen),Laryngitis,Lassafieber,Lebendimpfstoff,Leitsymptom,Liste_der_Krankheiten_des_Atmungssystems_nach_ICD-10,Liste_der_unentbehrlichen_Arzneimittel_der_Weltgesundheitsorganisation,Liste_von_Subtypen_des_Influenza-A-Virus,Listeria_monocytogenes,Luftzug,Lungenentzündung,Lymphozytäre_Choriomeningitis,MERS-CoV,MMW-Fortschritte_der_Medizin,Masern,Medical_Research_Council_(UK),Meningitis,Mittelalter,Multiple_Sklerose,Mundschutz_(Medizin),Myalgie,Myokarditis,Myositis,Myxoviren,Māori,Nasensekret,National_Institute_for_Medical_Research,Nationaler_Pandemieplan,Nationales_Referenzzentrum,Nature,Neuraminidase,Neuraminidase-Hemmer,Nosokomiale_Infektion,Novartis,Opioide,Orthomyxoviren,Orthomyxoviridae,Oseltamivir,PH-Wert,Paläoserologie,Pandemie,Pandemie_H1N1_2009,Pandemie_H1N1_2009/10,Patrick_Laidlaw,Peramivir,Peru,Pest,Pfeiffer-Drüsenfieber,Pferdeinfluenza,Pharyngitis,Pneumokokken,Polymerase-Kettenreaktion,Preußen,Protein,Proteomik,Pseudokrupp,RIG-I,RNA-Virus,Resistenz,Respiratory-Syncytial-Virus,Reye-Syndrom,Rhinitis,Ribavirin,Richard_Pfeiffer_(Bakteriologe),Richard_Shope,Rifttalfieber,Rimantadin,Robert_Koch,Robert_Koch-Institut,Robert_Webster_(Virologe),Russische_Grippe,Sachsen-Anhalt,Schmierinfektion,Schwangerschaft,Schweinegrippe-Impfung,Schweineinfluenza,Schüttelfrost,Sekundärinfektion,Selbstmedikation,Shikimisäure,Sialinsäuren,Spanische_Grippe,Speichel,Stammzelltransplantation,Staphylococcus_aureus,Stomatitis_vesicularis,Superinfektion,Symptom,Tamiflu,Theophyllin,Theoretische_Biologie,Tilapia-Teich-Virus,Tollwut,Tracheobronchitis,Trinkwasser,Tröpfcheninfektion,Vektor_(Biologie),Verbreitung_von_H5N1,Viren,Virologie,Virostatikum,Virusinfektion,Vogelgrippe_H5N1,Vogelgrippe_H7N9,Vögel,Weltgesundheitsorganisation,Wendell_Meredith_Stanley,West-Nil-Virus,Wirt_(Biologie),World_Health_Organization,Zanamivir,Zecken,Zellkultur,Zervixkarzinom,Zikavirus-Epidemie_2015/2016,Zytokin,Zytokinsturm,Zytomegalie,Übersterblichkeit
2019-01,321.0,,,,,,,,,,,,,,6193.0,202.0,0.0,4159.0,1963.0,43.0,,2044.0,,5338.0,,68.0,11.0,56.0,,94.0,2144.0,4133.0,22.0,,929.0,320.0,1235.0,,,,899.0,3989.0,1276.0,5779.0,1644.0,19.0,3289.0,916.0,2376.0,,3.0,62.0,1777.0,12.0,4278.0,248.0,,9.0,671.0,68.0,,,,,950.0,,217.0,2.0,2317.0,503.0,1230.0,,,234.0,,0.0,511.0,,,377.0,1365.0,93.0,2473.0,0.0,,152.0,729.0,,169.0,0.0,7.0,1953.0,21.0,220.0,14.0,566.0,2112.0,1151.0,1.0,1765.0,,1044.0,172.0,194.0,47.0,0.0,,1217.0,,5151.0,328.0,4959.0,,299.0,8.0,41.0,1410.0,737.0,,,364.0,408.0,159.0,487.0,988.0,147.0,,120.0,7824.0,76.0,,33.0,4147.0,,,8272.0,11185.0,0.0,645.0,4356.0,,12.0,,1996.0,,24.0,22.0,,,81.0,1025.0,,2781.0,9.0,,,6423.0,4.0,,5.0,425.0,,,,10794.0,7138.0,93.0,,2053.0,2499.0,,,197.0,3942.0,,296.0,378.0,2169.0,1663.0,,,0.0,,160.0,29.0,,,0.0,199.0,,400.0,5817.0,145.0,813.0,3006.0,144.0,103.0,100.0,161.0,4889.0,1210.0,1323.0,,60.0,546.0,,,1146.0,131.0,24.0,4764.0,,1186.0,452.0,0.0,16.0,,219.0,728.0,2057.0,363.0,87.0,3077.0,1516.0,,405.0,0.0,,,1455.0,413.0,1188.0,50.0,1129.0,112.0,2258.0,43.0
2019-02,459.0,,,,,,,,,,,,,,8859.0,346.0,0.0,4997.0,2100.0,59.0,,2810.0,,7237.0,,113.0,13.0,122.0,,140.0,2219.0,7007.0,22.0,,1616.0,673.0,2135.0,,,,1265.0,4660.0,2075.0,7240.0,1706.0,44.0,3881.0,1420.0,2732.0,,8.0,98.0,1964.0,20.0,4562.0,301.0,,4.0,649.0,93.0,,5167.0,,,1625.0,,290.0,7.0,3309.0,795.0,1667.0,,,405.0,270.0,0.0,806.0,,,387.0,1552.0,123.0,2680.0,0.0,,145.0,954.0,,283.0,0.0,16.0,2927.0,18.0,304.0,14.0,741.0,3133.0,1837.0,2.0,2603.0,,1445.0,510.0,322.0,86.0,0.0,,1763.0,,7284.0,350.0,4646.0,,441.0,15.0,67.0,1871.0,1399.0,,,415.0,751.0,277.0,736.0,1303.0,287.0,,214.0,9396.0,152.0,,45.0,6336.0,,,10750.0,15070.0,0.0,925.0,2839.0,,13.0,,2068.0,,22.0,30.0,,,111.0,1589.0,,4008.0,19.0,,,11118.0,7.0,,9.0,527.0,,,,13849.0,10368.0,309.0,,3187.0,4604.0,,,332.0,5028.0,,421.0,674.0,2288.0,1840.0,,,0.0,,150.0,33.0,,,0.0,268.0,,682.0,7209.0,160.0,766.0,3341.0,193.0,130.0,144.0,271.0,5383.0,1404.0,1980.0,,71.0,705.0,,,1680.0,142.0,38.0,6279.0,,1820.0,768.0,0.0,26.0,,228.0,880.0,2510.0,496.0,90.0,4596.0,2595.0,,515.0,0.0,,,2305.0,794.0,1792.0,42.0,1821.0,140.0,3549.0,63.0
2019-03,611.0,,,,,,,,,,,,,,9225.0,377.0,0.0,4265.0,2097.0,69.0,,2914.0,,6990.0,,123.0,19.0,139.0,,140.0,2223.0,6882.0,32.0,,1655.0,646.0,2432.0,,,,1305.0,4702.0,1960.0,7132.0,1460.0,49.0,3534.0,1398.0,8114.0,,6.0,170.0,2067.0,15.0,4647.0,248.0,,16.0,597.0,83.0,,6537.0,,,1551.0,,260.0,10.0,3364.0,959.0,1611.0,,,317.0,302.0,0.0,852.0,,,381.0,1734.0,125.0,2947.0,0.0,,149.0,846.0,,272.0,0.0,12.0,3516.0,31.0,418.0,17.0,842.0,3772.0,1751.0,7.0,2849.0,,1456.0,296.0,477.0,76.0,0.0,,1735.0,,7516.0,320.0,4837.0,,419.0,18.0,89.0,1930.0,1448.0,,,451.0,798.0,293.0,748.0,1296.0,162.0,,206.0,9115.0,141.0,,54.0,11340.0,,,10799.0,16390.0,0.0,909.0,2600.0,,24.0,,1952.0,,29.0,49.0,,,159.0,1835.0,,3976.0,16.0,,,11203.0,4.0,,10.0,533.0,,,,12856.0,11118.0,175.0,,3110.0,4983.0,,,341.0,7065.0,,417.0,591.0,2812.0,1610.0,,,0.0,,133.0,29.0,,,0.0,252.0,,623.0,6572.0,197.0,916.0,3502.0,192.0,155.0,158.0,346.0,5429.0,1475.0,1628.0,,76.0,599.0,,,1769.0,201.0,40.0,7556.0,,1851.0,668.0,0.0,24.0,,211.0,1014.0,2332.0,459.0,74.0,4533.0,3375.0,,545.0,0.0,,,1716.0,820.0,2079.0,57.0,1669.0,132.0,3675.0,45.0
2019-04,718.0,,,,,,,,,,,,,,15508.0,284.0,0.0,5419.0,2302.0,413.0,,2745.0,,6520.0,,138.0,28.0,124.0,,159.0,2297.0,6371.0,21.0,,1747.0,757.0,2274.0,,,,2055.0,4401.0,2096.0,8031.0,1493.0,67.0,3084.0,1340.0,3376.0,,9.0,152.0,2056.0,16.0,5911.0,333.0,,14.0,1892.0,94.0,,11614.0,,,1853.0,,263.0,8.0,3077.0,998.0,1457.0,,,350.0,380.0,0.0,900.0,,,408.0,1470.0,120.0,2934.0,0.0,,206.0,819.0,,258.0,0.0,23.0,3102.0,44.0,459.0,33.0,907.0,9049.0,1707.0,4.0,2650.0,,1606.0,342.0,704.0,94.0,2.0,,1671.0,,7587.0,300.0,4401.0,,475.0,44.0,110.0,1936.0,1423.0,,,438.0,928.0,308.0,659.0,1512.0,209.0,,242.0,11367.0,134.0,,56.0,14110.0,,,9962.0,15167.0,0.0,968.0,2489.0,,25.0,,2104.0,,25.0,41.0,,,197.0,2119.0,,4026.0,12.0,,,10656.0,7.0,,5.0,625.0,,,,13066.0,10425.0,145.0,,2652.0,4783.0,,,389.0,8005.0,,474.0,580.0,4269.0,1485.0,,,0.0,,147.0,48.0,,,0.0,287.0,,685.0,6529.0,169.0,974.0,4047.0,222.0,137.0,153.0,317.0,5669.0,1325.0,1721.0,,78.0,682.0,,,1726.0,163.0,38.0,6128.0,,1806.0,679.0,0.0,31.0,,240.0,968.0,2431.0,426.0,63.0,4512.0,5469.0,,612.0,0.0,,,1497.0,864.0,1977.0,37.0,1745.0,174.0,3686.0,46.0
2019-05,1004.0,,,,,,,,,,,,,,9180.0,326.0,0.0,5928.0,2538.0,246.0,,2666.0,,6944.0,,173.0,17.0,155.0,,191.0,2199.0,6668.0,33.0,,1765.0,746.0,2257.0,,,,1451.0,4560.0,1949.0,7515.0,1602.0,53.0,3223.0,1270.0,3755.0,,6.0,154.0,2073.0,23.0,7042.0,344.0,,5.0,6033.0,115.0,,13427.0,,,1761.0,,260.0,12.0,3596.0,921.0,1552.0,,,364.0,469.0,0.0,931.0,,,593.0,1369.0,129.0,3219.0,0.0,,160.0,932.0,,303.0,0.0,21.0,3119.0,46.0,488.0,16.0,959.0,4566.0,1580.0,3.0,2695.0,,2904.0,568.0,989.0,114.0,0.0,,1856.0,,7335.0,273.0,4455.0,,513.0,19.0,139.0,1741.0,1390.0,,,483.0,990.0,293.0,701.0,1314.0,227.0,,220.0,12960.0,162.0,,28.0,34909.0,,,9698.0,14492.0,0.0,842.0,2827.0,,17.0,,2223.0,,24.0,33.0,,,207.0,2199.0,,4028.0,20.0,,,10532.0,9.0,,15.0,705.0,,,,12421.0,10561.0,157.0,,2899.0,4856.0,,,361.0,7799.0,,454.0,570.0,6542.0,1540.0,,,0.0,,165.0,40.0,,,0.0,243.0,,612.0,6343.0,296.0,1752.0,4556.0,215.0,120.0,199.0,246.0,5640.0,1380.0,1606.0,,85.0,727.0,,,1718.0,166.0,45.0,6131.0,,1572.0,733.0,0.0,33.0,,214.0,1090.0,2632.0,501.0,73.0,4395.0,3040.0,,985.0,0.0,,,2438.0,984.0,1720.0,23.0,1715.0,147.0,3727.0,69.0
2019-06,2001.0,,,,,,,,,,,,,,8608.0,325.0,0.0,6246.0,2683.0,137.0,297.0,2616.0,,6882.0,,135.0,37.0,132.0,,181.0,2151.0,6154.0,17.0,,1618.0,697.0,2167.0,,,,1366.0,4452.0,1933.0,6363.0,1819.0,38.0,2877.0,1185.0,4213.0,,9.0,141.0,2053.0,16.0,7948.0,335.0,,9.0,826.0,95.0,,15092.0,,,1682.0,,206.0,8.0,3139.0,1029.0,1540.0,,,405.0,507.0,0.0,901.0,,,549.0,1252.0,123.0,2284.0,0.0,,159.0,908.0,,213.0,0.0,32.0,3021.0,46.0,432.0,17.0,961.0,3743.0,1631.0,2.0,2689.0,,3259.0,705.0,1436.0,102.0,0.0,,1987.0,,7585.0,303.0,4594.0,,530.0,18.0,157.0,1833.0,1417.0,,,563.0,1004.0,284.0,726.0,1292.0,245.0,,214.0,13937.0,126.0,,29.0,23501.0,,,9169.0,15835.0,0.0,908.0,6572.0,,21.0,,2323.0,,23.0,40.0,,,262.0,2104.0,,3644.0,8.0,,,10406.0,3.0,,10.0,787.0,,,,11620.0,10555.0,512.0,,2893.0,4693.0,,,307.0,8379.0,,492.0,533.0,7232.0,1783.0,,,0.0,,134.0,35.0,,,0.0,271.0,,703.0,6539.0,322.0,1800.0,5034.0,227.0,119.0,185.0,263.0,5789.0,1408.0,2092.0,,72.0,781.0,,,1785.0,168.0,35.0,6698.0,,1745.0,704.0,0.0,16.0,,195.0,1059.0,2432.0,447.0,84.0,4314.0,2738.0,,751.0,0.0,,,1617.0,799.0,1738.0,62.0,1652.0,179.0,3509.0,78.0
2019-07,30348.0,,,,,,,,,,,,,,8299.0,282.0,0.0,6156.0,2608.0,134.0,533.0,2710.0,,7267.0,,135.0,22.0,110.0,,240.0,2103.0,5639.0,18.0,,1834.0,753.0,2007.0,,2758.0,,1264.0,4260.0,1863.0,6029.0,1539.0,46.0,2793.0,1184.0,3234.0,,5.0,140.0,1988.0,16.0,8239.0,312.0,,14.0,767.0,101.0,,13602.0,,,3526.0,,268.0,7.0,3031.0,1088.0,1532.0,,,386.0,589.0,0.0,899.0,,,533.0,1342.0,127.0,3052.0,0.0,,162.0,1049.0,,240.0,0.0,13.0,2938.0,41.0,447.0,34.0,817.0,4298.0,1586.0,3.0,2490.0,,2724.0,722.0,1714.0,100.0,0.0,,1962.0,,6757.0,275.0,4315.0,,454.0,15.0,168.0,1991.0,1195.0,,,1154.0,845.0,255.0,737.0,1201.0,310.0,728.0,184.0,11277.0,177.0,,45.0,22972.0,,,9201.0,14939.0,0.0,838.0,3269.0,,20.0,,2361.0,,19.0,45.0,,227.0,240.0,2063.0,,3413.0,9.0,,,10013.0,3.0,,10.0,799.0,,,,11775.0,10294.0,370.0,,2623.0,4304.0,,,360.0,9112.0,,453.0,547.0,5352.0,1417.0,,,0.0,,134.0,45.0,,,0.0,277.0,,656.0,7033.0,211.0,1901.0,4712.0,196.0,106.0,198.0,243.0,6649.0,1327.0,1817.0,,55.0,810.0,,,1401.0,157.0,29.0,6542.0,,1637.0,722.0,0.0,37.0,,205.0,966.0,2475.0,497.0,82.0,4498.0,2458.0,,595.0,0.0,,,2292.0,698.0,1662.0,32.0,1501.0,164.0,3208.0,95.0
2019-08,742.0,,,,,,,,,,,,,,8201.0,228.0,0.0,6082.0,2509.0,501.0,413.0,2969.0,,7055.0,,104.0,32.0,97.0,,195.0,1993.0,6110.0,40.0,,1679.0,711.0,2228.0,,2750.0,,1277.0,4345.0,1848.0,6094.0,1374.0,35.0,2820.0,1244.0,3095.0,,13.0,151.0,2052.0,13.0,7796.0,293.0,,6.0,676.0,83.0,,12650.0,,,2487.0,,257.0,12.0,3126.0,1229.0,1538.0,,,429.0,532.0,0.0,764.0,,,503.0,1481.0,102.0,2738.0,0.0,,212.0,964.0,,259.0,0.0,10.0,2950.0,33.0,466.0,30.0,755.0,3961.0,1585.0,2.0,2477.0,,2252.0,603.0,1716.0,90.0,0.0,,1835.0,,9621.0,294.0,8837.0,,543.0,15.0,155.0,1904.0,1300.0,,,487.0,748.0,261.0,795.0,1355.0,323.0,694.0,225.0,7997.0,131.0,,57.0,16401.0,,,9020.0,13441.0,0.0,814.0,2880.0,,8.0,,2502.0,,17.0,42.0,,238.0,198.0,1934.0,,3979.0,13.0,,,10365.0,6.0,,10.0,600.0,,,,11843.0,10406.0,355.0,,2583.0,4300.0,,,324.0,7879.0,,400.0,481.0,4933.0,1456.0,,,0.0,,126.0,69.0,,,0.0,233.0,,619.0,6286.0,176.0,1877.0,4526.0,207.0,134.0,148.0,185.0,5365.0,1380.0,1918.0,,78.0,730.0,,,1392.0,156.0,24.0,6580.0,,1621.0,710.0,0.0,32.0,,188.0,990.0,2450.0,525.0,105.0,4371.0,2557.0,17.0,645.0,0.0,,,2352.0,668.0,1869.0,32.0,1452.0,192.0,3295.0,51.0
2019-09,292.0,,,,,,,,,,,,,,7103.0,228.0,0.0,4770.0,2058.0,69.0,391.0,2937.0,,5552.0,,93.0,22.0,80.0,,188.0,1653.0,4651.0,18.0,,1331.0,533.0,1680.0,,2135.0,3290.0,972.0,3598.0,1803.0,5053.0,1139.0,25.0,2350.0,1008.0,2452.0,,9.0,104.0,1691.0,11.0,5732.0,249.0,,12.0,720.0,69.0,,9854.0,,1760.0,2106.0,,179.0,7.0,2533.0,864.0,1300.0,,,324.0,382.0,0.0,573.0,,,441.0,961.0,87.0,2315.0,0.0,,178.0,849.0,,185.0,0.0,12.0,2389.0,36.0,359.0,37.0,672.0,3578.0,1353.0,3.0,2148.0,,1845.0,420.0,1214.0,61.0,0.0,,1429.0,,5540.0,243.0,5210.0,,497.0,15.0,114.0,1783.0,1073.0,,,353.0,636.0,179.0,589.0,1096.0,251.0,712.0,167.0,6392.0,106.0,,42.0,16467.0,,8178.0,7642.0,25977.0,0.0,718.0,2479.0,,15.0,,2011.0,,16.0,40.0,,144.0,162.0,1752.0,,2891.0,10.0,,,7867.0,8.0,,18.0,497.0,,,,9718.0,9034.0,281.0,,2196.0,3314.0,,,271.0,5440.0,,291.0,404.0,3492.0,12888.0,,,0.0,,111.0,49.0,,,0.0,225.0,7574.0,488.0,5179.0,138.0,1396.0,3482.0,172.0,100.0,154.0,176.0,4323.0,1043.0,1297.0,,70.0,601.0,,,999.0,127.0,15.0,5299.0,,1394.0,563.0,0.0,31.0,,198.0,741.0,1916.0,473.0,56.0,3616.0,2146.0,17.0,646.0,0.0,,,2301.0,546.0,1380.0,34.0,1143.0,111.0,3007.0,45.0
2019-10,202.0,,,,,,,,,,,,,,7551.0,195.0,0.0,3900.0,1737.0,48.0,261.0,2040.0,,4219.0,,75.0,11.0,69.0,,123.0,1626.0,4014.0,19.0,,1095.0,399.0,1270.0,,1551.0,3832.0,841.0,2771.0,1372.0,5272.0,1058.0,32.0,1917.0,899.0,2414.0,,7.0,83.0,1409.0,14.0,4408.0,172.0,,9.0,559.0,63.0,,7800.0,,1439.0,1693.0,,177.0,7.0,2154.0,633.0,1209.0,,738.0,250.0,305.0,0.0,435.0,,,388.0,735.0,93.0,1810.0,0.0,,125.0,633.0,,180.0,0.0,8.0,1936.0,30.0,305.0,35.0,565.0,3005.0,1266.0,2.0,1776.0,,1166.0,232.0,768.0,55.0,0.0,,1167.0,,4405.0,195.0,3917.0,,518.0,11.0,97.0,1352.0,862.0,,,280.0,479.0,144.0,521.0,1111.0,151.0,415.0,158.0,5484.0,68.0,,34.0,13468.0,,5369.0,6474.0,13050.0,0.0,593.0,2176.0,,9.0,,1613.0,,27.0,52.0,,122.0,138.0,1652.0,,2733.0,6.0,,,6860.0,9.0,,6.0,349.0,,,,10760.0,7838.0,507.0,,1911.0,2787.0,9418.0,,209.0,4021.0,,287.0,378.0,2122.0,1483.0,,,0.0,,114.0,24.0,,,0.0,118.0,6585.0,407.0,4145.0,102.0,850.0,2726.0,139.0,84.0,154.0,149.0,3212.0,927.0,2303.0,,66.0,583.0,,,923.0,132.0,20.0,4289.0,,1252.0,500.0,0.0,29.0,,200.0,611.0,1555.0,300.0,45.0,2897.0,1743.0,19.0,767.0,0.0,,,2015.0,491.0,1321.0,33.0,1078.0,124.0,2073.0,36.0
