Week,1948,1950-1959,1957,1958,1960-1969,1968,1970-1979,1994,1997,1999,2000,2002,2003,2004,2005,2006,2007,20e_eeuw,AIDS,Aandoening,Acetylsalicylzuur,Afrika,Afweer,Aids,Amantadine,Aminozuur,Antibioticum,Antigene_drift,Antigene_shift,Antistof,Arts,Aspirine,Astma,Aves,Aviaire_influenza,Aziatische_griep,Azië,B-cel,Bacterie,Bacteriën,Basalecelcarcinoom,Beenmerg,Beenmergtransplantatie,België,Bestraling,Bevalling,Bindweefsel,Biologie,Bloed,Bloed-hersenbarrière,Bloedarmoede,Bloedplaatje,Bof,Bronchitis,Buikgriep,COPD,Cel_(biologie),Celmembraan,Chemotherapie,Chirurgie,Chordadieren,Chromosoom,Conserveermiddel,Coronavirus,Coronavirussen,Creative_Commons,Cytoplasma,Cytosol,Cytostaticum,Desoxyribonucleïnezuur,Diabetes_mellitus,Diarree,Dierenrijk,Dierproef,Dizuurstof,Dood,Dopamine,Drop,Duitsland,Eerste_Wereldoorlog,Eetlust,Eiwitmantel,Emfyseem,Endemie_(geneeskunde),Engeland,Engels,Enzym,Epidemie,Eten,Ethylkwik,Eukaryoten,Europa_(werelddeel),Ex_vivo,Fagocytose,Frankrijk,Fruitvlieg,Gen,Geneeskunde,Geneesmiddel,Genetica,Genoom,Geslacht_(biologie),Giftigheid,Grieks,Griep,Griepprik,H1N1,H2N2,H3N2,H5N1,H5N2,H7N7,H7N9,Hart,Hart-_en_vaatziekten,Hartaandoening,Hartinfarct,Hemagglutinine,Hematologie,Hemoglobine,Hersenen,Hersenvliesontsteking,Hiv,Hoest,Hoesten,Hong_Kong_griep,Honger,Hongkong,Hongkonggriep,Hoofdpijn,Huid,Immuniteit,Immuniteit_(grondstuk),Immunoglobuline,Immunologie,Immuundeficiëntie,Immuunsuppressiva,Immuunsuppressivum,Immuunsysteem,In_silico,In_vitro,In_vivo,India,Inenting,Infectie,Infectieziekte,Influenza,Influenzavirus_A,Ion_(deeltje),Italië,Japan,Kanker,Keel_(anatomie),Keelpijn,Koolstof,Koorts,Koude_rilling,Koude_rillingen,LD50,Latijn,Leukemie,Lever,Lichaamstemperatuur,Long_(orgaan),Longaandoening,Longemfyseem,Longontsteking,Lymfeklier,Lymfeklierkanker,Lymfoom,Maag,Maag-darmstelsel,Macrofaag,Malaria,Meiose,Mens,Messenger_RNA,Mexicaanse_griep,Mexico_(land),Micro-organisme,Middellandse_Zeegebied,Molecuul,Morbiditeitsgraad,Mortaliteit,Mutant,Mutatie,Mutatie_(biologie),Nederland,Neuraminidase,Nier_(biologie),Ontsteking_(geneeskunde),Open_access,Oraal,Orgaan,Organisme,Orthomyxovirus,Oseltamivir,Palmitoylethanolamide,Pandemie,Parasiet,Pathogeen,Peptide,Pest_(ziekte),Pijn,Planten,Pokken,Polio,Polyploïdie,Proefdier,Proteïne,Pulmonologie,RNA-polymerase,RNA-virus,Radiotherapie,Recombinatie_(genetica),Resistentie,Rhinovirus,Ribonucleïnezuur,Rinovirus,Rode_bloedcel,Roken_(tabak),Rooms-Katholieke_Kerk,Rusland,SARS,Salicylaat,Schimmels,Slijm,Slijmvlies,Soort,Spaanse_griep,Spanje,Spier_(anatomie),Spierpijn,Stamceltransplantatie,Steenpuist,Sterfte,Sterftecijfer,Stikstof_(element),Stofwisseling,Structuurformule,Symptoom,Tamiflu,Temperatuur,Turkije,Tweede_Wereldoorlog,Urine,Vaccin,Vaccinatie,Varkensgriep,Verenigd_Koninkrijk,Verenigde_Naties,Verenigde_Staten,Verkoudheid,Virus_(biologie),Virusinfectie,Vlaams,Vlaanderen,Vogelgriep,Vogelpest,Vogels,Volksrepubliek_China,Vrije_kennis,Water,Waterpokken,Waterstof_(element),Weefsel_(biologie),Wereldgezondheidsorganisatie,Witte_bloedcel,Ziekte,Ziekte_van_Parkinson,Zoogdieren,Zuurstof_(element),Zwangerschap,Zweden
2014-01,,,,,,,,,,,,,,,,,,800.0,,202.0,1014.0,,221.0,,,1372.0,887.0,28.0,50.0,64.0,,,,,18.0,32.0,14.0,264.0,238.0,0.0,23.0,370.0,35.0,,25.0,896.0,583.0,,691.0,0.0,1550.0,552.0,,,1291.0,,0.0,373.0,609.0,279.0,494.0,2128.0,47.0,,87.0,,267.0,,9.0,7.0,,925.0,936.0,194.0,364.0,,,,,7189.0,22.0,22.0,492.0,0.0,,,1224.0,,,6.0,572.0,0.0,,306.0,3809.0,51.0,,643.0,697.0,,352.0,0.0,144.0,560.0,1088.0,59.0,,,,,,,,,185.0,15.0,1144.0,64.0,340.0,,1055.0,1865.0,,257.0,49.0,0.0,132.0,,70.0,754.0,656.0,77.0,0.0,,185.0,2.0,3.0,93.0,875.0,,,,,206.0,613.0,338.0,,,0.0,38.0,,,0.0,51.0,715.0,2243.0,476.0,1.0,,851.0,1869.0,,681.0,0.0,8.0,71.0,3151.0,957.0,429.0,136.0,610.0,669.0,322.0,,436.0,,,243.0,0.0,409.0,136.0,594.0,78.0,130.0,,129.0,0.0,,,0.0,0.0,,,383.0,334.0,,,,,496.0,318.0,,0.0,419.0,603.0,,,1.0,6.0,5.0,56.0,88.0,69.0,267.0,0.0,24.0,,0.0,,519.0,0.0,40.0,,,12.0,900.0,181.0,243.0,428.0,398.0,3265.0,0.0,526.0,221.0,930.0,28.0,143.0,0.0,907.0,204.0,214.0,,626.0,3061.0,4469.0,,,57.0,80.0,,,6285.0,874.0,0.0,10.0,,,34.0,225.0,,1851.0,45.0,,1677.0,0.0,0.0,258.0,939.0,419.0,2448.0,1219.0,0.0,1358.0,
2014-02,,639.0,,,,,819.0,,,,,,,,,,,1147.0,,226.0,1381.0,,270.0,,,2192.0,1196.0,38.0,53.0,139.0,,,,,26.0,59.0,4.0,405.0,416.0,4.0,0.0,450.0,51.0,,32.0,1433.0,796.0,,1386.0,2.0,2936.0,968.0,,,1398.0,,0.0,657.0,1000.0,455.0,843.0,1635.0,90.0,,82.0,,418.0,,15.0,8.0,,1371.0,1465.0,330.0,631.0,,,,,17957.0,29.0,39.0,749.0,0.0,,,2246.0,,,13.0,884.0,0.0,,460.0,6799.0,93.0,,997.0,1102.0,,530.0,0.0,233.0,859.0,1401.0,67.0,,,,,,,,,362.0,17.0,1828.0,65.0,575.0,,1716.0,2458.0,,318.0,60.0,1.0,170.0,,110.0,1111.0,1389.0,98.0,0.0,,281.0,0.0,6.0,125.0,1400.0,,,,,337.0,1051.0,659.0,,,0.0,20.0,,,0.0,49.0,1249.0,3285.0,554.0,3.0,,1262.0,3197.0,,932.0,0.0,3.0,131.0,3961.0,1344.0,662.0,160.0,980.0,1376.0,516.0,,835.0,,,467.0,0.0,560.0,308.0,1081.0,112.0,199.0,144.0,252.0,0.0,,,0.0,0.0,,,736.0,604.0,,,,,730.0,506.0,,0.0,607.0,1086.0,,,1.0,27.0,5.0,82.0,158.0,119.0,428.0,0.0,38.0,,6.0,,1064.0,0.0,38.0,,,20.0,1703.0,194.0,340.0,645.0,543.0,6503.0,0.0,1055.0,282.0,1199.0,43.0,265.0,0.0,1563.0,413.0,332.0,,1295.0,5080.0,9558.0,,,128.0,113.0,,,10434.0,1001.0,0.0,9.0,,,36.0,259.0,,2773.0,56.0,,1930.0,0.0,0.0,418.0,1531.0,636.0,4776.0,2153.0,0.0,1995.0,
2014-03,,589.0,,,,,877.0,,,,,,,,,,,1330.0,,283.0,1929.0,4031.0,383.0,,,2414.0,1353.0,41.0,43.0,137.0,,,,,38.0,69.0,13.0,443.0,386.0,7.0,0.0,612.0,58.0,,43.0,1547.0,1012.0,,1401.0,0.0,3300.0,1115.0,,,1487.0,,0.0,788.0,1031.0,480.0,788.0,1954.0,92.0,,89.0,,532.0,,18.0,5.0,,1370.0,1688.0,413.0,757.0,,,,,28162.0,27.0,50.0,900.0,0.0,,,2302.0,,,17.0,1033.0,0.0,,616.0,8120.0,94.0,,1157.0,1214.0,,628.0,0.0,229.0,819.0,1692.0,74.0,,,,,,,,,481.0,22.0,2089.0,85.0,678.0,,1909.0,2550.0,,264.0,62.0,1.0,207.0,,84.0,1094.0,1585.0,122.0,0.0,,306.0,1.0,7.0,162.0,1591.0,,,,,368.0,1113.0,720.0,,,0.0,16.0,,,0.0,52.0,1629.0,3562.0,687.0,4.0,,1392.0,3577.0,,1003.0,0.0,5.0,146.0,3976.0,1577.0,781.0,269.0,2082.0,1557.0,569.0,,1153.0,,,468.0,0.0,672.0,386.0,1177.0,108.0,251.0,180.0,256.0,0.0,,,0.0,0.0,,,824.0,686.0,,,,,874.0,571.0,,0.0,733.0,1245.0,,140.0,0.0,21.0,9.0,102.0,235.0,120.0,463.0,0.0,62.0,,2.0,,1144.0,0.0,49.0,,,26.0,1710.0,220.0,400.0,685.0,591.0,7142.0,0.0,1224.0,448.0,1358.0,36.0,273.0,0.0,1622.0,411.0,332.0,,1285.0,5728.0,16644.0,,,147.0,127.0,,,10269.0,972.0,0.0,13.0,,,41.0,289.0,,2900.0,54.0,,2176.0,0.0,0.0,438.0,1781.0,592.0,4890.0,2195.0,0.0,2143.0,
2014-04,,625.0,,,,,905.0,,,,,,,,,,,1378.0,,297.0,1944.0,4079.0,354.0,,,2214.0,1506.0,47.0,83.0,148.0,,,,,32.0,77.0,11.0,483.0,398.0,7.0,0.0,588.0,64.0,,35.0,1464.0,921.0,,1444.0,0.0,3478.0,1051.0,,,1448.0,,0.0,610.0,1163.0,405.0,742.0,1708.0,75.0,,226.0,,423.0,,17.0,4.0,,1405.0,1694.0,432.0,759.0,,,,,15565.0,33.0,42.0,730.0,0.0,,,1950.0,,,8.0,955.0,0.0,,567.0,7480.0,59.0,,997.0,1114.0,,566.0,0.0,210.0,859.0,1725.0,73.0,,,,,,,,,382.0,19.0,2033.0,92.0,571.0,,1780.0,2522.0,,242.0,61.0,1.0,180.0,,76.0,1203.0,1477.0,116.0,0.0,,294.0,0.0,9.0,150.0,1874.0,,,,,383.0,1080.0,761.0,,,0.0,13.0,,,0.0,78.0,1650.0,3644.0,725.0,4.0,,1366.0,4221.0,,983.0,0.0,7.0,135.0,3836.0,1511.0,791.0,256.0,1130.0,1542.0,586.0,,992.0,,,403.0,0.0,781.0,202.0,1133.0,120.0,179.0,130.0,278.0,0.0,,,0.0,0.0,,,860.0,652.0,,,,,1007.0,524.0,,0.0,821.0,1326.0,,171.0,4.0,26.0,8.0,89.0,202.0,148.0,466.0,0.0,66.0,,2.0,,1099.0,0.0,37.0,,,24.0,1737.0,208.0,433.0,597.0,533.0,6074.0,0.0,1197.0,424.0,1254.0,25.0,236.0,0.0,1571.0,407.0,357.0,,1114.0,5540.0,8909.0,,,122.0,88.0,,,9384.0,990.0,0.0,8.0,,,41.0,211.0,,2825.0,59.0,,2674.0,0.0,0.0,453.0,1753.0,595.0,4876.0,2157.0,0.0,1944.0,
2014-05,,597.0,,,,,761.0,,,,,,,,,,,1172.0,,240.0,1660.0,3789.0,361.0,,,1963.0,1177.0,55.0,74.0,126.0,,,,,28.0,72.0,8.0,395.0,384.0,2.0,0.0,490.0,46.0,,28.0,1512.0,820.0,,1366.0,0.0,2937.0,1096.0,,,1537.0,,0.0,530.0,1011.0,459.0,726.0,1450.0,78.0,,139.0,,318.0,,16.0,7.0,,1284.0,1578.0,311.0,687.0,,,,,16449.0,29.0,45.0,902.0,0.0,,,1760.0,,,21.0,800.0,0.0,,351.0,7280.0,57.0,,1011.0,1125.0,,502.0,0.0,220.0,787.0,1717.0,50.0,,,,,,,,,483.0,22.0,1826.0,51.0,597.0,,1615.0,2471.0,,294.0,64.0,0.0,207.0,,75.0,1097.0,1573.0,97.0,0.0,,264.0,0.0,5.0,123.0,1330.0,,,,,284.0,1063.0,530.0,,,0.0,28.0,,,0.0,68.0,1400.0,3672.0,722.0,2.0,,1331.0,3377.0,,825.0,0.0,9.0,155.0,4064.0,1403.0,733.0,228.0,1071.0,1401.0,472.0,,873.0,,,525.0,0.0,599.0,229.0,859.0,93.0,160.0,111.0,229.0,0.0,,,0.0,0.0,,,772.0,564.0,,,,,728.0,498.0,,0.0,659.0,1205.0,,151.0,3.0,21.0,4.0,75.0,160.0,114.0,456.0,0.0,48.0,,4.0,,934.0,0.0,39.0,,,27.0,1827.0,224.0,330.0,675.0,516.0,6604.0,0.0,1026.0,337.0,1296.0,33.0,274.0,0.0,1367.0,379.0,310.0,,1082.0,5764.0,9221.0,1256.0,,102.0,118.0,,,9393.0,1178.0,0.0,13.0,,,41.0,247.0,,2807.0,48.0,,2492.0,0.0,0.0,380.0,1605.0,634.0,5414.0,2019.0,0.0,1972.0,
2014-06,,561.0,,,,,773.0,,,,,,,,,,,1157.0,,227.0,1526.0,4235.0,450.0,,,1996.0,1503.0,59.0,70.0,145.0,,,,,24.0,60.0,11.0,350.0,401.0,5.0,0.0,550.0,61.0,,39.0,1537.0,855.0,,1446.0,2.0,3136.0,1129.0,,,1671.0,,0.0,637.0,1012.0,452.0,728.0,1310.0,81.0,,141.0,,328.0,,14.0,8.0,,1283.0,1948.0,405.0,752.0,,,,,12989.0,25.0,38.0,724.0,0.0,,,1833.0,,,15.0,685.0,0.0,,365.0,7303.0,55.0,,1209.0,1239.0,,442.0,0.0,256.0,817.0,2068.0,76.0,,,,,,,,,465.0,20.0,1842.0,76.0,623.0,,1724.0,2505.0,,297.0,55.0,3.0,177.0,,66.0,1146.0,1469.0,193.0,0.0,,300.0,0.0,15.0,136.0,1406.0,,,,,394.0,1174.0,567.0,,,0.0,19.0,,,0.0,71.0,1363.0,3664.0,719.0,2.0,,1255.0,3540.0,,911.0,0.0,4.0,126.0,4033.0,1416.0,1028.0,199.0,1017.0,1418.0,440.0,,630.0,,,577.0,0.0,666.0,228.0,922.0,58.0,136.0,118.0,232.0,0.0,,,0.0,0.0,,,907.0,750.0,,,,,729.0,497.0,,0.0,675.0,1236.0,,142.0,3.0,30.0,9.0,117.0,119.0,129.0,407.0,0.0,77.0,,3.0,,1120.0,0.0,37.0,,,30.0,1669.0,208.0,362.0,607.0,512.0,6407.0,0.0,1198.0,315.0,1314.0,34.0,285.0,0.0,1398.0,338.0,325.0,,1117.0,5541.0,8273.0,1364.0,,137.0,130.0,,,10484.0,1075.0,0.0,8.0,378.0,,33.0,283.0,,2639.0,52.0,,2636.0,0.0,0.0,428.0,1845.0,666.0,4468.0,2167.0,0.0,2065.0,
2014-07,,667.0,,,,,789.0,,,,,,,,,,,1186.0,,272.0,1819.0,3808.0,319.0,,,1927.0,1422.0,27.0,34.0,125.0,,,,,16.0,43.0,7.0,623.0,415.0,4.0,0.0,537.0,44.0,,39.0,1478.0,753.0,,1505.0,7.0,2974.0,977.0,,,1630.0,,0.0,421.0,1051.0,367.0,650.0,1349.0,87.0,,121.0,,358.0,,26.0,5.0,,1234.0,1891.0,356.0,646.0,1232.0,,,,11587.0,38.0,50.0,652.0,0.0,,,1664.0,,,14.0,710.0,0.0,,342.0,7034.0,61.0,,1124.0,1201.0,,408.0,0.0,205.0,833.0,2316.0,81.0,,,,,,,,,488.0,13.0,1745.0,111.0,649.0,,1589.0,2849.0,,259.0,53.0,2.0,174.0,,62.0,1027.0,1450.0,102.0,0.0,,290.0,1.0,3.0,130.0,1350.0,,,,,338.0,996.0,570.0,,,0.0,12.0,,,0.0,80.0,1347.0,3751.0,747.0,3.0,,1306.0,3474.0,2266.0,840.0,0.0,5.0,124.0,4302.0,1491.0,709.0,233.0,840.0,1287.0,522.0,,730.0,,,501.0,0.0,686.0,217.0,938.0,79.0,140.0,114.0,249.0,0.0,,53.0,0.0,0.0,,,780.0,781.0,,,,,635.0,485.0,,0.0,700.0,1094.0,,128.0,2.0,21.0,8.0,102.0,121.0,107.0,429.0,0.0,60.0,,8.0,,1059.0,0.0,42.0,,,39.0,1603.0,192.0,299.0,622.0,493.0,5915.0,0.0,1095.0,313.0,1226.0,31.0,252.0,0.0,1294.0,379.0,293.0,,1042.0,5260.0,7894.0,1344.0,,103.0,123.0,,,9461.0,1108.0,0.0,9.0,404.0,,39.0,255.0,,2563.0,55.0,,2599.0,0.0,0.0,387.0,1697.0,606.0,5006.0,2090.0,0.0,1829.0,
2014-08,,556.0,,,,,653.0,,,,,,,,,,,1144.0,,247.0,1669.0,3681.0,312.0,,,1953.0,1231.0,25.0,27.0,139.0,,,,,28.0,60.0,4.0,320.0,384.0,8.0,0.0,510.0,47.0,,29.0,1973.0,803.0,,1179.0,2.0,3017.0,951.0,,,1695.0,,0.0,405.0,907.0,368.0,660.0,1207.0,89.0,,102.0,,263.0,,20.0,9.0,,1193.0,1461.0,410.0,653.0,1066.0,,,,16026.0,32.0,43.0,712.0,0.0,,,1539.0,,,19.0,606.0,0.0,,277.0,6991.0,52.0,,985.0,1106.0,,367.0,0.0,216.0,762.0,2436.0,61.0,,,,,,,,,359.0,15.0,1882.0,80.0,761.0,,1841.0,2688.0,,251.0,49.0,1.0,167.0,,72.0,1011.0,1341.0,88.0,0.0,,244.0,0.0,18.0,168.0,1316.0,,,,,314.0,1058.0,528.0,,,0.0,11.0,,,0.0,102.0,1308.0,3726.0,724.0,2.0,,1168.0,2910.0,2306.0,879.0,0.0,11.0,119.0,3791.0,1397.0,642.0,224.0,871.0,1289.0,479.0,,645.0,,,425.0,0.0,542.0,215.0,788.0,71.0,109.0,116.0,216.0,0.0,,49.0,0.0,0.0,,,731.0,556.0,,,,,633.0,430.0,,0.0,600.0,904.0,,137.0,2.0,86.0,64.0,99.0,121.0,86.0,410.0,0.0,45.0,,3.0,,917.0,0.0,43.0,,,32.0,1386.0,173.0,295.0,579.0,567.0,5861.0,0.0,967.0,413.0,1151.0,30.0,193.0,0.0,1244.0,360.0,279.0,,967.0,5252.0,8752.0,1424.0,,115.0,133.0,,,9114.0,1037.0,0.0,24.0,379.0,,39.0,167.0,,2757.0,42.0,,2963.0,0.0,0.0,406.0,1503.0,548.0,4446.0,1739.0,0.0,1826.0,
2014-09,,515.0,,,,,670.0,,,,,,,,,,,1120.0,,239.0,1384.0,3580.0,264.0,2258.0,,1857.0,1298.0,53.0,56.0,111.0,,,,,26.0,66.0,7.0,314.0,316.0,8.0,0.0,498.0,59.0,,40.0,1318.0,750.0,,1207.0,3.0,2931.0,933.0,,,1539.0,,0.0,357.0,856.0,451.0,659.0,1192.0,97.0,,74.0,,298.0,148.0,18.0,5.0,,1111.0,1421.0,372.0,616.0,1135.0,,,,13756.0,34.0,36.0,757.0,0.0,,,1330.0,,,13.0,618.0,0.0,,291.0,6377.0,80.0,,929.0,1149.0,,345.0,0.0,204.0,729.0,2054.0,45.0,,,,,,,,,320.0,15.0,1734.0,125.0,774.0,,1420.0,2731.0,,290.0,55.0,2.0,147.0,2302.0,96.0,964.0,1055.0,92.0,0.0,,242.0,0.0,3.0,127.0,1323.0,,,,,317.0,1021.0,543.0,,,0.0,30.0,,,0.0,75.0,1368.0,3418.0,682.0,2.0,,9176.0,2931.0,2125.0,778.0,0.0,4.0,119.0,3519.0,1350.0,639.0,244.0,911.0,1157.0,435.0,,479.0,,,524.0,0.0,490.0,194.0,841.0,80.0,138.0,134.0,266.0,0.0,,90.0,0.0,0.0,,,533.0,639.0,,,,,695.0,382.0,,0.0,622.0,1026.0,,141.0,2.0,29.0,20.0,75.0,104.0,114.0,417.0,0.0,65.0,,3.0,,811.0,0.0,40.0,,,19.0,1391.0,173.0,269.0,596.0,515.0,5632.0,0.0,1030.0,301.0,1084.0,38.0,277.0,0.0,1202.0,312.0,260.0,,749.0,5062.0,7645.0,1161.0,,143.0,103.0,,,8609.0,1056.0,0.0,16.0,368.0,,28.0,291.0,,2458.0,48.0,,3192.0,0.0,0.0,420.0,1436.0,553.0,4285.0,1618.0,0.0,1721.0,
2014-10,,682.0,,,,,794.0,,,,,,,,,,,1276.0,,229.0,1356.0,3315.0,244.0,2454.0,,1756.0,1209.0,26.0,41.0,128.0,,,,,23.0,43.0,13.0,318.0,339.0,3.0,0.0,489.0,45.0,,41.0,1403.0,575.0,,1085.0,3.0,2814.0,851.0,,,1262.0,,0.0,369.0,878.0,430.0,719.0,1211.0,73.0,,102.0,,241.0,104.0,21.0,6.0,,1131.0,1444.0,370.0,591.0,1088.0,,,,12383.0,39.0,44.0,657.0,0.0,,,1268.0,,,11.0,584.0,0.0,,294.0,6578.0,69.0,,960.0,1104.0,,395.0,0.0,210.0,766.0,1578.0,41.0,,,,,,,,,329.0,17.0,1613.0,52.0,650.0,,1492.0,2550.0,,262.0,55.0,1.0,176.0,2270.0,82.0,1128.0,1200.0,94.0,0.0,,273.0,1.0,5.0,123.0,1144.0,,,,,304.0,1004.0,533.0,,,0.0,29.0,,,0.0,87.0,1123.0,3328.0,702.0,3.0,,1224.0,2761.0,2068.0,759.0,0.0,9.0,108.0,3107.0,1288.0,573.0,201.0,759.0,1057.0,439.0,,547.0,,,547.0,0.0,430.0,270.0,730.0,64.0,122.0,116.0,201.0,0.0,,40.0,0.0,0.0,,,616.0,561.0,,,,,702.0,418.0,,0.0,605.0,1123.0,,147.0,2.0,12.0,11.0,85.0,98.0,96.0,391.0,0.0,60.0,,5.0,,822.0,0.0,53.0,,,17.0,1258.0,152.0,297.0,561.0,1390.0,6031.0,0.0,955.0,257.0,1022.0,28.0,275.0,0.0,1067.0,324.0,245.0,,1033.0,5346.0,8666.0,1168.0,,88.0,103.0,,,9601.0,920.0,0.0,16.0,396.0,,29.0,227.0,,3076.0,35.0,,2923.0,0.0,0.0,464.0,1513.0,571.0,4213.0,1701.0,0.0,1762.0,
