Week,1948,1950-1959,1957,1958,1960-1969,1968,1970-1979,1994,1997,1999,2000,2002,2003,2004,2005,2006,2007,20e_eeuw,AIDS,Aandoening,Acetylsalicylzuur,Afrika,Afweer,Aids,Amantadine,Aminozuur,Antibioticum,Antigene_drift,Antigene_shift,Antistof,Arts,Aspirine,Astma,Aves,Aviaire_influenza,Aziatische_griep,Azië,B-cel,Bacterie,Bacteriën,Basalecelcarcinoom,Beenmerg,Beenmergtransplantatie,België,Bestraling,Bevalling,Bindweefsel,Biologie,Bloed,Bloed-hersenbarrière,Bloedarmoede,Bloedplaatje,Bof,Bronchitis,Buikgriep,COPD,Cel_(biologie),Celmembraan,Chemotherapie,Chirurgie,Chordadieren,Chromosoom,Conserveermiddel,Coronavirus,Coronavirussen,Creative_Commons,Cytoplasma,Cytosol,Cytostaticum,Desoxyribonucleïnezuur,Diabetes_mellitus,Diarree,Dierenrijk,Dierproef,Dizuurstof,Dood,Dopamine,Drop,Duitsland,Eerste_Wereldoorlog,Eetlust,Eiwitmantel,Emfyseem,Endemie_(geneeskunde),Engeland,Engels,Enzym,Epidemie,Eten,Ethylkwik,Eukaryoten,Europa_(werelddeel),Ex_vivo,Fagocytose,Frankrijk,Fruitvlieg,Gen,Geneeskunde,Geneesmiddel,Genetica,Genoom,Geslacht_(biologie),Giftigheid,Grieks,Griep,Griepprik,H1N1,H2N2,H3N2,H5N1,H5N2,H7N7,H7N9,Hart,Hart-_en_vaatziekten,Hartaandoening,Hartinfarct,Hemagglutinine,Hematologie,Hemoglobine,Hersenen,Hersenvliesontsteking,Hiv,Hoest,Hoesten,Hong_Kong_griep,Honger,Hongkong,Hongkonggriep,Hoofdpijn,Huid,Immuniteit,Immuniteit_(grondstuk),Immunoglobuline,Immunologie,Immuundeficiëntie,Immuunsuppressiva,Immuunsuppressivum,Immuunsysteem,In_silico,In_vitro,In_vivo,India,Inenting,Infectie,Infectieziekte,Influenza,Influenzavirus_A,Ion_(deeltje),Italië,Japan,Kanker,Keel_(anatomie),Keelpijn,Koolstof,Koorts,Koude_rilling,Koude_rillingen,LD50,Latijn,Leukemie,Lever,Lichaamstemperatuur,Long_(orgaan),Longaandoening,Longemfyseem,Longontsteking,Lymfeklier,Lymfeklierkanker,Lymfoom,Maag,Maag-darmstelsel,Macrofaag,Malaria,Meiose,Mens,Messenger_RNA,Mexicaanse_griep,Mexico_(land),Micro-organisme,Middellandse_Zeegebied,Molecuul,Morbiditeitsgraad,Mortaliteit,Mutant,Mutatie,Mutatie_(biologie),Nederland,Neuraminidase,Nier_(biologie),Ontsteking_(geneeskunde),Open_access,Oraal,Orgaan,Organisme,Orthomyxovirus,Oseltamivir,Palmitoylethanolamide,Pandemie,Parasiet,Pathogeen,Peptide,Pest_(ziekte),Pijn,Planten,Pokken,Polio,Polyploïdie,Proefdier,Proteïne,Pulmonologie,RNA-polymerase,RNA-virus,Radiotherapie,Recombinatie_(genetica),Resistentie,Rhinovirus,Ribonucleïnezuur,Rinovirus,Rode_bloedcel,Roken_(tabak),Rooms-Katholieke_Kerk,Rusland,SARS,Salicylaat,Schimmels,Slijm,Slijmvlies,Soort,Spaanse_griep,Spanje,Spier_(anatomie),Spierpijn,Stamceltransplantatie,Steenpuist,Sterfte,Sterftecijfer,Stikstof_(element),Stofwisseling,Structuurformule,Symptoom,Tamiflu,Temperatuur,Turkije,Tweede_Wereldoorlog,Urine,Vaccin,Vaccinatie,Varkensgriep,Verenigd_Koninkrijk,Verenigde_Naties,Verenigde_Staten,Verkoudheid,Virus_(biologie),Virusinfectie,Vlaams,Vlaanderen,Vogelgriep,Vogelpest,Vogels,Volksrepubliek_China,Vrije_kennis,Water,Waterpokken,Waterstof_(element),Weefsel_(biologie),Wereldgezondheidsorganisatie,Witte_bloedcel,Ziekte,Ziekte_van_Parkinson,Zoogdieren,Zuurstof_(element),Zwangerschap,Zweden
2017-01,,,,,,,,,,,,,,,,,,970.0,,176.0,1612.0,,227.0,,,2084.0,1100.0,42.0,53.0,89.0,,,,,14.0,73.0,2138.0,410.0,204.0,1578.0,30.0,818.0,24.0,,17.0,589.0,1006.0,,790.0,289.0,1175.0,797.0,,,1309.0,,0.0,495.0,591.0,362.0,775.0,1428.0,157.0,,198.0,,331.0,,8.0,1504.0,,629.0,1199.0,154.0,514.0,,,,,9081.0,15.0,29.0,573.0,0.0,,,1096.0,,,9.0,908.0,0.0,,433.0,4920.0,8.0,,632.0,997.0,,465.0,0.0,142.0,629.0,2983.0,87.0,,,,,,,,,169.0,8.0,1040.0,82.0,346.0,,1011.0,2811.0,,291.0,26.0,0.0,163.0,,149.0,323.0,983.0,86.0,0.0,,215.0,272.0,7.0,179.0,1063.0,,,,,200.0,676.0,353.0,,,0.0,3573.0,,,0.0,150.0,1022.0,2987.0,789.0,0.0,,1217.0,1185.0,,796.0,0.0,0.0,153.0,3118.0,955.0,399.0,31.0,694.0,772.0,566.0,,542.0,,,391.0,0.0,449.0,201.0,743.0,76.0,154.0,,295.0,0.0,,,0.0,0.0,,,1163.0,468.0,,,,,523.0,408.0,,0.0,382.0,715.0,,,82.0,7.0,1984.0,75.0,172.0,115.0,264.0,0.0,19.0,,519.0,,733.0,0.0,1437.0,,,22.0,1027.0,169.0,298.0,489.0,736.0,4390.0,0.0,357.0,273.0,853.0,25.0,211.0,0.0,1136.0,386.0,221.0,,1781.0,5163.0,8859.0,,,79.0,95.0,,,8643.0,1491.0,0.0,11.0,,,15.0,535.0,,2890.0,42.0,,1540.0,0.0,0.0,349.0,1333.0,407.0,2131.0,1371.0,0.0,953.0,
2017-02,,588.0,,,,,897.0,,,,,,,,,,,1317.0,,217.0,2081.0,,328.0,,,2777.0,1282.0,45.0,78.0,88.0,,,,,24.0,120.0,2901.0,603.0,227.0,2702.0,12.0,1006.0,23.0,,5.0,721.0,1227.0,,1064.0,271.0,1435.0,1056.0,,,1124.0,,0.0,668.0,668.0,448.0,1146.0,2192.0,217.0,,388.0,,454.0,,12.0,2198.0,,578.0,1790.0,329.0,738.0,,,,,12049.0,19.0,44.0,741.0,0.0,,,1960.0,,,23.0,1325.0,0.0,,530.0,6775.0,22.0,,853.0,1001.0,,564.0,0.0,210.0,870.0,3225.0,157.0,,,,,,,,,254.0,5.0,1176.0,69.0,433.0,,1561.0,2536.0,,242.0,14.0,0.0,144.0,,236.0,339.0,1501.0,82.0,0.0,,292.0,266.0,1.0,191.0,1261.0,,,,,396.0,733.0,470.0,,,0.0,5355.0,,,0.0,123.0,1697.0,2920.0,733.0,0.0,,1542.0,1400.0,,805.0,0.0,4.0,168.0,2984.0,990.0,426.0,49.0,953.0,939.0,647.0,,919.0,,,390.0,0.0,861.0,329.0,983.0,115.0,171.0,94.0,406.0,0.0,,,0.0,0.0,,,776.0,851.0,,,,,822.0,515.0,,0.0,463.0,1008.0,,,117.0,9.0,2552.0,107.0,253.0,131.0,360.0,0.0,43.0,,679.0,,1124.0,0.0,2105.0,,,20.0,1637.0,199.0,334.0,678.0,861.0,5619.0,0.0,427.0,484.0,839.0,20.0,249.0,0.0,1581.0,481.0,263.0,,1072.0,4976.0,12579.0,,,120.0,84.0,,,12163.0,1254.0,0.0,12.0,,,27.0,422.0,,2985.0,45.0,,1396.0,0.0,0.0,458.0,1886.0,503.0,2449.0,2261.0,0.0,1052.0,
2017-03,,672.0,,,,,805.0,,,,,,,,,,,1365.0,,228.0,2123.0,4883.0,387.0,,,2674.0,1208.0,55.0,71.0,101.0,,,,,18.0,92.0,2707.0,715.0,228.0,2845.0,10.0,1026.0,18.0,,15.0,800.0,1265.0,,1138.0,329.0,1315.0,952.0,,,1248.0,,0.0,694.0,646.0,399.0,1048.0,2003.0,299.0,,247.0,,400.0,,13.0,2061.0,,568.0,1644.0,456.0,800.0,,,,,12535.0,18.0,54.0,639.0,0.0,,,1775.0,,,17.0,1284.0,0.0,,541.0,6575.0,17.0,,710.0,991.0,,510.0,0.0,175.0,861.0,3244.0,127.0,,,,,,,,,300.0,7.0,1075.0,60.0,466.0,,1289.0,2250.0,,242.0,17.0,0.0,207.0,,145.0,320.0,1384.0,87.0,0.0,,278.0,237.0,6.0,196.0,1487.0,,,,,367.0,701.0,440.0,,,0.0,5900.0,,,0.0,112.0,1618.0,3130.0,853.0,0.0,,1515.0,1485.0,,903.0,0.0,2.0,171.0,2771.0,982.0,383.0,51.0,863.0,864.0,774.0,,936.0,,,369.0,0.0,715.0,330.0,983.0,79.0,222.0,97.0,353.0,0.0,,,0.0,0.0,,,680.0,903.0,,,,,802.0,568.0,,0.0,493.0,983.0,,74.0,175.0,10.0,2527.0,100.0,327.0,121.0,312.0,0.0,41.0,,692.0,,1148.0,0.0,1966.0,,,26.0,1796.0,149.0,329.0,675.0,745.0,5599.0,0.0,436.0,370.0,896.0,26.0,299.0,0.0,1449.0,472.0,382.0,,977.0,5217.0,11552.0,,,80.0,87.0,,,18605.0,1137.0,0.0,11.0,,,17.0,373.0,,3088.0,45.0,,1473.0,0.0,0.0,430.0,1769.0,451.0,2166.0,2036.0,0.0,1063.0,
2017-04,,574.0,,,,,785.0,,,,,,,,,,,1254.0,,227.0,1842.0,3942.0,395.0,,,2349.0,1147.0,37.0,50.0,83.0,,,,,24.0,77.0,2483.0,567.0,225.0,2757.0,21.0,910.0,19.0,,8.0,774.0,938.0,,947.0,320.0,1236.0,897.0,,,1133.0,,0.0,575.0,615.0,417.0,917.0,1881.0,237.0,,260.0,,448.0,,22.0,1931.0,,600.0,1569.0,336.0,741.0,,,,,11832.0,9.0,44.0,617.0,0.0,,,1515.0,,,17.0,1198.0,0.0,,450.0,6175.0,21.0,,771.0,919.0,,480.0,0.0,136.0,803.0,2995.0,138.0,,,,,,,,,285.0,11.0,1230.0,50.0,375.0,,1348.0,2363.0,,233.0,22.0,0.0,150.0,,190.0,342.0,1251.0,106.0,0.0,,282.0,200.0,10.0,179.0,1308.0,,,,,414.0,641.0,384.0,,,0.0,4888.0,,,0.0,137.0,1433.0,3470.0,933.0,0.0,,1499.0,2235.0,,1171.0,0.0,2.0,127.0,2598.0,864.0,389.0,57.0,767.0,846.0,594.0,,813.0,,,457.0,0.0,684.0,267.0,823.0,75.0,165.0,129.0,379.0,0.0,,,0.0,0.0,,,726.0,830.0,,,,,700.0,513.0,,0.0,504.0,1078.0,,79.0,110.0,15.0,2243.0,82.0,184.0,117.0,298.0,0.0,41.0,,581.0,,993.0,0.0,1718.0,,,19.0,1598.0,135.0,333.0,650.0,1128.0,5195.0,0.0,419.0,291.0,953.0,14.0,282.0,0.0,1425.0,427.0,253.0,,841.0,4155.0,10782.0,,,102.0,76.0,,,14560.0,1117.0,0.0,10.0,,,33.0,453.0,,2878.0,54.0,,1557.0,0.0,0.0,540.0,1537.0,534.0,2207.0,1873.0,0.0,908.0,
2017-05,,541.0,,,,,693.0,,,,,,,,,,,1208.0,,221.0,1899.0,4088.0,356.0,,,2014.0,1122.0,28.0,46.0,67.0,,,,,27.0,112.0,2634.0,513.0,233.0,2744.0,23.0,934.0,27.0,,11.0,788.0,861.0,,960.0,255.0,1337.0,920.0,,,1243.0,,0.0,547.0,637.0,436.0,1196.0,1749.0,243.0,,196.0,,386.0,,14.0,1919.0,,668.0,1694.0,390.0,694.0,,,,,11792.0,19.0,42.0,526.0,0.0,,,1553.0,,,13.0,1195.0,0.0,,379.0,6816.0,16.0,,761.0,1002.0,,489.0,0.0,185.0,992.0,3244.0,89.0,,,,,,,,,239.0,12.0,1068.0,81.0,394.0,,1395.0,2570.0,,201.0,17.0,0.0,151.0,,160.0,361.0,1301.0,81.0,0.0,,235.0,257.0,8.0,158.0,1161.0,,,,,304.0,684.0,439.0,,,0.0,5006.0,,,0.0,129.0,1493.0,3635.0,900.0,0.0,,1650.0,2016.0,,1226.0,0.0,4.0,151.0,2827.0,872.0,450.0,23.0,834.0,978.0,499.0,,712.0,,,412.0,0.0,724.0,254.0,848.0,80.0,168.0,110.0,341.0,0.0,,,0.0,0.0,,,708.0,827.0,,,,,801.0,510.0,,0.0,453.0,1139.0,,95.0,89.0,6.0,2266.0,78.0,164.0,110.0,305.0,0.0,41.0,,539.0,,974.0,0.0,1822.0,,,24.0,1704.0,141.0,336.0,649.0,773.0,5633.0,0.0,394.0,284.0,959.0,13.0,249.0,0.0,1471.0,383.0,268.0,,831.0,4667.0,10716.0,753.0,,69.0,87.0,,,14313.0,1235.0,0.0,6.0,,,41.0,2689.0,,2876.0,54.0,,1493.0,0.0,0.0,440.0,1628.0,493.0,2513.0,2320.0,0.0,925.0,
2017-06,,547.0,,,,,841.0,,,,,,,,,,,1470.0,,236.0,2393.0,4046.0,304.0,,,2102.0,1330.0,65.0,104.0,81.0,,,,,24.0,98.0,2684.0,326.0,257.0,3013.0,11.0,953.0,28.0,,20.0,710.0,893.0,,1115.0,225.0,1500.0,936.0,,,1255.0,,0.0,453.0,722.0,594.0,1214.0,1522.0,229.0,,229.0,,324.0,,14.0,2049.0,,681.0,1787.0,433.0,687.0,,,,,10809.0,16.0,36.0,431.0,0.0,,,1554.0,,,16.0,1162.0,0.0,,285.0,7028.0,20.0,,859.0,1089.0,,525.0,0.0,205.0,895.0,2955.0,122.0,,,,,,,,,293.0,6.0,1084.0,27.0,510.0,,1582.0,2392.0,,218.0,13.0,0.0,129.0,,114.0,387.0,1327.0,89.0,0.0,,263.0,237.0,5.0,171.0,1036.0,,,,,355.0,895.0,519.0,,,0.0,5415.0,,,0.0,121.0,1540.0,3125.0,865.0,1.0,,1764.0,1556.0,,1160.0,0.0,0.0,116.0,2582.0,880.0,496.0,49.0,893.0,989.0,437.0,,624.0,,,428.0,0.0,858.0,315.0,905.0,87.0,156.0,103.0,345.0,0.0,,,0.0,0.0,,,756.0,830.0,,,,,845.0,627.0,,0.0,449.0,1200.0,,76.0,74.0,11.0,2306.0,120.0,104.0,75.0,357.0,0.0,51.0,,468.0,,1069.0,0.0,1869.0,,,23.0,2088.0,168.0,324.0,792.0,739.0,5842.0,0.0,391.0,363.0,822.0,26.0,294.0,0.0,1390.0,398.0,253.0,,920.0,4668.0,10717.0,3280.0,,62.0,71.0,,,12301.0,1075.0,0.0,12.0,445.0,,25.0,850.0,,2769.0,47.0,,1646.0,0.0,0.0,438.0,1632.0,601.0,2325.0,2212.0,0.0,962.0,
2017-07,,597.0,,,,,854.0,,,,,,,,,,,1385.0,,278.0,2219.0,3730.0,364.0,,,1975.0,1133.0,26.0,36.0,67.0,,,,,23.0,64.0,2575.0,392.0,242.0,2685.0,18.0,898.0,35.0,,12.0,785.0,920.0,,1061.0,243.0,1392.0,814.0,,,1291.0,,0.0,443.0,686.0,525.0,1182.0,1650.0,273.0,,217.0,,329.0,,9.0,1976.0,,643.0,1888.0,445.0,972.0,1159.0,,,,10880.0,17.0,45.0,439.0,0.0,,,1533.0,,,20.0,1066.0,0.0,,295.0,6939.0,15.0,,832.0,991.0,,466.0,0.0,194.0,999.0,2616.0,61.0,,,,,,,,,287.0,5.0,1221.0,63.0,487.0,,1565.0,2466.0,,198.0,11.0,0.0,200.0,,107.0,402.0,1254.0,90.0,0.0,,265.0,216.0,4.0,227.0,1148.0,,,,,347.0,741.0,479.0,,,0.0,5015.0,,,0.0,113.0,1682.0,2909.0,888.0,0.0,,1645.0,1614.0,2022.0,1006.0,0.0,2.0,142.0,2528.0,1041.0,553.0,45.0,915.0,944.0,441.0,,602.0,,,433.0,0.0,777.0,307.0,823.0,71.0,144.0,122.0,338.0,0.0,,46.0,0.0,0.0,,,634.0,854.0,,,,,793.0,437.0,,0.0,377.0,1020.0,,76.0,70.0,15.0,2244.0,117.0,102.0,104.0,308.0,0.0,26.0,,502.0,,929.0,0.0,1954.0,,,16.0,1759.0,183.0,343.0,723.0,664.0,6070.0,0.0,339.0,519.0,831.0,21.0,239.0,0.0,1371.0,413.0,223.0,,801.0,4851.0,10394.0,886.0,,74.0,82.0,,,12389.0,1111.0,0.0,8.0,447.0,,14.0,624.0,,2819.0,45.0,,1600.0,0.0,0.0,467.0,1795.0,543.0,1954.0,2172.0,0.0,974.0,
2017-08,,579.0,,,,,786.0,,,,,,,,,,,1210.0,,208.0,1768.0,3271.0,224.0,,,1813.0,1070.0,22.0,35.0,52.0,,,,,29.0,72.0,2351.0,323.0,227.0,2181.0,13.0,869.0,25.0,,7.0,739.0,719.0,,918.0,174.0,1381.0,873.0,,,1064.0,,0.0,393.0,643.0,448.0,1059.0,1189.0,256.0,,175.0,,235.0,,6.0,1517.0,,624.0,1768.0,309.0,605.0,1143.0,,,,10766.0,17.0,40.0,425.0,0.0,,,1384.0,,,4.0,906.0,0.0,,228.0,6234.0,20.0,,741.0,970.0,,355.0,0.0,161.0,835.0,2054.0,75.0,,,,,,,,,257.0,12.0,1055.0,42.0,464.0,,1238.0,2869.0,,216.0,21.0,0.0,160.0,,88.0,345.0,1061.0,61.0,0.0,,237.0,246.0,0.0,171.0,938.0,,,,,309.0,707.0,430.0,,,0.0,4495.0,,,0.0,96.0,1258.0,2349.0,701.0,0.0,,1567.0,1512.0,1882.0,794.0,0.0,4.0,135.0,2314.0,886.0,409.0,35.0,775.0,812.0,359.0,,448.0,,,313.0,0.0,645.0,268.0,672.0,59.0,147.0,113.0,331.0,0.0,,37.0,0.0,0.0,,,520.0,668.0,,,,,762.0,472.0,,0.0,394.0,974.0,,49.0,69.0,8.0,2214.0,87.0,120.0,88.0,306.0,0.0,30.0,,384.0,,839.0,0.0,1684.0,,,16.0,1426.0,188.0,278.0,738.0,646.0,5047.0,0.0,323.0,365.0,785.0,16.0,190.0,0.0,1074.0,350.0,197.0,,698.0,3945.0,9271.0,665.0,,60.0,68.0,,,9769.0,925.0,0.0,3.0,401.0,,22.0,606.0,,2593.0,44.0,,1542.0,0.0,0.0,335.0,1600.0,638.0,2103.0,2020.0,0.0,876.0,
2017-09,,427.0,,,,,763.0,,,,,,,,,,,1133.0,,178.0,1575.0,2735.0,203.0,1630.0,,1971.0,1206.0,13.0,26.0,57.0,,,,,17.0,58.0,1983.0,355.0,215.0,2023.0,8.0,761.0,28.0,,19.0,738.0,872.0,,820.0,216.0,1324.0,715.0,,,997.0,,0.0,371.0,574.0,425.0,963.0,1227.0,198.0,,202.0,,247.0,111.0,6.0,1522.0,,660.0,1568.0,260.0,541.0,1097.0,,,,8883.0,11.0,27.0,438.0,0.0,,,1157.0,,,11.0,863.0,0.0,,220.0,5525.0,18.0,,602.0,913.0,,505.0,0.0,176.0,707.0,1458.0,50.0,,,,,,,,,227.0,4.0,948.0,107.0,358.0,,1130.0,2332.0,,170.0,14.0,0.0,177.0,2981.0,80.0,328.0,990.0,82.0,0.0,,228.0,231.0,1.0,123.0,908.0,,,,,244.0,575.0,300.0,,,0.0,4473.0,,,0.0,113.0,1219.0,2031.0,624.0,1.0,,1425.0,1547.0,1755.0,673.0,0.0,3.0,139.0,2232.0,1025.0,527.0,45.0,843.0,733.0,392.0,,434.0,,,303.0,0.0,493.0,261.0,658.0,45.0,144.0,119.0,308.0,0.0,,86.0,0.0,0.0,,,530.0,567.0,,,,,682.0,387.0,,0.0,365.0,996.0,,69.0,64.0,12.0,2853.0,84.0,131.0,66.0,221.0,0.0,27.0,,376.0,,756.0,0.0,1607.0,,,17.0,1286.0,173.0,264.0,664.0,568.0,4712.0,0.0,336.0,503.0,916.0,9.0,249.0,0.0,1624.0,355.0,170.0,,565.0,4385.0,8418.0,829.0,,59.0,53.0,,,8835.0,786.0,0.0,7.0,402.0,,12.0,382.0,,3072.0,136.0,,1681.0,0.0,0.0,363.0,1314.0,367.0,2110.0,1723.0,0.0,864.0,
2017-10,,497.0,,,,,722.0,,,,,,,,,,,1263.0,,157.0,1551.0,2931.0,244.0,1861.0,,1834.0,1080.0,18.0,16.0,52.0,,,,,13.0,35.0,2187.0,340.0,182.0,2228.0,9.0,787.0,23.0,,13.0,738.0,822.0,,986.0,211.0,1120.0,782.0,,,812.0,,0.0,376.0,616.0,423.0,1012.0,1403.0,247.0,,142.0,,290.0,80.0,13.0,1581.0,,483.0,1487.0,424.0,614.0,908.0,,,,9984.0,9.0,29.0,389.0,0.0,,,1347.0,,,18.0,875.0,0.0,,288.0,6213.0,22.0,,623.0,905.0,,339.0,0.0,167.0,718.0,1020.0,46.0,,,,,,,,,228.0,4.0,1050.0,30.0,406.0,,1212.0,1836.0,,161.0,19.0,0.0,177.0,2619.0,49.0,287.0,1048.0,101.0,0.0,,200.0,217.0,2.0,164.0,910.0,,,,,250.0,611.0,392.0,,,0.0,4824.0,,,0.0,120.0,1434.0,1717.0,575.0,0.0,,1318.0,1365.0,1814.0,666.0,0.0,3.0,88.0,1783.0,1037.0,430.0,55.0,705.0,711.0,421.0,,491.0,,,234.0,0.0,585.0,247.0,740.0,46.0,114.0,131.0,254.0,0.0,,29.0,0.0,0.0,,,509.0,603.0,,,,,720.0,363.0,,0.0,373.0,1000.0,,82.0,77.0,13.0,2170.0,73.0,143.0,67.0,262.0,0.0,32.0,,420.0,,936.0,0.0,1623.0,,,21.0,1380.0,168.0,269.0,646.0,518.0,5330.0,0.0,349.0,346.0,728.0,9.0,256.0,0.0,1054.0,408.0,212.0,,639.0,12577.0,9940.0,665.0,,52.0,47.0,,,9013.0,680.0,0.0,6.0,391.0,,6.0,373.0,,2874.0,43.0,,1631.0,0.0,0.0,411.0,1545.0,737.0,1929.0,2037.0,0.0,808.0,
