Week,14._Februar,1918,1919,1920,1933,1957,1958,1968,1969,1976,1977,1999,2005,AIDS,Acetylsalicylsäure,Adamantan,Adolf_Mayer_(Agronom),Akute_Bronchitis,Akute_Mittelohrentzündung,Alexander_S._Kekulé,Allen_Welsh_Dulles,Allergie,Amantadin,Antibiotikum,Antigen,Antigendrift,Antigenerbsünde,Antigenshift,Antikörper,Asiatische_Grippe,Astrologie,Bakterien,Berna_Biotech,Bertolt_Brecht,Biologische_Schutzstufe,Biologische_Sicherheitsstufe,Blutsenkungsreaktion,Charles_Tomlinson_Griffes,Cholecalciferol,Cholera,Coxsackie-Virus,Denguefieber,Desinfektion,Deutsch-Sowjetischer_Krieg,Dilatative_Kardiomyopathie,Dispositionsprophylaxe,Durchfall,Elektronenmikroskop,Enzephalitis,Epidemie,Epidemien,Epidemiologische_Überwachung,Erbrechen,Erkrankungen_des_Atmungssystems,Erkältung,Eukalyptusöl,European_Centre_for_Disease_Prevention_and_Control,European_Influenza_Surveillance_Scheme,Europäische_Schlafkrankheit,Europäisches_Zentrum_für_die_Prävention_und_die_Kontrolle_von_Krankheiten,Expositionsprophylaxe,Fieber,Franz_Schönhuber,Frettchen,Frühsommer-Meningoenzephalitis,Gastroenteritis,Geflügelpest,Geflügelpestschutzverordnung,Gelbfieber,Gendrift,Generikum,Gilead_Sciences,GlaxoSmithKline,Gliederschmerz,Grippe,Grippe_(Begriffsklärung),Grippeimpfung,HIV,Haemophilus,Halsschmerzen,Hantaviren,Hausmittel,Haussperling,Hit_and_Run_(Medizin),Hoffmann-La_Roche,Hongkong-Grippe,Husten,Hygiene,Hämagglutination,Hämagglutinin_(Influenzavirus_A),Immunisierung,Immunsystem,Impfen,Impfkalender,Impfkritik,Impfstoff,Impfung,Infektion,Infektionsepidemiologisches_Jahrbuch,Infektionskrankheit,Influenza,Influenza-A-Virus_H1N1,Influenza-A-Virus_H5N1,Influenza-Schnelltest,Influenzaimpfstoff,Influenzapandemie,Influenzavirus,Inkubationszeit,Intercell,Internationale_statistische_Klassifikation_der_Krankheiten_und_verwandter_Gesundheitsprobleme,Jakow_Michailowitsch_Swerdlow,Johannes_Paul_II.,Jonas_Salk,Kapsid,Klaus_Stöhr,Kohortenisolierung,Krankheit,Krankheitserreger,Königsberg_(Preußen),Laryngitis,Lassafieber,Lebendimpfstoff,Leitsymptom,Liste_der_Krankheiten_des_Atmungssystems_nach_ICD-10,Liste_der_unentbehrlichen_Arzneimittel_der_Weltgesundheitsorganisation,Liste_von_Subtypen_des_Influenza-A-Virus,Listeria_monocytogenes,Luftzug,Lungenentzündung,Lymphozytäre_Choriomeningitis,MERS-CoV,MMW-Fortschritte_der_Medizin,Masern,Medical_Research_Council_(UK),Meningitis,Mittelalter,Multiple_Sklerose,Mundschutz_(Medizin),Myalgie,Myokarditis,Myositis,Myxoviren,Māori,Nasensekret,National_Institute_for_Medical_Research,Nationaler_Pandemieplan,Nationales_Referenzzentrum,Nature,Neuraminidase,Neuraminidase-Hemmer,Nosokomiale_Infektion,Novartis,Opioide,Orthomyxoviren,Orthomyxoviridae,Oseltamivir,PH-Wert,Paläoserologie,Pandemie,Pandemie_H1N1_2009,Pandemie_H1N1_2009/10,Patrick_Laidlaw,Peramivir,Peru,Pest,Pfeiffer-Drüsenfieber,Pferdeinfluenza,Pharyngitis,Pneumokokken,Polymerase-Kettenreaktion,Preußen,Protein,Proteomik,Pseudokrupp,RIG-I,RNA-Virus,Resistenz,Respiratory-Syncytial-Virus,Reye-Syndrom,Rhinitis,Ribavirin,Richard_Pfeiffer_(Bakteriologe),Richard_Shope,Rifttalfieber,Rimantadin,Robert_Koch,Robert_Koch-Institut,Robert_Webster_(Virologe),Russische_Grippe,Sachsen-Anhalt,Schmierinfektion,Schwangerschaft,Schweinegrippe-Impfung,Schweineinfluenza,Schüttelfrost,Sekundärinfektion,Selbstmedikation,Shikimisäure,Sialinsäuren,Spanische_Grippe,Speichel,Stammzelltransplantation,Staphylococcus_aureus,Stomatitis_vesicularis,Superinfektion,Symptom,Tamiflu,Theophyllin,Theoretische_Biologie,Tilapia-Teich-Virus,Tollwut,Tracheobronchitis,Trinkwasser,Tröpfcheninfektion,Vektor_(Biologie),Verbreitung_von_H5N1,Viren,Virologie,Virostatikum,Virusinfektion,Vogelgrippe_H5N1,Vogelgrippe_H7N9,Vögel,Weltgesundheitsorganisation,Wendell_Meredith_Stanley,West-Nil-Virus,Wirt_(Biologie),World_Health_Organization,Zanamivir,Zecken,Zellkultur,Zervixkarzinom,Zikavirus-Epidemie_2015/2016,Zytokin,Zytokinsturm,Zytomegalie,Übersterblichkeit
2015-01,219.0,,,,,,,,,,,,,,3.0,109.0,0.0,2078.0,2.0,0.0,,1529.0,,1899.0,,72.0,1.0,71.0,,46.0,1149.0,2204.0,15.0,,302.0,76.0,487.0,,,,317.0,1220.0,572.0,2215.0,275.0,11.0,1341.0,552.0,884.0,,8.0,0.0,653.0,18.0,3.0,0.0,,5.0,1.0,0.0,,,,,1.0,,0.0,0.0,726.0,263.0,628.0,,,40.0,,0.0,325.0,,,176.0,565.0,30.0,1006.0,0.0,,95.0,617.0,,0.0,0.0,125.0,1165.0,28.0,127.0,13.0,293.0,1296.0,678.0,4.0,808.0,,322.0,108.0,44.0,1.0,7.0,,654.0,,2374.0,127.0,1703.0,,210.0,1.0,0.0,722.0,369.0,,,101.0,128.0,102.0,221.0,364.0,109.0,,101.0,2.0,3.0,,24.0,1717.0,,,4557.0,6115.0,0.0,440.0,1080.0,,14.0,,604.0,,14.0,15.0,,,75.0,509.0,,1137.0,8.0,,,3541.0,0.0,,53.0,165.0,,,,6121.0,5.0,44.0,,659.0,1143.0,,,113.0,887.0,,184.0,216.0,964.0,354.0,,,0.0,,37.0,12.0,,,0.0,63.0,,216.0,2450.0,72.0,352.0,0.0,0.0,68.0,0.0,1.0,1147.0,344.0,617.0,,24.0,165.0,,,613.0,93.0,0.0,1651.0,,805.0,0.0,0.0,51.0,,121.0,315.0,520.0,241.0,85.0,5.0,1050.0,,155.0,0.0,,,689.0,273.0,1240.0,0.0,548.0,1.0,678.0,0.0
2015-02,501.0,,,,,,,,,,,,,,7.0,260.0,0.0,5082.0,2.0,0.0,,3793.0,,5554.0,,131.0,0.0,131.0,,124.0,2194.0,6758.0,45.0,,1201.0,308.0,1821.0,,,,819.0,3006.0,1668.0,4343.0,809.0,15.0,3044.0,1465.0,2120.0,,10.0,0.0,1274.0,52.0,6.0,1.0,,15.0,1.0,1.0,,4584.0,,,18.0,,2.0,0.0,2066.0,805.0,1842.0,,,84.0,526.0,0.0,787.0,,,347.0,1582.0,91.0,2339.0,0.0,,174.0,1330.0,,0.0,0.0,313.0,3090.0,70.0,420.0,40.0,751.0,3060.0,1776.0,7.0,2358.0,,737.0,364.0,103.0,0.0,4.0,,1644.0,,6834.0,225.0,3246.0,,531.0,0.0,1.0,1720.0,1162.0,,,216.0,406.0,214.0,814.0,744.0,320.0,,216.0,5.0,0.0,,54.0,4479.0,,,11427.0,14961.0,0.0,1048.0,2502.0,,13.0,,1247.0,,90.0,34.0,,,117.0,1560.0,,2371.0,22.0,,,9657.0,0.0,,58.0,232.0,,,,7934.0,10.0,91.0,,1882.0,4368.0,,,341.0,2189.0,,452.0,685.0,2020.0,795.0,,,0.0,,84.0,37.0,,,0.0,116.0,,550.0,5769.0,114.0,334.0,3.0,3.0,126.0,1.0,1.0,1973.0,921.0,1625.0,,67.0,428.0,,,1527.0,214.0,0.0,3836.0,,2276.0,4.0,0.0,132.0,,259.0,731.0,1834.0,545.0,152.0,9.0,2509.0,,384.0,0.0,,,1383.0,848.0,2295.0,0.0,1557.0,1.0,2203.0,0.0
2015-03,507.0,,,,,,,,,,,,,,58.0,271.0,0.0,5951.0,3.0,2.0,,4005.0,,5670.0,,140.0,1.0,127.0,,108.0,1933.0,6974.0,30.0,,1220.0,376.0,2240.0,,,,938.0,3183.0,1849.0,4184.0,885.0,120.0,3022.0,1449.0,2113.0,,18.0,0.0,1292.0,32.0,3.0,0.0,,13.0,0.0,0.0,,4699.0,,,2.0,,1.0,0.0,2327.0,868.0,1809.0,,,102.0,581.0,0.0,644.0,,,385.0,1463.0,112.0,2363.0,0.0,,159.0,1250.0,,0.0,0.0,383.0,3059.0,74.0,462.0,46.0,871.0,3219.0,1903.0,11.0,2300.0,,1042.0,484.0,145.0,0.0,2.0,,1596.0,,6667.0,244.0,4955.0,,509.0,0.0,5.0,1805.0,1198.0,,,218.0,496.0,230.0,873.0,786.0,317.0,,230.0,5.0,0.0,,72.0,5385.0,,,11070.0,15943.0,0.0,1150.0,2291.0,,14.0,,1244.0,,67.0,47.0,,,141.0,1672.0,,2429.0,19.0,,,11381.0,0.0,,66.0,240.0,,,,7831.0,8.0,107.0,,2169.0,4861.0,,,456.0,2508.0,,422.0,761.0,1901.0,977.0,,,0.0,,79.0,37.0,,,0.0,121.0,,577.0,7633.0,138.0,330.0,1.0,0.0,134.0,0.0,2.0,1844.0,1046.0,1621.0,,64.0,399.0,,,1663.0,253.0,0.0,4041.0,,2202.0,0.0,0.0,100.0,,304.0,774.0,1865.0,567.0,177.0,15.0,2396.0,,382.0,0.0,,,2284.0,935.0,2606.0,0.0,1554.0,2.0,2412.0,2.0
2015-04,587.0,,,,,,,,,,,,,,3.0,269.0,0.0,5250.0,0.0,0.0,,3912.0,,5522.0,,143.0,0.0,162.0,,90.0,1833.0,7347.0,40.0,,1302.0,415.0,2255.0,,,,916.0,2904.0,1862.0,4133.0,772.0,26.0,3107.0,1572.0,2325.0,,17.0,0.0,1353.0,41.0,0.0,0.0,,16.0,0.0,0.0,,4905.0,,,0.0,,0.0,0.0,2102.0,809.0,2013.0,,,115.0,636.0,0.0,734.0,,,422.0,1364.0,99.0,2254.0,0.0,,155.0,1300.0,,0.0,0.0,478.0,3136.0,77.0,525.0,47.0,821.0,3187.0,1841.0,8.0,2484.0,,1227.0,676.0,171.0,0.0,5.0,,1607.0,,6898.0,375.0,3291.0,,512.0,0.0,8.0,1836.0,1332.0,,,209.0,445.0,237.0,1174.0,790.0,274.0,,198.0,1.0,0.0,,44.0,7266.0,,,10661.0,15675.0,0.0,1189.0,2176.0,,7.0,,1144.0,,50.0,30.0,,,169.0,2509.0,,2626.0,18.0,,,10549.0,0.0,,63.0,308.0,,,,8212.0,1.0,110.0,,2086.0,5194.0,,,383.0,3065.0,,435.0,705.0,2380.0,964.0,,,0.0,,124.0,25.0,,,0.0,108.0,,508.0,5487.0,109.0,427.0,0.0,0.0,144.0,0.0,0.0,1961.0,1074.0,1745.0,,76.0,394.0,,,1714.0,596.0,0.0,4757.0,,2145.0,0.0,0.0,129.0,,233.0,772.0,1899.0,559.0,180.0,5.0,3209.0,,377.0,0.0,,,1538.0,955.0,2429.0,0.0,1636.0,2.0,2654.0,0.0
2015-05,783.0,,,,,,,,,,,,,,9.0,351.0,0.0,5256.0,0.0,0.0,,3774.0,,5751.0,,167.0,0.0,168.0,,156.0,1822.0,6111.0,43.0,,1290.0,422.0,2250.0,,,,1023.0,5436.0,1801.0,5523.0,786.0,16.0,3201.0,1420.0,2297.0,,20.0,0.0,1357.0,54.0,2.0,0.0,,27.0,0.0,0.0,,6336.0,,,4.0,,2.0,0.0,2029.0,761.0,2047.0,,,126.0,838.0,0.0,724.0,,,527.0,1558.0,103.0,2053.0,0.0,,268.0,1481.0,,1.0,0.0,333.0,3087.0,65.0,463.0,44.0,907.0,3259.0,2002.0,9.0,2180.0,,1359.0,884.0,303.0,0.0,7.0,,1620.0,,6690.0,247.0,3023.0,,596.0,0.0,2.0,1776.0,1143.0,,,261.0,530.0,229.0,1034.0,776.0,227.0,,191.0,8.0,0.0,,53.0,8447.0,,,10023.0,14258.0,0.0,1177.0,2235.0,,16.0,,1301.0,,45.0,29.0,,,258.0,2668.0,,2550.0,21.0,,,10352.0,0.0,,67.0,291.0,,,,7125.0,3.0,94.0,,2128.0,4448.0,,,443.0,2960.0,,414.0,721.0,2668.0,1089.0,,,0.0,,85.0,25.0,,,0.0,137.0,,531.0,4996.0,137.0,499.0,0.0,0.0,150.0,1.0,3.0,2104.0,977.0,1958.0,,74.0,384.0,,,1678.0,403.0,0.0,3871.0,,2354.0,2.0,0.0,102.0,,253.0,761.0,1865.0,433.0,181.0,46.0,2643.0,,394.0,0.0,,,1495.0,855.0,2592.0,0.0,1567.0,5.0,2513.0,0.0
2015-06,1285.0,,,,,,,,,,,,,,15.0,299.0,0.0,5706.0,0.0,1.0,272.0,3737.0,,5159.0,,134.0,3.0,129.0,,161.0,1704.0,5834.0,50.0,,1850.0,519.0,2130.0,,,,946.0,6449.0,1719.0,4204.0,852.0,18.0,2951.0,1399.0,2086.0,,20.0,0.0,1335.0,44.0,9.0,0.0,,24.0,0.0,1.0,,6802.0,,,7.0,,0.0,0.0,1993.0,903.0,1724.0,,,155.0,1117.0,0.0,991.0,,,450.0,1357.0,98.0,2024.0,0.0,,257.0,1428.0,,0.0,0.0,276.0,2933.0,127.0,803.0,62.0,1128.0,4419.0,1878.0,9.0,2170.0,,1501.0,965.0,385.0,1.0,4.0,,1673.0,,6520.0,201.0,2850.0,,573.0,0.0,6.0,1729.0,1065.0,,,423.0,539.0,212.0,1153.0,787.0,273.0,,190.0,2.0,0.0,,45.0,23893.0,,,8547.0,13437.0,0.0,1044.0,2169.0,,17.0,,1317.0,,61.0,25.0,,,268.0,1570.0,,2303.0,16.0,,,9571.0,0.0,,93.0,326.0,,,,6045.0,9.0,96.0,,1984.0,4541.0,,,393.0,2917.0,,420.0,704.0,2845.0,1004.0,,,0.0,,66.0,40.0,,,0.0,132.0,,507.0,4785.0,166.0,484.0,0.0,0.0,110.0,1.0,4.0,1989.0,1000.0,1669.0,,77.0,481.0,,,1536.0,365.0,0.0,3988.0,,1829.0,1.0,0.0,116.0,,238.0,785.0,1908.0,383.0,166.0,15.0,2336.0,,371.0,0.0,,,1328.0,826.0,2372.0,0.0,1611.0,0.0,2236.0,0.0
2015-07,12928.0,,,,,,,,,,,,,,8.0,269.0,0.0,5768.0,0.0,2.0,189.0,3249.0,,5112.0,,146.0,0.0,135.0,,251.0,1747.0,6001.0,41.0,,1280.0,374.0,1922.0,,11054.0,,1088.0,3251.0,1843.0,4706.0,705.0,16.0,2882.0,1334.0,2135.0,,24.0,0.0,1278.0,47.0,7.0,0.0,,29.0,0.0,0.0,,7549.0,,,4.0,,0.0,0.0,1964.0,1051.0,1820.0,,,167.0,1572.0,0.0,1253.0,,,404.0,1369.0,108.0,1917.0,0.0,,337.0,1496.0,,1.0,0.0,248.0,2697.0,122.0,718.0,73.0,920.0,4859.0,1727.0,10.0,2140.0,,1856.0,880.0,615.0,0.0,4.0,,1718.0,,6162.0,295.0,2652.0,,510.0,0.0,5.0,1752.0,1048.0,,,247.0,527.0,189.0,1129.0,722.0,316.0,401.0,160.0,3.0,0.0,,57.0,15316.0,,,7995.0,13066.0,0.0,998.0,2449.0,,12.0,,1428.0,,64.0,31.0,,215.0,331.0,1493.0,,2161.0,18.0,,,9071.0,0.0,,116.0,385.0,,,,8752.0,5.0,98.0,,2021.0,4115.0,,,401.0,2637.0,,369.0,638.0,2814.0,1119.0,,,0.0,,75.0,35.0,,,0.0,190.0,,529.0,4660.0,199.0,539.0,0.0,2.0,135.0,0.0,2.0,2160.0,955.0,1446.0,,66.0,419.0,,,1427.0,298.0,0.0,3594.0,,1909.0,2.0,0.0,103.0,,256.0,813.0,1995.0,388.0,140.0,8.0,2273.0,,440.0,0.0,,,1555.0,781.0,2249.0,0.0,1345.0,0.0,2116.0,1.0
2015-08,2483.0,,,,,,,,,,,,,,85.0,240.0,0.0,5817.0,0.0,2.0,193.0,3286.0,,5591.0,,170.0,0.0,146.0,,255.0,1841.0,5639.0,51.0,,1275.0,390.0,1819.0,,11322.0,,959.0,2805.0,1724.0,4765.0,740.0,12.0,2876.0,1283.0,2306.0,,27.0,0.0,1153.0,45.0,7.0,1.0,,63.0,0.0,0.0,,7874.0,,,4.0,,0.0,0.0,1845.0,1001.0,1736.0,,,181.0,2419.0,0.0,1249.0,,,389.0,1394.0,107.0,1891.0,0.0,,435.0,1490.0,,0.0,0.0,233.0,2744.0,77.0,657.0,63.0,912.0,3708.0,1660.0,10.0,2159.0,,1452.0,832.0,797.0,0.0,8.0,,1884.0,,6003.0,226.0,2726.0,,593.0,0.0,1.0,1902.0,986.0,,,202.0,420.0,209.0,1242.0,867.0,411.0,363.0,214.0,2.0,0.0,,60.0,18541.0,,,8172.0,12891.0,0.0,936.0,2251.0,,8.0,,1419.0,,50.0,22.0,,273.0,553.0,1558.0,,2145.0,25.0,,,8974.0,0.0,,153.0,367.0,,,,6276.0,1.0,146.0,,1809.0,4262.0,,,374.0,2363.0,,369.0,674.0,2216.0,1167.0,,,0.0,,142.0,56.0,,,0.0,228.0,,491.0,4908.0,206.0,578.0,7.0,0.0,182.0,0.0,1.0,2741.0,1021.0,1468.0,,48.0,494.0,,,1487.0,307.0,0.0,3983.0,,1734.0,1.0,0.0,90.0,,269.0,858.0,4240.0,386.0,148.0,11.0,2036.0,28.0,372.0,0.0,,,7649.0,698.0,2283.0,0.0,1280.0,4.0,2009.0,0.0
2015-09,551.0,,,,,,,,,,,,,,9.0,242.0,0.0,5608.0,1.0,0.0,211.0,3691.0,,5659.0,,164.0,1.0,121.0,,298.0,1817.0,6424.0,36.0,,1253.0,379.0,2081.0,,11500.0,2969.0,865.0,2974.0,1973.0,4629.0,705.0,20.0,2884.0,1343.0,3928.0,,31.0,0.0,1167.0,46.0,13.0,1.0,,41.0,3.0,0.0,,7496.0,,1519.0,5.0,,0.0,0.0,2166.0,1077.0,1720.0,,,191.0,2499.0,0.0,1636.0,,,399.0,1359.0,102.0,2197.0,0.0,,366.0,1398.0,,0.0,0.0,334.0,3175.0,378.0,5329.0,290.0,1301.0,14953.0,1785.0,15.0,2850.0,,1644.0,978.0,697.0,1.0,4.0,,2019.0,,6561.0,235.0,2830.0,,543.0,1.0,6.0,1886.0,1054.0,,,249.0,1214.0,225.0,1419.0,990.0,393.0,398.0,190.0,4.0,0.0,,58.0,152599.0,,24371.0,9032.0,14341.0,0.0,1064.0,2361.0,,28.0,,1410.0,,59.0,35.0,,255.0,387.0,1539.0,,2240.0,25.0,,,9418.0,1.0,,100.0,525.0,,,,8436.0,4.0,140.0,,2803.0,4258.0,,,324.0,2476.0,,435.0,684.0,2268.0,1239.0,,,0.0,,127.0,57.0,,,0.0,260.0,8131.0,537.0,4890.0,408.0,529.0,0.0,1.0,184.0,1.0,1.0,2882.0,1025.0,1578.0,,59.0,591.0,,,1401.0,313.0,0.0,4798.0,,2114.0,2.0,0.0,138.0,,255.0,995.0,1993.0,448.0,184.0,3.0,2614.0,47.0,342.0,0.0,,,1857.0,740.0,2284.0,0.0,1314.0,1.0,2228.0,1.0
2015-10,300.0,,,,,,,,,,,,,,18.0,228.0,0.0,4696.0,0.0,0.0,235.0,3239.0,,5095.0,,107.0,0.0,94.0,,215.0,1640.0,5631.0,48.0,,1214.0,440.0,2017.0,,11156.0,2778.0,804.0,2815.0,1637.0,4484.0,671.0,19.0,2964.0,1250.0,2283.0,,25.0,0.0,1292.0,40.0,15.0,1.0,,44.0,0.0,0.0,,5633.0,,1711.0,7.0,,1.0,0.0,1838.0,875.0,1590.0,,1003.0,162.0,1560.0,0.0,912.0,,,356.0,1196.0,130.0,2066.0,0.0,,247.0,1252.0,,0.0,0.0,305.0,2905.0,146.0,1309.0,89.0,990.0,6343.0,1656.0,12.0,2233.0,,1421.0,712.0,445.0,1.0,6.0,,1716.0,,5834.0,287.0,2859.0,,439.0,0.0,6.0,1746.0,985.0,,,225.0,708.0,207.0,1127.0,962.0,283.0,361.0,192.0,0.0,1.0,,63.0,35653.0,,5184.0,9388.0,15346.0,0.0,1002.0,2376.0,,16.0,,1254.0,,44.0,44.0,,183.0,279.0,1395.0,,2127.0,15.0,,,9269.0,0.0,,39.0,424.0,,,,7193.0,5.0,131.0,,2221.0,4403.0,10.0,,345.0,2271.0,,365.0,609.0,1815.0,905.0,,,0.0,,95.0,43.0,,,0.0,264.0,8322.0,513.0,4960.0,274.0,469.0,9.0,1.0,162.0,0.0,0.0,2381.0,893.0,1448.0,,68.0,462.0,,,1329.0,251.0,0.0,4501.0,,1945.0,2.0,0.0,133.0,,235.0,776.0,1682.0,413.0,140.0,16.0,2282.0,52.0,321.0,0.0,,,2146.0,742.0,2209.0,0.0,1342.0,3.0,2122.0,0.0
