Week,1968,Acetylsalicylsäure,Adolf_Mayer_(Agronom),Agglutinine,Akute_Bronchitis,Algen,Allergie,Altgriechische_Sprache,Amantadin,Aminosäuren,Anatomie,Anorexie,Antibiotika,Antibiotikum,Antigen,Antikörper,Arch_Int_Med,Art_(Biologie),Arzneimittel,Arzneistoff,Asiatische_Grippe,Asthma_bronchiale,Astrologie,Atemtrakt,Bakterien,Berichte_zur_Wissenschaftsgeschichte,Berlin,Biologie,Blut,Blutgefäß,Blutsenkungsreaktion,Bronchialsekret,Bronchialsystem,Bronchitis,Bronchoalveoläre_Lavage,Bundesamt_für_Gesundheit,Bundesamt_für_Statistik,Carl_von_Linné,Cathelicidine,Cholecalciferol,Cholera,Cochrane_Collaboration,"Constantine_Phipps,_2._Baron_Mulgrave",Desoxyribonukleinsäure,Deutschland,Diagnose,Dmitri_Iossifowitsch_Iwanowski,Dmitri_Iwanowski,Durchfall,EU,Einen_Vogel_haben,Elektronenmikroskop,Emerg_Infect_Dis,Emerging_Infectious_Diseases,Englische_Sprache,Entzündung,Enzephalitis,Enzym,Epidemie,Epidemiologie,Epidemiologische_Überwachung,Epithel,Erbrechen,Erkältung,Erreger,Erythrozyt,Ethanol,Eukaryoten,European_Centre_for_Disease_Prevention_and_Control,European_Influenza_Surveillance_Scheme,Europäische_Union,Europäisches_Zentrum_für_die_Prävention_und_die_Kontrolle_von_Krankheiten,Expositionsprophylaxe,Fachzeitschrift,Familie_(Biologie),Fieber,Frankreich,Gattung_(Biologie),Geflügelpest,Gehirn,Gelbfieber,Gen,Generikum,Genom,Gliederschmerz,Gliederschmerzen,Glykoproteine,Grad_Celsius,Griechische_Sprache,Grippe_(Begriffsklärung),Grippeimpfung,Gundolf_Keil,HIV,Haut,Hepatitis,Hepatitis_A,Hermann_Nothnagel,Hongkong-Grippe,Horst_Kremling,Husten,Hygiene,Hämagglutinin,Hämagglutinin_(Influenzavirus_A),I.E.,ISI_Web_of_Knowledge,Immunantwort,Immunisierung,Immunität_(Medizin),Immunsystem,Impact_Factor,Impfung,Infektion,Infektionskrankheit,Influenza,Influenza-A-Virus_H1N1,Influenza-Schnelltest,Influenzaimpfstoff,Influenzapandemie,Influenzavirus,Inkubationszeit,International_Statistical_Classification_of_Diseases_and_Related_Health_Problems,Internationale_Einheit,Internationale_statistische_Klassifikation_der_Krankheiten_und_verwandter_Gesundheitsprobleme,Internetsurfen,Italienische_Sprache,JAMA_Internal_Medicine,J_Infect_Dis,Journal_of_the_American_Medical_Association,Kehle,Kehle_(Anatomie),Kohortenisolierung,Kontaktinfektion,Kontraindikation,Kopfschmerz,Kopfschmerzen,Krankenkasse,Krankheit,Krankheitserreger,Königsberg_(Preußen),Latein,Latenzzeit,Leber,Lebewesen,Leukozyt,Liste_von_Subtypen_des_Influenza-A-Virus,Luftzug,Lunge,Lungenentzündung,M2_(Influenza),MMW-Fortschritte_der_Medizin,Martinus_Beijerinck,Martinus_Willem_Beijerinck,Matrixprotein_2_(Influenzavirus_A),Medikament,Medizin,Meningitis,Meter,Miasma,Miasmen,Mikrobiologie,Mikroorganismus,Mittelalter,Mol,Mortalität,Mundschutz,Mundschutz_(Medizin),Mundschutz_(Sport),Mutation,Myokarditis,Myositis,Nasenschleimhaut,Nasensekret,National_Institute_for_Medical_Research,Nature,Nebenwirkung,Neuraminidase,Neuraminidase-Hemmer,Nomenklatur_(Biologie),Norwegen,Organismus,Orthomyxoviridae,Oseltamivir,Otitis_media,PCR,PH-Wert,Pandemie,Pandemie_H1N1_2009,Pandemie_H1N1_2009/10,Parasitismus,Pathogen,Pathogenität,Patrick_Laidlaw,Peer-Review,Pest,Pferdeinfluenza,Pilze,Planet,Pneumokokken,Polymerase-Kettenreaktion,Preußen,Protein,Public_Health,Resistenz,Respiratory-Syncytial-Virus,Reye-Syndrom,Rhinitis,Ribonukleinsäure,Richard_Pfeiffer_(Bakteriologe),Rimantadin,Risikofaktor_(Medizin),Robert-Koch-Institut,Robert_Koch-Institut,Russische_Grippe,Römische_Kirche,Sauerstoff,Scheinkorrelation,Schleimhaut,Schmerz,Schmierinfektion,Schweineinfluenza,Schweiz,Schüttelfrost,Sekundärinfektion,Selbstmedikation,Sexuell_übertragbare_Erkrankung,Spanische_Grippe,Speichel,Staphylococcus_aureus,Statistisches_Bundesamt,Superinfektion,Symptom,Systematik_(Biologie),Systematische_Übersichtsarbeit,Säugetier,Säugetiere,Süddeutsche_Zeitung,T-Lymphozyt,The_Journal_of_Infectious_Diseases,The_Times,Therapie,Todesursachenstatistik,Totenschein,Trachealsekret,Trinkwasser,Tröpfcheninfektion,Tumor,Urbanisierung,Vektor_(Biologie),Vereinigte_Staaten,Vereinigtes_Königreich,Verschreibungspflicht,Verschreibungspflichtig,Verzögerungszeit,Viren,Virologie,Virusinfektion,Vogel,Vogelgrippe_H5N1,Vögel,Wasser,Web_of_Science,Weltgesundheitsorganisation,Wendell_Meredith_Stanley,Werner_E._Gerabek,Wirt_(Biologie),World_Health_Organization,Zanamivir,Zelle_(Biologie),Zellkultur,Zweiter_Weltkrieg,Zytokin,Zytokinsturm,Öffentliche_Gesundheit,Österreich,Übelkeit,Übergewicht,Übersterblichkeit
2012-01,,18.0,0.0,272.0,9343.0,,6946.0,3173.0,,12.0,,4728.0,,11945.0,,,2.0,0.0,3284.0,810.0,123.0,8230.0,4542.0,868.0,10907.0,0.0,,,,8.0,2310.0,126.0,2664.0,,1.0,,2.0,,48.0,,,,0.0,30.0,,,71.0,7.0,11278.0,,69.0,1985.0,,,,5.0,3049.0,2419.0,,4172.0,0.0,4909.0,3887.0,30.0,106.0,4325.0,,6891.0,,34.0,48.0,1.0,,468.0,0.0,,,0.0,0.0,17548.0,4079.0,,2565.0,,703.0,109.0,1063.0,3078.0,3334.0,0.0,1186.0,102.0,,,,,,132.0,0.0,7376.0,,1.0,0.0,,,1222.0,816.0,0.0,5600.0,,6530.0,3862.0,3496.0,,784.0,70.0,0.0,5.0,,2595.0,,740.0,5995.0,268.0,3224.0,,,,265.0,0.0,0.0,175.0,1793.0,4070.0,445.0,2318.0,3317.0,1264.0,,7926.0,269.0,,2819.0,6584.0,0.0,247.0,,26.0,0.0,42.0,,,0.0,845.0,5977.0,,,,27.0,1147.0,1808.0,15230.0,,6.0,65.0,0.0,0.0,,4890.0,,621.0,2164.0,,,1284.0,,178.0,0.0,,1446.0,,,,,13268.0,,102.0,458.0,2856.0,,0.0,,1514.0,11184.0,115.0,6328.0,,3102.0,5052.0,,,,987.0,1886.0,1471.0,,9.0,0.0,56.0,0.0,,,129.0,0.0,,227.0,2389.0,3686.0,943.0,398.0,,3.0,1.0,182.0,10.0,2419.0,1562.0,,,653.0,,0.0,3.0,3.0,11.0,,2593.0,,,2005.0,11.0,541.0,9.0,3071.0,2.0,,3854.0,0.0,72160.0,,790.0,36.0,2.0,,360.0,3791.0,,0.0,9.0,,,2999.0,,0.0,0.0,,,0.0,852.0,41545.0,1683.0,1.0,0.0,,4.0,7.0,0.0
2012-02,,23.0,0.0,380.0,7173.0,,7769.0,3533.0,,21.0,,4321.0,,11469.0,,,0.0,0.0,3714.0,867.0,100.0,8578.0,4046.0,1136.0,15424.0,0.0,,,,7.0,3135.0,94.0,2699.0,,1.0,,1.0,,47.0,,,,0.0,20.0,,,77.0,6.0,9901.0,,68.0,2483.0,,,,7.0,3009.0,2470.0,,4573.0,0.0,5118.0,4039.0,31.0,152.0,5780.0,,8090.0,,16.0,48.0,0.0,,587.0,0.0,,,0.0,2.0,20672.0,4296.0,,2598.0,,538.0,98.0,1208.0,3925.0,3583.0,0.0,1321.0,74.0,,,,,,116.0,1.0,6374.0,,0.0,0.0,,,1620.0,1143.0,0.0,7181.0,,8359.0,4714.0,4612.0,,768.0,79.0,0.0,4.0,,3047.0,,800.0,5965.0,316.0,3649.0,,,,260.0,0.0,0.0,253.0,1962.0,4031.0,489.0,2552.0,3690.0,1884.0,,8215.0,374.0,,3786.0,8208.0,0.0,198.0,,31.0,0.0,64.0,,,0.0,868.0,5999.0,,,,31.0,1293.0,2290.0,19270.0,,5.0,65.0,0.0,0.0,,4686.0,,559.0,1929.0,,,1508.0,,165.0,0.0,,1870.0,,,,,18164.0,,86.0,453.0,3869.0,,2.0,,1763.0,15878.0,100.0,9009.0,,3495.0,7430.0,,,,1278.0,1326.0,1571.0,,5.0,0.0,53.0,0.0,,,139.0,0.0,,280.0,2343.0,4257.0,1092.0,366.0,,10.0,0.0,186.0,7.0,2036.0,1627.0,,,614.0,,0.0,0.0,1.0,20.0,,3081.0,,,2275.0,0.0,528.0,10.0,4476.0,4.0,,4935.0,0.0,65344.0,,735.0,45.0,2.0,,303.0,4130.0,,0.0,10.0,,,3475.0,,0.0,0.0,,,0.0,1049.0,49734.0,1896.0,5.0,1.0,,6.0,10.0,0.0
2012-03,,25.0,0.0,331.0,6551.0,,7844.0,3453.0,,23.0,,4422.0,,10428.0,,,0.0,0.0,3765.0,904.0,105.0,8334.0,3425.0,1065.0,13980.0,0.0,,,,4.0,3264.0,124.0,2529.0,,3.0,,1.0,,56.0,,,,0.0,25.0,,,53.0,7.0,10053.0,,46.0,2388.0,,,,7.0,3089.0,3118.0,,4575.0,0.0,5148.0,3641.0,40.0,102.0,5768.0,,7098.0,,11.0,83.0,0.0,,468.0,0.0,,,0.0,0.0,16195.0,4303.0,,2591.0,,534.0,103.0,1295.0,3914.0,3621.0,0.0,1255.0,65.0,,,,,,110.0,0.0,5965.0,,0.0,0.0,,,1617.0,1022.0,0.0,7140.0,,8236.0,4438.0,4383.0,,776.0,72.0,0.0,6.0,,2877.0,,819.0,5866.0,389.0,3537.0,,,,233.0,0.0,2.0,236.0,2040.0,3844.0,541.0,2458.0,3662.0,1569.0,,8726.0,361.0,,3173.0,8266.0,0.0,216.0,,28.0,0.0,62.0,8.0,,0.0,910.0,6699.0,,,,24.0,1286.0,2393.0,17992.0,,8.0,63.0,0.0,0.0,,4465.0,,585.0,1934.0,,,1476.0,,252.0,0.0,,1522.0,,,,,18082.0,,74.0,480.0,3315.0,,2.0,,1796.0,13539.0,121.0,7891.0,,3974.0,7330.0,,,,1079.0,1531.0,1486.0,,4.0,0.0,54.0,0.0,,,136.0,0.0,,270.0,2400.0,4197.0,893.0,376.0,,2.0,0.0,158.0,2.0,2091.0,1678.0,,,505.0,,0.0,0.0,5.0,7.0,,3061.0,,,2301.0,0.0,495.0,12.0,3933.0,0.0,,4555.0,0.0,62035.0,,691.0,35.0,3.0,,358.0,3866.0,,0.0,14.0,,,3260.0,,2.0,0.0,,,0.0,1111.0,47111.0,1864.0,3.0,0.0,,2.0,6.0,0.0
2012-04,,25.0,0.0,368.0,6555.0,,7624.0,3347.0,,19.0,,4550.0,,10129.0,,,0.0,0.0,3468.0,788.0,116.0,8435.0,3123.0,1012.0,12336.0,0.0,,,,5.0,3319.0,107.0,2591.0,,1.0,,2.0,,42.0,,,,0.0,20.0,,,38.0,8.0,9646.0,,79.0,2124.0,,,,6.0,3092.0,10290.0,,4582.0,0.0,4749.0,3501.0,25.0,119.0,5566.0,,6249.0,,17.0,71.0,2.0,,441.0,0.0,,,0.0,0.0,18698.0,3974.0,,2854.0,,517.0,102.0,1236.0,3674.0,3351.0,0.0,1081.0,60.0,,,,,,112.0,2.0,5575.0,,0.0,0.0,,,1392.0,1025.0,0.0,6418.0,,8229.0,4290.0,3991.0,,761.0,76.0,0.0,8.0,,2565.0,,715.0,6015.0,290.0,3210.0,,,,245.0,0.0,0.0,228.0,1774.0,3843.0,453.0,2329.0,3319.0,1551.0,,7686.0,328.0,,3012.0,8171.0,0.0,191.0,,30.0,0.0,64.0,8.0,,0.0,868.0,8734.0,,,,28.0,1224.0,2137.0,16268.0,,10.0,48.0,0.0,0.0,,4712.0,,588.0,2566.0,,,1477.0,,228.0,0.0,,1377.0,,,,,16659.0,,69.0,436.0,2988.0,,0.0,,1695.0,11141.0,115.0,6476.0,,4123.0,6737.0,,,,1119.0,3907.0,1771.0,,8.0,0.0,29.0,0.0,,,119.0,0.0,,348.0,2353.0,4193.0,852.0,331.0,,9.0,0.0,179.0,10.0,1960.0,1694.0,,,539.0,,0.0,0.0,2.0,11.0,,2905.0,,,2296.0,0.0,487.0,18.0,3406.0,4.0,,3626.0,0.0,59557.0,,700.0,30.0,5.0,,370.0,3711.0,,0.0,10.0,,,2992.0,,0.0,0.0,,,0.0,1090.0,44940.0,1892.0,2.0,0.0,,3.0,8.0,1.0
2012-05,,179.0,0.0,406.0,6698.0,,7194.0,3439.0,,45.0,,4256.0,,9512.0,,,0.0,0.0,3280.0,764.0,128.0,8016.0,3058.0,848.0,11613.0,0.0,,,,3.0,3112.0,86.0,2540.0,,1.0,,5.0,,62.0,,,,0.0,33.0,,,64.0,17.0,9383.0,,73.0,1917.0,,,,13.0,2931.0,9102.0,,4341.0,0.0,4686.0,3477.0,37.0,113.0,5448.0,,6058.0,,24.0,214.0,1.0,,460.0,0.0,,,0.0,4.0,28639.0,4881.0,,2915.0,,601.0,108.0,1221.0,6218.0,3512.0,0.0,1031.0,51.0,,,,,,206.0,0.0,5724.0,,1.0,0.0,,,1336.0,909.0,0.0,6222.0,,7339.0,4396.0,3719.0,,764.0,87.0,0.0,12.0,,2596.0,,708.0,5587.0,320.0,3219.0,,,,237.0,0.0,0.0,192.0,1818.0,3589.0,471.0,2399.0,3348.0,1403.0,,7982.0,315.0,,3080.0,7922.0,0.0,256.0,,41.0,0.0,48.0,13.0,,0.0,859.0,5639.0,,,,33.0,1194.0,1921.0,15494.0,,10.0,55.0,0.0,0.0,,4462.0,,653.0,2053.0,,,1321.0,,255.0,0.0,,1434.0,,,,,16621.0,,132.0,542.0,3011.0,,8.0,,1643.0,10326.0,119.0,5798.0,,3634.0,6861.0,,,,1071.0,2204.0,1803.0,,19.0,0.0,54.0,0.0,,,210.0,0.0,,323.0,2308.0,3831.0,837.0,359.0,,6.0,1.0,151.0,15.0,2711.0,1730.0,,,606.0,,0.0,2.0,1.0,18.0,,2828.0,,,2074.0,0.0,495.0,21.0,3098.0,3.0,,3583.0,0.0,58950.0,,700.0,48.0,3.0,,376.0,3833.0,,0.0,21.0,,,3031.0,,0.0,0.0,,,0.0,1033.0,41352.0,1797.0,3.0,1.0,,6.0,11.0,2.0
2012-06,,46.0,0.0,317.0,7332.0,,6751.0,3016.0,,28.0,,4009.0,,9491.0,,,0.0,0.0,3222.0,753.0,109.0,7722.0,2954.0,824.0,11192.0,0.0,,,,11.0,2763.0,88.0,2534.0,,1.0,,0.0,,44.0,,,,0.0,21.0,,,79.0,8.0,9583.0,,73.0,1783.0,,,,16.0,2859.0,10062.0,,4194.0,0.0,4487.0,3481.0,54.0,90.0,5117.0,,5921.0,,15.0,128.0,0.0,,414.0,0.0,,,0.0,0.0,14039.0,3872.0,,3232.0,,551.0,120.0,1050.0,5265.0,3276.0,0.0,948.0,69.0,,,8226.0,,,133.0,0.0,6031.0,,1.0,0.0,,,1396.0,1049.0,0.0,5975.0,,7193.0,4205.0,3732.0,,751.0,111.0,1.0,6.0,,2710.0,,736.0,5590.0,339.0,2752.0,,,,283.0,0.0,0.0,189.0,1673.0,3545.0,429.0,2281.0,3205.0,1363.0,,7714.0,282.0,,3163.0,7525.0,0.0,262.0,,60.0,0.0,39.0,7.0,,0.0,765.0,5431.0,,,,28.0,1140.0,1985.0,15181.0,,11.0,58.0,0.0,0.0,,4268.0,,658.0,2028.0,,,1328.0,,203.0,0.0,,1437.0,,,,,16288.0,,72.0,451.0,3019.0,,5.0,,1491.0,9868.0,92.0,5644.0,,3866.0,6223.0,,,,990.0,2369.0,1585.0,,8.0,0.0,53.0,0.0,,,148.0,0.0,,311.0,2253.0,3905.0,834.0,355.0,47746.0,4.0,6.0,155.0,13.0,1818.0,1640.0,,,538.0,,0.0,0.0,2.0,27.0,,2778.0,,,2077.0,49.0,514.0,13.0,3546.0,2.0,,3845.0,0.0,60153.0,70.0,714.0,28.0,8.0,,317.0,3725.0,,0.0,23.0,,,2709.0,,0.0,0.0,,,0.0,991.0,41853.0,1824.0,2.0,0.0,,2.0,13.0,1.0
2012-07,,44.0,0.0,327.0,8415.0,,6250.0,2976.0,,53.0,,3582.0,,9937.0,,,0.0,0.0,3008.0,678.0,108.0,8169.0,2665.0,863.0,11458.0,0.0,,,,4.0,2811.0,88.0,2459.0,,1.0,,2.0,,60.0,9169.0,,,0.0,21.0,,,53.0,2.0,9747.0,,64.0,1715.0,,,,15.0,2829.0,9235.0,,3465.0,0.0,3659.0,3764.0,37.0,79.0,4782.0,,5262.0,,18.0,98.0,0.0,,449.0,0.0,,,0.0,1.0,13074.0,3324.0,,2917.0,,609.0,123.0,1086.0,3652.0,3454.0,0.0,1003.0,75.0,,,7844.0,,,124.0,0.0,6882.0,,0.0,0.0,,,1759.0,919.0,0.0,5719.0,,6788.0,3903.0,3616.0,,745.0,126.0,0.0,2.0,,2650.0,,690.0,5423.0,289.0,2989.0,,,,229.0,0.0,0.0,200.0,1523.0,3644.0,412.0,2600.0,3194.0,1316.0,,7464.0,311.0,,3021.0,7123.0,0.0,198.0,,53.0,0.0,52.0,5.0,,0.0,763.0,5559.0,,,,27.0,1153.0,1870.0,13920.0,,11.0,59.0,0.0,0.0,,4516.0,,619.0,2030.0,,,1290.0,349.0,200.0,0.0,,1338.0,,,,,14433.0,,97.0,421.0,2940.0,,5.0,,1432.0,9738.0,118.0,5374.0,,3450.0,5594.0,,,,1015.0,2885.0,1341.0,,9.0,0.0,44.0,0.0,,,126.0,1.0,,192.0,2100.0,3765.0,868.0,355.0,47617.0,8.0,1.0,138.0,11.0,1972.0,1599.0,,,550.0,,0.0,3.0,2.0,9.0,,2483.0,,749.0,1975.0,93.0,489.0,22.0,2975.0,0.0,,3159.0,0.0,51200.0,59.0,669.0,33.0,7.0,,349.0,3834.0,,0.0,23.0,,,2791.0,,2.0,0.0,,,0.0,925.0,41053.0,1520.0,3.0,0.0,,4.0,4.0,0.0
2012-08,,45.0,0.0,254.0,9355.0,,6616.0,3260.0,,33.0,,3940.0,,9878.0,,,0.0,0.0,3036.0,670.0,130.0,8040.0,2850.0,927.0,10568.0,0.0,,,,14.0,2679.0,90.0,2554.0,,0.0,,7.0,,50.0,8891.0,,,0.0,21.0,,,55.0,9.0,10908.0,,62.0,1809.0,,,,18.0,3028.0,10721.0,,3440.0,0.0,3936.0,3676.0,47.0,103.0,4650.0,,6006.0,,24.0,73.0,1.0,,433.0,0.0,,,0.0,5.0,15230.0,3339.0,,3052.0,,773.0,149.0,961.0,3165.0,3220.0,0.0,1026.0,64.0,,,8178.0,,,174.0,1.0,7288.0,,0.0,0.0,,,1234.0,947.0,0.0,5678.0,,6580.0,4150.0,3992.0,,911.0,152.0,0.0,5.0,,3053.0,,667.0,5500.0,290.0,2621.0,,,,253.0,0.0,0.0,189.0,1624.0,3784.0,532.0,2378.0,3305.0,1497.0,,7602.0,318.0,,2960.0,7064.0,0.0,196.0,,74.0,0.0,36.0,7.0,,0.0,783.0,5421.0,,,,26.0,1133.0,1925.0,14504.0,,9.0,64.0,0.0,0.0,,4779.0,,635.0,2208.0,,,1293.0,264.0,196.0,0.0,,1362.0,,,,,15223.0,,109.0,562.0,3389.0,,8.0,,1462.0,10813.0,145.0,5330.0,,3200.0,5967.0,,,,1010.0,3945.0,1365.0,,14.0,0.0,42.0,0.0,,,165.0,0.0,,198.0,2130.0,3696.0,926.0,466.0,50155.0,8.0,1.0,176.0,12.0,2282.0,1518.0,,,611.0,,0.0,1.0,2.0,18.0,,2335.0,,764.0,2129.0,81.0,462.0,10.0,4397.0,0.0,,3604.0,0.0,51042.0,91.0,684.0,43.0,6.0,,358.0,4104.0,,0.0,31.0,,,2850.0,27.0,0.0,0.0,,,0.0,812.0,40641.0,1498.0,3.0,0.0,,3.0,10.0,0.0
2012-09,,51.0,0.0,286.0,9210.0,,7008.0,3446.0,,32.0,,3783.0,,10160.0,,,0.0,0.0,3221.0,727.0,135.0,8209.0,3123.0,899.0,11326.0,0.0,,,,9.0,2839.0,95.0,2504.0,,0.0,,0.0,,48.0,8906.0,3806.0,,0.0,28.0,,,52.0,8.0,9859.0,2029.0,89.0,1966.0,,,,15.0,3114.0,12048.0,,3516.0,0.0,3810.0,3491.0,51.0,133.0,4853.0,,5934.0,,25.0,123.0,3.0,,471.0,0.0,,,0.0,5.0,15976.0,3293.0,,2933.0,,658.0,164.0,828.0,3367.0,3296.0,0.0,958.0,40.0,,,8760.0,,,249.0,0.0,7122.0,,0.0,0.0,,,1254.0,1013.0,0.0,5800.0,,7031.0,4298.0,4205.0,,930.0,190.0,0.0,4.0,,3032.0,,632.0,5522.0,322.0,2796.0,,,,271.0,0.0,0.0,216.0,1690.0,3814.0,442.0,2373.0,3352.0,1547.0,,7580.0,322.0,,2870.0,7408.0,0.0,168.0,,54.0,0.0,51.0,9.0,,0.0,810.0,5328.0,13064.0,,,26.0,1188.0,2114.0,17637.0,,18.0,45.0,0.0,0.0,,4911.0,,531.0,2061.0,,,1542.0,249.0,178.0,0.0,,1393.0,,,,,15726.0,,87.0,482.0,3526.0,,3.0,,1336.0,9639.0,154.0,7582.0,,3199.0,6727.0,,,,1019.0,4498.0,1327.0,,18.0,0.0,40.0,0.0,,,182.0,0.0,,188.0,2035.0,3622.0,945.0,455.0,50432.0,5.0,3.0,148.0,20.0,2451.0,1414.0,,,568.0,,0.0,0.0,1.0,32.0,,2391.0,,685.0,2029.0,105.0,499.0,14.0,3338.0,2.0,,4121.0,0.0,57243.0,85.0,704.0,45.0,5.0,,358.0,4631.0,,0.0,24.0,,,2994.0,23.0,0.0,0.0,,,0.0,908.0,41622.0,1355.0,4.0,1.0,,3.0,10.0,1.0
2012-10,,53.0,0.0,262.0,8515.0,,7160.0,3385.0,,46.0,,4645.0,,9616.0,,,0.0,0.0,3232.0,712.0,144.0,8254.0,2727.0,926.0,10953.0,0.0,,,,21.0,3149.0,97.0,2193.0,,0.0,,1.0,,50.0,8752.0,3201.0,,0.0,40.0,,,40.0,7.0,9544.0,1943.0,77.0,1838.0,,,,24.0,2949.0,12398.0,,3379.0,0.0,3512.0,3273.0,64.0,88.0,5312.0,,5629.0,,21.0,107.0,2.0,,422.0,0.0,,,0.0,4.0,11922.0,3329.0,,2631.0,,748.0,128.0,715.0,3317.0,3257.0,0.0,810.0,52.0,,,8897.0,,,161.0,0.0,6553.0,,1.0,0.0,,,1318.0,1019.0,0.0,6023.0,,6764.0,3970.0,3933.0,,880.0,220.0,0.0,1.0,,2733.0,,629.0,5315.0,350.0,2648.0,,,,260.0,0.0,0.0,201.0,1590.0,3853.0,425.0,2495.0,3341.0,1407.0,,7837.0,293.0,,2760.0,8103.0,0.0,184.0,,76.0,0.0,50.0,4.0,,0.0,807.0,5180.0,12674.0,,,14.0,1088.0,1957.0,14798.0,,11.0,58.0,0.0,0.0,,5106.0,,520.0,1876.0,,,1571.0,285.0,167.0,0.0,,1438.0,,,,,15906.0,,77.0,368.0,3611.0,390.0,7.0,,1396.0,10111.0,155.0,5661.0,,3122.0,6452.0,48.0,,,999.0,4380.0,1376.0,,12.0,0.0,35.0,0.0,,,125.0,0.0,,158.0,2065.0,3836.0,894.0,399.0,53527.0,10.0,2.0,154.0,21.0,1986.0,1364.0,,,576.0,,0.0,3.0,5.0,29.0,,2399.0,,739.0,2012.0,105.0,428.0,15.0,3499.0,2.0,,3714.0,0.0,58306.0,76.0,700.0,34.0,9.0,,321.0,3370.0,641.0,0.0,19.0,,,3064.0,32.0,0.0,0.0,,,0.0,889.0,42503.0,1423.0,2.0,0.0,,4.0,7.0,1.0
