Week,1968,Acetylsalicylsäure,Adolf_Mayer_(Agronom),Agglutinine,Akute_Bronchitis,Algen,Allergie,Altgriechische_Sprache,Amantadin,Aminosäuren,Anatomie,Anorexie,Antibiotika,Antibiotikum,Antigen,Antikörper,Arch_Int_Med,Art_(Biologie),Arzneimittel,Arzneistoff,Asiatische_Grippe,Asthma_bronchiale,Astrologie,Atemtrakt,Bakterien,Berichte_zur_Wissenschaftsgeschichte,Berlin,Biologie,Blut,Blutgefäß,Blutsenkungsreaktion,Bronchialsekret,Bronchialsystem,Bronchitis,Bronchoalveoläre_Lavage,Bundesamt_für_Gesundheit,Bundesamt_für_Statistik,Carl_von_Linné,Cathelicidine,Cholecalciferol,Cholera,Cochrane_Collaboration,"Constantine_Phipps,_2._Baron_Mulgrave",Desoxyribonukleinsäure,Deutschland,Diagnose,Dmitri_Iossifowitsch_Iwanowski,Dmitri_Iwanowski,Durchfall,EU,Einen_Vogel_haben,Elektronenmikroskop,Emerg_Infect_Dis,Emerging_Infectious_Diseases,Englische_Sprache,Entzündung,Enzephalitis,Enzym,Epidemie,Epidemiologie,Epidemiologische_Überwachung,Epithel,Erbrechen,Erkältung,Erreger,Erythrozyt,Ethanol,Eukaryoten,European_Centre_for_Disease_Prevention_and_Control,European_Influenza_Surveillance_Scheme,Europäische_Union,Europäisches_Zentrum_für_die_Prävention_und_die_Kontrolle_von_Krankheiten,Expositionsprophylaxe,Fachzeitschrift,Familie_(Biologie),Fieber,Frankreich,Gattung_(Biologie),Geflügelpest,Gehirn,Gelbfieber,Gen,Generikum,Genom,Gliederschmerz,Gliederschmerzen,Glykoproteine,Grad_Celsius,Griechische_Sprache,Grippe_(Begriffsklärung),Grippeimpfung,Gundolf_Keil,HIV,Haut,Hepatitis,Hepatitis_A,Hermann_Nothnagel,Hongkong-Grippe,Horst_Kremling,Husten,Hygiene,Hämagglutinin,Hämagglutinin_(Influenzavirus_A),I.E.,ISI_Web_of_Knowledge,Immunantwort,Immunisierung,Immunität_(Medizin),Immunsystem,Impact_Factor,Impfung,Infektion,Infektionskrankheit,Influenza,Influenza-A-Virus_H1N1,Influenza-Schnelltest,Influenzaimpfstoff,Influenzapandemie,Influenzavirus,Inkubationszeit,International_Statistical_Classification_of_Diseases_and_Related_Health_Problems,Internationale_Einheit,Internationale_statistische_Klassifikation_der_Krankheiten_und_verwandter_Gesundheitsprobleme,Internetsurfen,Italienische_Sprache,JAMA_Internal_Medicine,J_Infect_Dis,Journal_of_the_American_Medical_Association,Kehle,Kehle_(Anatomie),Kohortenisolierung,Kontaktinfektion,Kontraindikation,Kopfschmerz,Kopfschmerzen,Krankenkasse,Krankheit,Krankheitserreger,Königsberg_(Preußen),Latein,Latenzzeit,Leber,Lebewesen,Leukozyt,Liste_von_Subtypen_des_Influenza-A-Virus,Luftzug,Lunge,Lungenentzündung,M2_(Influenza),MMW-Fortschritte_der_Medizin,Martinus_Beijerinck,Martinus_Willem_Beijerinck,Matrixprotein_2_(Influenzavirus_A),Medikament,Medizin,Meningitis,Meter,Miasma,Miasmen,Mikrobiologie,Mikroorganismus,Mittelalter,Mol,Mortalität,Mundschutz,Mundschutz_(Medizin),Mundschutz_(Sport),Mutation,Myokarditis,Myositis,Nasenschleimhaut,Nasensekret,National_Institute_for_Medical_Research,Nature,Nebenwirkung,Neuraminidase,Neuraminidase-Hemmer,Nomenklatur_(Biologie),Norwegen,Organismus,Orthomyxoviridae,Oseltamivir,Otitis_media,PCR,PH-Wert,Pandemie,Pandemie_H1N1_2009,Pandemie_H1N1_2009/10,Parasitismus,Pathogen,Pathogenität,Patrick_Laidlaw,Peer-Review,Pest,Pferdeinfluenza,Pilze,Planet,Pneumokokken,Polymerase-Kettenreaktion,Preußen,Protein,Public_Health,Resistenz,Respiratory-Syncytial-Virus,Reye-Syndrom,Rhinitis,Ribonukleinsäure,Richard_Pfeiffer_(Bakteriologe),Rimantadin,Risikofaktor_(Medizin),Robert-Koch-Institut,Robert_Koch-Institut,Russische_Grippe,Römische_Kirche,Sauerstoff,Scheinkorrelation,Schleimhaut,Schmerz,Schmierinfektion,Schweineinfluenza,Schweiz,Schüttelfrost,Sekundärinfektion,Selbstmedikation,Sexuell_übertragbare_Erkrankung,Spanische_Grippe,Speichel,Staphylococcus_aureus,Statistisches_Bundesamt,Superinfektion,Symptom,Systematik_(Biologie),Systematische_Übersichtsarbeit,Säugetier,Säugetiere,Süddeutsche_Zeitung,T-Lymphozyt,The_Journal_of_Infectious_Diseases,The_Times,Therapie,Todesursachenstatistik,Totenschein,Trachealsekret,Trinkwasser,Tröpfcheninfektion,Tumor,Urbanisierung,Vektor_(Biologie),Vereinigte_Staaten,Vereinigtes_Königreich,Verschreibungspflicht,Verschreibungspflichtig,Verzögerungszeit,Viren,Virologie,Virusinfektion,Vogel,Vogelgrippe_H5N1,Vögel,Wasser,Web_of_Science,Weltgesundheitsorganisation,Wendell_Meredith_Stanley,Werner_E._Gerabek,Wirt_(Biologie),World_Health_Organization,Zanamivir,Zelle_(Biologie),Zellkultur,Zweiter_Weltkrieg,Zytokin,Zytokinsturm,Öffentliche_Gesundheit,Österreich,Übelkeit,Übergewicht,Übersterblichkeit
2015-01,,3.0,0.0,59.0,2078.0,,1529.0,1469.0,,1.0,,943.0,,1899.0,,,4.0,0.0,758.0,219.0,46.0,1688.0,1149.0,230.0,2204.0,17.0,,,,1.0,487.0,34.0,650.0,,0.0,,3.0,,50.0,,,,0.0,6.0,,,23.0,3.0,1341.0,,59.0,552.0,,,,1.0,884.0,1900.0,,1138.0,0.0,1309.0,653.0,3.0,13.0,989.0,,1529.0,,5.0,13.0,0.0,,124.0,0.0,,,0.0,0.0,2931.0,726.0,,628.0,,40.0,16.0,408.0,780.0,1098.0,0.0,325.0,36.0,,,,,,95.0,2.0,617.0,,0.0,0.0,,,333.0,125.0,0.0,1165.0,,1296.0,678.0,808.0,,322.0,44.0,1.0,7.0,,654.0,,447.0,2374.0,78.0,966.0,,,,72.0,0.0,0.0,53.0,505.0,583.0,67.0,496.0,722.0,369.0,,2449.0,80.0,,857.0,1363.0,109.0,101.0,,2.0,0.0,24.0,,,0.0,147.0,1544.0,,,,7.0,336.0,546.0,4557.0,,0.0,9.0,0.0,0.0,,1080.0,,161.0,604.0,,,280.0,,75.0,0.0,,446.0,,,,,3541.0,,53.0,165.0,862.0,,2.0,,571.0,6121.0,44.0,1786.0,,659.0,1143.0,,,,216.0,964.0,354.0,,2.0,0.0,12.0,0.0,,,63.0,0.0,,142.0,529.0,862.0,216.0,352.0,,0.0,0.0,68.0,3.0,1147.0,344.0,,,165.0,,0.0,0.0,3.0,22.0,,674.0,,,490.0,29.0,187.0,7.0,805.0,0.0,,1209.0,0.0,18961.0,,179.0,12.0,0.0,,121.0,520.0,,241.0,5.0,,,1050.0,,12.0,0.0,,,0.0,273.0,16029.0,548.0,1.0,0.0,,0.0,3.0,0.0
2015-02,,7.0,0.0,199.0,5082.0,,3793.0,3663.0,,8.0,,2371.0,,5554.0,,,6.0,0.0,2035.0,591.0,124.0,4308.0,2194.0,565.0,6758.0,27.0,,,,3.0,1821.0,75.0,1802.0,,2.0,,5.0,,96.0,,,,0.0,6.0,,,32.0,4.0,3044.0,,100.0,1465.0,,,,8.0,2120.0,5764.0,,3058.0,0.0,3385.0,1274.0,6.0,53.0,3061.0,,4225.0,,15.0,66.0,1.0,,383.0,0.0,4584.0,,0.0,2.0,7123.0,2066.0,,1842.0,,84.0,52.0,908.0,2410.0,2335.0,0.0,787.0,64.0,,,,,,174.0,4.0,1330.0,,0.0,0.0,,,866.0,313.0,0.0,3090.0,,3060.0,1776.0,2358.0,,737.0,103.0,0.0,4.0,,1644.0,,1164.0,6834.0,209.0,2176.0,,,,159.0,0.0,1.0,121.0,1301.0,1270.0,138.0,1500.0,1720.0,1162.0,,5385.0,184.0,,2077.0,4072.0,320.0,216.0,,5.0,0.0,54.0,,,0.0,405.0,3316.0,,,,40.0,868.0,1705.0,11427.0,,2.0,15.0,0.0,0.0,,2502.0,,323.0,1247.0,,,737.0,,117.0,0.0,,986.0,,,,,9657.0,,58.0,232.0,2188.0,,1.0,,1670.0,7934.0,91.0,4040.0,,1882.0,4368.0,,,,685.0,2020.0,795.0,,1.0,0.0,37.0,0.0,,,116.0,0.0,,427.0,1288.0,2159.0,550.0,334.0,,3.0,3.0,126.0,2.0,1973.0,921.0,,,428.0,,0.0,1.0,7.0,31.0,,2003.0,,,1107.0,78.0,559.0,9.0,2276.0,4.0,,3635.0,0.0,36809.0,,482.0,21.0,2.0,,259.0,1834.0,,545.0,9.0,,,2509.0,,34.0,0.0,,,0.0,848.0,34693.0,1557.0,1.0,0.0,,1.0,2.0,0.0
2015-03,,58.0,0.0,222.0,5951.0,,4005.0,4259.0,,10.0,,2451.0,,5670.0,,,6.0,0.0,2118.0,582.0,108.0,4411.0,1933.0,1659.0,6974.0,22.0,,,,3.0,2240.0,77.0,1721.0,,0.0,,1.0,,66.0,,,,0.0,6.0,,,26.0,3.0,3022.0,,82.0,1449.0,,,,55.0,2113.0,5612.0,,3054.0,0.0,3531.0,1292.0,3.0,70.0,3499.0,,4300.0,,13.0,28.0,0.0,,342.0,0.0,4699.0,,0.0,1.0,7187.0,2327.0,,1809.0,,102.0,55.0,939.0,2607.0,2288.0,0.0,644.0,63.0,,,,,,159.0,5.0,1250.0,,0.0,0.0,,,858.0,383.0,0.0,3059.0,,3219.0,1903.0,2300.0,,1042.0,145.0,0.0,2.0,,1596.0,,1224.0,6667.0,254.0,2188.0,,,,157.0,0.0,5.0,153.0,1362.0,1533.0,193.0,1361.0,1805.0,1198.0,,5746.0,160.0,,2140.0,4701.0,317.0,230.0,,5.0,0.0,72.0,5.0,,0.0,410.0,3367.0,,,,20.0,857.0,1804.0,11070.0,,1.0,24.0,0.0,0.0,,2291.0,,315.0,1244.0,,,865.0,,141.0,0.0,,957.0,,,,,11381.0,,66.0,240.0,2398.0,,1.0,,1735.0,7831.0,107.0,4267.0,,2169.0,4861.0,,,,761.0,1901.0,977.0,,0.0,0.0,37.0,0.0,,,121.0,1.0,,406.0,1331.0,2043.0,577.0,330.0,,1.0,0.0,134.0,1.0,1844.0,1046.0,,,399.0,,0.0,1.0,5.0,24.0,,1937.0,,,1201.0,75.0,537.0,13.0,2202.0,0.0,,3343.0,0.0,37470.0,,482.0,30.0,0.0,,304.0,1865.0,,567.0,15.0,,,2396.0,,61.0,0.0,,,0.0,935.0,32140.0,1554.0,2.0,1.0,,0.0,1.0,2.0
2015-04,,3.0,0.0,200.0,5250.0,,3912.0,2942.0,,1.0,,2719.0,,5522.0,,,10.0,0.0,2190.0,622.0,90.0,5076.0,1833.0,655.0,7347.0,25.0,,,,1.0,2255.0,68.0,1734.0,,1.0,,2.0,,77.0,,,,0.0,1.0,,,25.0,4.0,3107.0,,78.0,1572.0,,,,1.0,2325.0,5270.0,,3067.0,0.0,3281.0,1353.0,0.0,84.0,3308.0,,3958.0,,16.0,3.0,0.0,,352.0,0.0,4905.0,,0.0,0.0,9413.0,2102.0,,2013.0,,115.0,66.0,924.0,2585.0,2495.0,0.0,734.0,55.0,,,,,,155.0,8.0,1300.0,,0.0,0.0,,,807.0,478.0,0.0,3136.0,,3187.0,1841.0,2484.0,,1227.0,171.0,0.0,5.0,,1607.0,,1237.0,6898.0,176.0,2036.0,,,,143.0,0.0,8.0,113.0,1326.0,1493.0,182.0,1265.0,1836.0,1332.0,,9910.0,214.0,,2120.0,4824.0,274.0,198.0,,1.0,0.0,44.0,7.0,,0.0,445.0,3271.0,,,,31.0,891.0,1612.0,10661.0,,1.0,20.0,0.0,0.0,,2176.0,,316.0,1144.0,,,873.0,,169.0,0.0,,860.0,,,,,10549.0,,63.0,308.0,2249.0,,0.0,,1786.0,8212.0,110.0,4323.0,,2086.0,5194.0,,,,705.0,2380.0,964.0,,1.0,0.0,25.0,0.0,,,108.0,0.0,,426.0,1306.0,3430.0,508.0,427.0,,0.0,0.0,144.0,1.0,1961.0,1074.0,,,394.0,,0.0,0.0,3.0,6.0,,2084.0,,,1216.0,88.0,600.0,7.0,2145.0,0.0,,3305.0,0.0,35779.0,,461.0,30.0,1.0,,233.0,1899.0,,559.0,5.0,,,3209.0,,25.0,0.0,,,0.0,955.0,29129.0,1636.0,2.0,0.0,,0.0,1.0,0.0
2015-05,,9.0,0.0,237.0,5256.0,,3774.0,2689.0,,9.0,,2390.0,,5751.0,,,7.0,0.0,2078.0,629.0,156.0,4566.0,1822.0,648.0,6111.0,43.0,,,,1.0,2250.0,70.0,1643.0,,0.0,,2.0,,64.0,,,,0.0,5.0,,,29.0,9.0,3201.0,,71.0,1420.0,,,,7.0,2297.0,4793.0,,2805.0,0.0,3069.0,1357.0,2.0,50.0,3230.0,,3643.0,,27.0,20.0,0.0,,365.0,0.0,6336.0,,0.0,2.0,7713.0,2029.0,,2047.0,,126.0,77.0,873.0,2630.0,2612.0,0.0,724.0,59.0,,,,,,268.0,4.0,1481.0,,1.0,0.0,,,819.0,333.0,0.0,3087.0,,3259.0,2002.0,2180.0,,1359.0,303.0,0.0,7.0,,1620.0,,1243.0,6690.0,353.0,2664.0,,,,129.0,0.0,2.0,118.0,1278.0,1520.0,208.0,1232.0,1776.0,1143.0,,6145.0,210.0,,1962.0,4748.0,227.0,191.0,,8.0,0.0,53.0,6.0,,0.0,512.0,3154.0,,,,33.0,880.0,1548.0,10023.0,,2.0,16.0,0.0,0.0,,2235.0,,328.0,1301.0,,,879.0,,258.0,0.0,,911.0,,,,,10352.0,,67.0,291.0,2052.0,,1.0,,1660.0,7125.0,94.0,3796.0,,2128.0,4448.0,,,,721.0,2668.0,1089.0,,4.0,0.0,25.0,0.0,,,137.0,0.0,,467.0,1471.0,2442.0,531.0,499.0,,0.0,0.0,150.0,0.0,2104.0,977.0,,,384.0,,0.0,0.0,5.0,9.0,,1960.0,,,1355.0,88.0,509.0,9.0,2354.0,2.0,,2653.0,0.0,35368.0,,455.0,39.0,0.0,,253.0,1865.0,,433.0,46.0,,,2643.0,,25.0,0.0,,,0.0,855.0,30561.0,1567.0,5.0,0.0,,1.0,1.0,0.0
2015-06,,15.0,0.0,223.0,5706.0,,3737.0,2947.0,,6.0,,2163.0,,5159.0,,,10.0,0.0,2161.0,584.0,161.0,4146.0,1704.0,505.0,5834.0,51.0,,,,5.0,2130.0,82.0,1623.0,,1.0,,6.0,,85.0,,,,0.0,4.0,,,39.0,7.0,2951.0,,109.0,1399.0,,,,3.0,2086.0,4926.0,,2825.0,0.0,3164.0,1335.0,9.0,40.0,3285.0,,3952.0,,24.0,19.0,1.0,,303.0,0.0,6802.0,,0.0,0.0,6483.0,1993.0,,1724.0,,155.0,98.0,924.0,2776.0,2246.0,0.0,991.0,55.0,,,4065.0,,,257.0,8.0,1428.0,,1.0,0.0,,,720.0,276.0,0.0,2933.0,,4419.0,1878.0,2170.0,,1501.0,385.0,1.0,4.0,,1673.0,,1176.0,6520.0,234.0,2003.0,,,,122.0,0.0,6.0,140.0,1236.0,1369.0,202.0,1088.0,1729.0,1065.0,,5307.0,192.0,,1868.0,4411.0,273.0,190.0,,2.0,0.0,45.0,8.0,,0.0,800.0,3364.0,,,,42.0,812.0,1531.0,8547.0,,3.0,9.0,0.0,0.0,,2169.0,,292.0,1317.0,,,809.0,,268.0,0.0,,799.0,,,,,9571.0,,93.0,326.0,2073.0,,5.0,,1519.0,6045.0,96.0,3608.0,,1984.0,4541.0,,,,704.0,2845.0,1004.0,,1.0,0.0,40.0,0.0,,,132.0,2.0,,436.0,1216.0,1941.0,507.0,484.0,30882.0,0.0,0.0,110.0,1.0,1989.0,1000.0,,,481.0,,0.0,1.0,4.0,7.0,,1940.0,,,1239.0,68.0,631.0,17.0,1829.0,1.0,,2421.0,0.0,42131.0,52.0,453.0,41.0,2.0,,238.0,1908.0,,383.0,15.0,,,2336.0,,31.0,0.0,,,0.0,826.0,25859.0,1611.0,0.0,0.0,,4.0,8.0,0.0
2015-07,,8.0,0.0,151.0,5768.0,,3249.0,2704.0,,3.0,,2003.0,,5112.0,,,9.0,0.0,1957.0,589.0,251.0,4319.0,1747.0,511.0,6001.0,33.0,,,,0.0,1922.0,64.0,1880.0,,0.0,,1.0,,67.0,11054.0,,,0.0,4.0,,,25.0,9.0,2882.0,,101.0,1334.0,,,,9.0,2135.0,4705.0,,2451.0,0.0,2971.0,1278.0,7.0,70.0,2796.0,,3434.0,,29.0,22.0,0.0,,323.0,0.0,7549.0,,0.0,0.0,6078.0,1964.0,,1820.0,,167.0,117.0,824.0,2339.0,2296.0,0.0,1253.0,59.0,,,4235.0,,,337.0,8.0,1496.0,,1.0,0.0,,,675.0,248.0,0.0,2697.0,,4859.0,1727.0,2140.0,,1856.0,615.0,0.0,4.0,,1718.0,,1125.0,6162.0,201.0,1812.0,,,,173.0,0.0,5.0,106.0,1303.0,1358.0,199.0,1026.0,1752.0,1048.0,,5228.0,177.0,,1871.0,4081.0,316.0,160.0,,3.0,0.0,57.0,6.0,,0.0,472.0,3119.0,,,,39.0,806.0,1588.0,7995.0,,3.0,19.0,0.0,0.0,,2449.0,,308.0,1428.0,,,779.0,215.0,331.0,0.0,,852.0,,,,,9071.0,,116.0,385.0,2022.0,,1.0,,1595.0,8752.0,98.0,3461.0,,2021.0,4115.0,,,,638.0,2814.0,1119.0,,4.0,0.0,35.0,0.0,,,190.0,1.0,,355.0,1237.0,1897.0,529.0,539.0,29626.0,0.0,2.0,135.0,0.0,2160.0,955.0,,,419.0,,0.0,2.0,4.0,13.0,,1699.0,,573.0,1197.0,71.0,473.0,4.0,1909.0,2.0,,2154.0,0.0,33073.0,40.0,462.0,29.0,2.0,,256.0,1995.0,,388.0,8.0,,,2273.0,,28.0,0.0,,,0.0,781.0,26062.0,1345.0,0.0,0.0,,3.0,1.0,1.0
2015-08,,85.0,0.0,196.0,5817.0,,3286.0,2522.0,,5.0,,2073.0,,5591.0,,,8.0,0.0,1783.0,626.0,255.0,4030.0,1841.0,801.0,5639.0,22.0,,,,1.0,1819.0,85.0,1816.0,,0.0,,1.0,,68.0,11322.0,,,0.0,5.0,,,30.0,7.0,2876.0,,115.0,1283.0,,,,4.0,2306.0,5190.0,,4793.0,0.0,2774.0,1153.0,7.0,56.0,2766.0,,3619.0,,63.0,23.0,0.0,,308.0,0.0,7874.0,,0.0,0.0,6086.0,1845.0,,1736.0,,181.0,165.0,779.0,2383.0,2363.0,0.0,1249.0,70.0,,,4289.0,,,435.0,7.0,1490.0,,0.0,0.0,,,720.0,233.0,0.0,2744.0,,3708.0,1660.0,2159.0,,1452.0,797.0,0.0,8.0,,1884.0,,1068.0,6003.0,245.0,1813.0,,,,156.0,0.0,1.0,115.0,1235.0,1258.0,179.0,1295.0,1902.0,986.0,,5238.0,195.0,,1894.0,4070.0,411.0,214.0,,2.0,0.0,60.0,11.0,,0.0,426.0,2961.0,,,,51.0,811.0,1507.0,8172.0,,4.0,20.0,0.0,0.0,,2251.0,,318.0,1419.0,,,760.0,273.0,553.0,0.0,,788.0,,,,,8974.0,,153.0,367.0,2318.0,,1.0,,1425.0,6276.0,146.0,3341.0,,1809.0,4262.0,,,,674.0,2216.0,1167.0,,2.0,0.0,56.0,0.0,,,228.0,0.0,,312.0,1169.0,1806.0,491.0,578.0,29851.0,7.0,0.0,182.0,1.0,2741.0,1021.0,,,494.0,,0.0,1.0,2.0,13.0,,1654.0,,477.0,1290.0,49.0,532.0,18.0,1734.0,1.0,,2387.0,0.0,31854.0,69.0,432.0,32.0,1.0,,269.0,4240.0,,386.0,11.0,,,2036.0,28.0,26.0,0.0,,,0.0,698.0,34970.0,1280.0,4.0,0.0,,2.0,1.0,0.0
2015-09,,9.0,0.0,192.0,5608.0,,3691.0,2893.0,,8.0,,2285.0,,5659.0,,,7.0,0.0,1952.0,661.0,298.0,13168.0,1817.0,701.0,6424.0,32.0,,,,2.0,2081.0,81.0,1773.0,,1.0,,1.0,,69.0,11500.0,2969.0,,0.0,4.0,,,36.0,12.0,2884.0,1391.0,99.0,1343.0,,,,5.0,3928.0,6259.0,,3997.0,0.0,2597.0,1167.0,13.0,49.0,2784.0,,3530.0,,41.0,33.0,0.0,,376.0,0.0,7496.0,,0.0,0.0,6456.0,2166.0,,1720.0,,191.0,130.0,649.0,2497.0,2589.0,0.0,1636.0,94.0,,,4858.0,,,366.0,8.0,1398.0,,2.0,0.0,,,890.0,334.0,0.0,3175.0,,14953.0,1785.0,2850.0,,1644.0,697.0,1.0,4.0,,2019.0,,1122.0,6561.0,250.0,2163.0,,,,173.0,0.0,6.0,124.0,1345.0,1384.0,213.0,1204.0,1886.0,1054.0,,5898.0,183.0,,2104.0,4369.0,393.0,190.0,,4.0,0.0,58.0,10.0,,0.0,470.0,3159.0,24371.0,,,38.0,869.0,1695.0,9032.0,,1.0,19.0,0.0,0.0,,2361.0,,306.0,1410.0,,,831.0,255.0,387.0,0.0,,896.0,,,,,9418.0,,100.0,525.0,2492.0,,3.0,,1530.0,8436.0,140.0,3894.0,,2803.0,4258.0,,,,684.0,2268.0,1239.0,,3.0,0.0,57.0,0.0,,,260.0,0.0,,295.0,1284.0,1808.0,537.0,529.0,32605.0,0.0,1.0,184.0,3.0,2882.0,1025.0,,,591.0,,0.0,1.0,5.0,11.0,,1660.0,,535.0,1259.0,43.0,544.0,20.0,2114.0,2.0,,2883.0,0.0,34507.0,69.0,459.0,36.0,2.0,,255.0,1993.0,,448.0,3.0,,,2614.0,47.0,37.0,0.0,,,0.0,740.0,28776.0,1314.0,1.0,1.0,,2.0,1.0,1.0
2015-10,,18.0,0.0,156.0,4696.0,,3239.0,2583.0,,7.0,,2102.0,,5095.0,,,8.0,0.0,1970.0,652.0,215.0,4260.0,1640.0,633.0,5631.0,30.0,,,,3.0,2017.0,93.0,1558.0,,0.0,,0.0,,78.0,11156.0,2778.0,,0.0,17.0,,,27.0,7.0,2964.0,1220.0,83.0,1250.0,,,,15.0,2283.0,5810.0,,2363.0,0.0,2395.0,1292.0,15.0,43.0,2723.0,,3394.0,,44.0,28.0,0.0,,344.0,0.0,5633.0,,0.0,1.0,7263.0,1838.0,,1590.0,,162.0,104.0,609.0,2384.0,2248.0,0.0,912.0,89.0,,,4321.0,,,247.0,5.0,1252.0,,1.0,0.0,,,729.0,305.0,0.0,2905.0,,6343.0,1656.0,2233.0,,1421.0,445.0,1.0,6.0,,1716.0,,1150.0,5834.0,200.0,1994.0,,,,138.0,0.0,6.0,105.0,1233.0,1348.0,178.0,1078.0,1746.0,985.0,,5339.0,163.0,,2023.0,5489.0,283.0,192.0,,0.0,0.0,63.0,6.0,,0.0,397.0,2982.0,5184.0,,,48.0,802.0,1517.0,9388.0,,3.0,19.0,0.0,0.0,,2376.0,,306.0,1254.0,,,797.0,183.0,279.0,0.0,,899.0,,,,,9269.0,,39.0,424.0,2271.0,338.0,3.0,,1566.0,7193.0,131.0,3209.0,,2221.0,4403.0,10.0,,,609.0,1815.0,905.0,,6.0,0.0,43.0,0.0,,,264.0,0.0,,317.0,1130.0,1898.0,513.0,469.0,33417.0,9.0,1.0,162.0,0.0,2381.0,893.0,,,462.0,,0.0,5.0,2.0,19.0,,1503.0,,462.0,1321.0,72.0,533.0,19.0,1945.0,2.0,,2656.0,0.0,34869.0,87.0,390.0,45.0,1.0,,235.0,1682.0,324.0,413.0,16.0,,,2282.0,52.0,28.0,0.0,,,0.0,742.0,27093.0,1342.0,3.0,0.0,,2.0,2.0,0.0
