Week,12_luglio,1580,1918,1919,1931,1933,1935,1940,1944,1957,1958,1965,1968,1969,1970,1976,1977,1989,1997,1º_novembre,2003,2004,2005,2006,430_a.C.,AIDS,Acido_acetilsalicilico,Alcol,Allergia,Amantadina,Aminoacido,Anatomia,Anatomia_umana,Animalia,Anni_1980,Anoressia,Antibiotici,Antibiotico,Antipiretici,Artico,Artide,Artralgia,Asma,Aspirina,Astrologia,Astrologia_occidentale,Bacteria,Battere,Batterio,Belgio,Bronchite,Bruno_Mattei,Capacità_produttiva,Capitale_(economia),Cefalea,Cellula,Ceppo_virale,Cervignano_del_Friuli,Cina,Colecalciferolo,Colera,Colesterolo,Contagio,Coronaropatia,DNA_ricombinante,Dengue,Diabete,Diagnosi,Difterite,Doping,Doppio_cieco,Eccipiente,Economia,Economie_di_scala,Edema,Edema_polmonare,Editoriale,Effetto_collaterale_(medicina),Effetto_placebo,Efficienza_(economia),Emisfero_australe,Emisfero_boreale,Emoagglutinina,Encyclopédie,Endo-alfa-sialidasi,Epatopatia,Epidemia,Epidemiologia,Espettorato,Etanolo,Europa,Eziologia,Faringite,Farmacia,Farmaco,Farmacoforo,Fattore_di_rischio,Febbre,Febbre_tifoide,Federico_Pedrocchi,Fidia,Fisiologia,Fotofobia,Francia,Frank_Macfarlane_Burnet,Genoma,George_W._Bush,Germania,Guerra_del_Peloponneso,H1N1,HIV,Impotenza,Impresa,Indice_di_Divisia,Industria,Infezione,Influenza,Influenza_asiatica,Influenza_aviaria,Influenza_di_Hong_Kong,Influenza_spagnola,Influenza_suina,Influenzavirus_A,Influenzavirus_A_sottotipo_H1N1,Influenzavirus_C,Inghilterra,Insufficienza_cardiaca,Integrazione_verticale,International_Committee_on_Taxonomy_of_Viruses,Inverno,Ipertensione,Ipoclorito_di_sodio,Ippocrate,Ippocrate_di_Coo,Italia,Kansas,La_Stampa,Lavoratore,Lavoro_(economia),Lingua_greca,Lingua_inglese,Lingua_latina,Malattia,Malattia_infettiva,Mare_Glaciale_Artico,Medicina,Menopausa,Mialgia,Microscopio,Morbillo,Multinazionale,Muscoli,Muscolo,Mutazione,Mutazione_genetica,Nausea,Neoplasia,Neuraminidasi,New_Jersey,Newcastle,Nosologia,Oceano_Pacifico,Oligonucleotide,Organizzazione_Mondiale_della_Sanità,Organizzazione_mondiale_della_sanità,Orthomyxoviridae,Oseltamivir,Osteoporosi,Otite,Ottimo_paretiano,Ottocento,Paesi_Bassi,Pandemia,Pandemia_influenzale,Paracetamolo,Patogenesi,Patologia,Pertosse,Peso_atomico,Peste_nera,Pinnipedi,Pinnipedia,Polmonite,Prima_guerra_mondiale,Principio_attivo,Prodotto_interno_lordo,Produttività,Progresso_tecnico,Proteine,Radiazione_ultravioletta,Raffreddore_comune,Reazione_a_catena_della_polimerasi,Reazione_allergica,Regno_Unito,Rinascimento_italiano,Roma,Saliva,Sangue,Seconda_guerra_mondiale,Seni_paranasali,Sindrome,Sindrome_di_Reye,Sistema_immunitario,Spagna,Starnuti,Starnuto,Stati_Uniti,Stati_Uniti_d'America,Stupefacenti,Svezia,Tadalafil,Tasso_di_mortalità,Terapia,Tessuto_(biologia),Tifo,Tifo_esantematico,Tonsillite,Tosse,Total_factor_productivity,Triptofano,Tumore,Ultravioletto,Unità_Astronomica,Università_del_Michigan,Vaccino_antinfluenzale,Valore_aggiunto,Viagra,Vietnam,Vira,Virus,Virus_(biologia),Virus_(centro_sociale),Virus_(informatica),Virus_a_RNA,Virus_del_mosaico_del_tabacco,Virus_parainfluenzali_umani,Virus_respiratorio_sinciziale_umano,Vitamina_D,Vomito,XIX_secolo,XVIII_secolo,XV_secolo,XX_secolo,Zanamivir,Zoonosi
2017-01,138.0,,,,,,,,,,,,,,,,,,,246.0,,,,,14.0,,5247.0,1458.0,864.0,408.0,39.0,1338.0,1324.0,,2606.0,2898.0,155.0,3676.0,63.0,388.0,4439.0,517.0,,166.0,,607.0,,7.0,396.0,,6923.0,,180.0,0.0,2946.0,4521.0,17.0,,,677.0,,4294.0,281.0,530.0,168.0,,2711.0,889.0,3004.0,,480.0,290.0,,1507.0,,226.0,362.0,0.0,349.0,0.0,964.0,1356.0,139.0,,126.0,418.0,,1430.0,1276.0,5851.0,,2108.0,1907.0,331.0,1080.0,41.0,208.0,8515.0,1969.0,,,1300.0,953.0,,,1125.0,,,2054.0,,,59.0,,20.0,,898.0,,343.0,1112.0,136.0,2549.0,277.0,,784.0,,7653.0,2267.0,667.0,,2708.0,,2886.0,1371.0,353.0,,,,234.0,0.0,1722.0,6826.0,,1018.0,738.0,38.0,,1412.0,857.0,1309.0,2804.0,1361.0,77.0,1508.0,58.0,2113.0,,,44.0,,,229.0,2119.0,,245.0,1306.0,,,2165.0,,908.0,,11236.0,,307.0,12589.0,191.0,986.0,3549.0,221.0,4163.0,27.0,,8425.0,23602.0,350.0,3643.0,362.0,101.0,,1177.0,3811.0,1596.0,15.0,,1293.0,,,2547.0,,1365.0,719.0,1546.0,1790.0,,8.0,1095.0,1555.0,,45.0,8594.0,,390.0,,0.0,,797.0,2286.0,,,1227.0,786.0,91.0,78.0,152.0,446.0,640.0,,,,,0.0,0.0,0.0,256.0,164.0,128.0,441.0,5495.0,1835.0,3717.0,2402.0,1495.0,3769.0,,
2017-02,296.0,,,,,,,,,,,,,,,,,,,289.0,,,,,18.0,,4830.0,1409.0,970.0,469.0,42.0,1483.0,1367.0,,2533.0,3041.0,162.0,3200.0,23.0,363.0,3173.0,553.0,,184.0,,451.0,,2.0,347.0,,5346.0,,233.0,0.0,2613.0,6709.0,15.0,,,789.0,,5585.0,315.0,733.0,261.0,,3411.0,1049.0,3463.0,,504.0,321.0,,1907.0,,676.0,449.0,0.0,281.0,0.0,988.0,1409.0,192.0,,137.0,554.0,,1673.0,1134.0,6107.0,,2207.0,1803.0,416.0,1153.0,57.0,322.0,6660.0,2113.0,,,1826.0,789.0,,,1441.0,,,2289.0,,,46.0,,6.0,,908.0,,360.0,1119.0,143.0,2332.0,252.0,,646.0,,6961.0,2533.0,817.0,,3776.0,,3167.0,1513.0,309.0,,,,308.0,0.0,1882.0,6390.0,,1245.0,527.0,38.0,,1489.0,815.0,1766.0,2561.0,1710.0,127.0,2358.0,76.0,2732.0,,5632.0,33.0,,,302.0,1907.0,,256.0,1476.0,,,2965.0,,1274.0,,10973.0,,230.0,9925.0,291.0,1181.0,2600.0,263.0,4490.0,24.0,,8074.0,29737.0,417.0,4138.0,529.0,151.0,,1526.0,2808.0,2346.0,9.0,,1331.0,,,3463.0,,1333.0,804.0,1571.0,2207.0,,11.0,825.0,1407.0,,40.0,7357.0,,420.0,,0.0,,752.0,2300.0,,,1517.0,800.0,126.0,57.0,130.0,328.0,1020.0,,,,,0.0,0.0,0.0,279.0,154.0,122.0,399.0,6720.0,1439.0,4223.0,2729.0,1348.0,4426.0,,
2017-03,168.0,,,,,,,,,,,,,,,,,,,236.0,,,,,13.0,,4620.0,1560.0,1082.0,489.0,35.0,1303.0,1462.0,,2378.0,3183.0,158.0,2906.0,30.0,311.0,2582.0,595.0,,159.0,,333.0,,5.0,270.0,,4250.0,,206.0,0.0,2296.0,7482.0,10.0,,,880.0,,5991.0,269.0,669.0,275.0,,3607.0,1104.0,2453.0,,522.0,286.0,,2017.0,,238.0,461.0,0.0,275.0,0.0,927.0,1383.0,197.0,,93.0,588.0,,1864.0,1195.0,5824.0,,2215.0,1617.0,378.0,1141.0,60.0,317.0,5858.0,2277.0,,,1727.0,675.0,,,1307.0,,,2279.0,,,45.0,,12.0,,879.0,,222.0,923.0,77.0,2478.0,227.0,,524.0,,6578.0,2713.0,945.0,,2972.0,,3226.0,1605.0,338.0,,,,243.0,0.0,1774.0,6385.0,4137.0,1171.0,478.0,38.0,,1458.0,746.0,1729.0,2528.0,1905.0,106.0,2796.0,90.0,2969.0,,5714.0,40.0,,,299.0,1982.0,,253.0,1662.0,,,2949.0,,1337.0,,12176.0,,219.0,9120.0,301.0,1190.0,2311.0,248.0,4011.0,21.0,,7027.0,26363.0,431.0,4840.0,555.0,174.0,,1577.0,2197.0,2699.0,15.0,,1157.0,,,3555.0,,1228.0,776.0,1743.0,2114.0,,16.0,845.0,1358.0,,32.0,7128.0,,497.0,,0.0,,1012.0,2222.0,,,1562.0,808.0,91.0,76.0,127.0,234.0,1096.0,,,,,0.0,0.0,0.0,311.0,167.0,123.0,364.0,7395.0,1471.0,4076.0,2692.0,1257.0,3982.0,,
2017-04,192.0,,,,,,,,,,,,,,,,,,,407.0,,,,,28.0,,4654.0,1500.0,1061.0,466.0,32.0,1487.0,1462.0,,2522.0,3176.0,171.0,2431.0,24.0,267.0,2289.0,549.0,,174.0,,327.0,,4.0,284.0,,4045.0,,214.0,0.0,2267.0,7637.0,21.0,,,1028.0,,6258.0,265.0,586.0,316.0,,4060.0,1217.0,5207.0,,592.0,322.0,,1993.0,,228.0,438.0,0.0,247.0,0.0,894.0,1218.0,175.0,,145.0,535.0,,1736.0,1090.0,5853.0,,2473.0,1551.0,411.0,1314.0,76.0,353.0,5474.0,3334.0,,,1963.0,579.0,,,1433.0,,,2517.0,,,49.0,,39.0,,909.0,,194.0,2470.0,72.0,3733.0,287.0,,449.0,,6869.0,2705.0,871.0,,2241.0,,3386.0,1405.0,290.0,,,,280.0,0.0,1869.0,6639.0,4234.0,1199.0,516.0,46.0,,1405.0,785.0,1618.0,2835.0,1646.0,112.0,2751.0,66.0,2860.0,,5596.0,37.0,,,307.0,2043.0,,236.0,1571.0,,,3034.0,,1483.0,,11224.0,,221.0,8078.0,269.0,1041.0,2236.0,258.0,4164.0,23.0,,6865.0,29626.0,454.0,4294.0,489.0,137.0,,1459.0,2104.0,2620.0,13.0,,1121.0,,,3704.0,,1103.0,773.0,1527.0,2443.0,,15.0,761.0,1520.0,,57.0,7189.0,,491.0,,0.0,,2673.0,2233.0,,,1506.0,889.0,114.0,89.0,151.0,235.0,992.0,,,,,0.0,0.0,0.0,311.0,103.0,80.0,411.0,7566.0,1399.0,3948.0,2756.0,1560.0,4071.0,,
2017-05,207.0,,,,,,,,,,,,,,,,,,,310.0,,,,,32.0,,4937.0,1540.0,1083.0,551.0,36.0,1559.0,1475.0,,2874.0,3256.0,137.0,2578.0,20.0,218.0,2108.0,657.0,,158.0,,360.0,,3.0,268.0,,4191.0,,219.0,0.0,2484.0,7837.0,7.0,,,1048.0,,7085.0,279.0,723.0,256.0,,4837.0,1291.0,5450.0,,599.0,336.0,,2037.0,,187.0,474.0,0.0,317.0,0.0,865.0,1235.0,192.0,,156.0,669.0,,1880.0,1109.0,6131.0,,2415.0,1859.0,411.0,1272.0,72.0,346.0,5343.0,2761.0,,,1937.0,654.0,,,1597.0,,,2883.0,,,40.0,,15.0,,955.0,,212.0,1172.0,92.0,2269.0,260.0,,431.0,,8693.0,2859.0,974.0,,2724.0,,3606.0,1549.0,319.0,,,,306.0,0.0,1849.0,6783.0,4770.0,1224.0,428.0,62.0,,1679.0,1007.0,2019.0,3317.0,1801.0,119.0,2813.0,67.0,3266.0,,7054.0,29.0,,,352.0,2094.0,,272.0,1820.0,,,3556.0,,1389.0,,10861.0,,178.0,8180.0,309.0,1327.0,2458.0,255.0,4316.0,19.0,,6773.0,25960.0,377.0,4759.0,538.0,145.0,,1653.0,2358.0,2585.0,5.0,,1178.0,,,3597.0,,1206.0,968.0,2340.0,2270.0,14150.0,18.0,808.0,1585.0,35265.0,49.0,15911.0,,464.0,,0.0,,1409.0,2488.0,,,1611.0,886.0,89.0,58.0,136.0,194.0,1207.0,,,,,0.0,0.0,0.0,345.0,143.0,97.0,467.0,7786.0,1577.0,4594.0,3324.0,1630.0,4629.0,,
2017-06,217.0,,,,,,,,,,,,,,,,,,,314.0,,,,,39.0,,4860.0,1473.0,1219.0,462.0,40.0,1603.0,1494.0,,3116.0,3566.0,176.0,2656.0,26.0,253.0,2254.0,646.0,,161.0,,277.0,,6.0,289.0,,3785.0,,265.0,0.0,2462.0,8072.0,18.0,,,1051.0,,7079.0,272.0,686.0,313.0,,4362.0,1335.0,4016.0,,603.0,391.0,,1822.0,,207.0,502.0,0.0,259.0,0.0,903.0,1227.0,197.0,,153.0,615.0,,1963.0,1108.0,6028.0,,2499.0,2017.0,426.0,1368.0,96.0,358.0,4548.0,2309.0,,,1986.0,632.0,,,1680.0,,,3281.0,,,45.0,,12.0,,858.0,,187.0,997.0,60.0,1915.0,202.0,,372.0,,8453.0,3009.0,826.0,,1886.0,,3464.0,1553.0,385.0,,,,341.0,0.0,1825.0,7091.0,4597.0,1185.0,518.0,44.0,,1522.0,1026.0,2133.0,3537.0,1662.0,105.0,2277.0,100.0,3359.0,,6004.0,46.0,,,311.0,1901.0,,247.0,1654.0,,,3437.0,,1196.0,,10982.0,,188.0,9479.0,309.0,1222.0,2527.0,262.0,4097.0,31.0,,6336.0,25451.0,427.0,4462.0,510.0,148.0,,1738.0,2184.0,2652.0,16.0,,1284.0,,,4034.0,,1290.0,824.0,1463.0,2389.0,14568.0,17.0,715.0,1536.0,32148.0,52.0,8694.0,,499.0,,0.0,,1049.0,2578.0,,,1766.0,939.0,109.0,77.0,245.0,176.0,1066.0,,,,,0.0,0.0,0.0,336.0,199.0,86.0,504.0,7870.0,1526.0,4325.0,2671.0,1351.0,4547.0,,
2017-07,189.0,,,,,,,,,,,,,,,,,,,282.0,,,,,46.0,,4497.0,1647.0,1250.0,487.0,55.0,1845.0,1497.0,,2757.0,3454.0,156.0,2509.0,23.0,253.0,2154.0,702.0,,168.0,,331.0,,3.0,320.0,,3206.0,,194.0,0.0,2439.0,7659.0,18.0,,,1110.0,,6754.0,288.0,642.0,301.0,,4963.0,1276.0,2503.0,,586.0,390.0,,1711.0,,277.0,493.0,0.0,250.0,0.0,802.0,1037.0,204.0,,201.0,696.0,,1844.0,1121.0,5791.0,,2626.0,1633.0,430.0,1328.0,68.0,359.0,4073.0,2105.0,,,1911.0,660.0,,,1916.0,,,2937.0,,,47.0,,15.0,,1032.0,,138.0,1191.0,41.0,1920.0,220.0,,346.0,,7559.0,2970.0,691.0,,1669.0,,3553.0,1537.0,363.0,,,,367.0,0.0,2736.0,6872.0,5023.0,1223.0,554.0,22.0,,1578.0,893.0,2153.0,3074.0,1966.0,108.0,2696.0,81.0,3278.0,,6076.0,36.0,,,332.0,1941.0,,225.0,1692.0,,,3062.0,,1063.0,,11161.0,,170.0,7711.0,279.0,1182.0,2258.0,292.0,3985.0,23.0,,6083.0,22468.0,439.0,5254.0,521.0,135.0,,1661.0,2251.0,2787.0,16.0,,1280.0,,,3966.0,,1220.0,847.0,1175.0,2341.0,13986.0,17.0,788.0,1548.0,28501.0,47.0,8294.0,,547.0,,0.0,,841.0,2409.0,1102.0,,1653.0,831.0,104.0,68.0,182.0,163.0,1059.0,,,,,0.0,0.0,0.0,341.0,174.0,107.0,443.0,8068.0,1437.0,4181.0,2675.0,1431.0,4869.0,,
2017-08,135.0,,,,,,,,,,,,,,,,,,,232.0,,,,,35.0,,4229.0,1481.0,1279.0,458.0,35.0,1675.0,1423.0,2004.0,2353.0,3233.0,151.0,2401.0,11.0,225.0,1806.0,642.0,,143.0,,300.0,,4.0,298.0,,3051.0,,176.0,0.0,2280.0,6734.0,16.0,,,965.0,,6006.0,301.0,607.0,307.0,,4230.0,1212.0,2007.0,,642.0,326.0,,1308.0,,203.0,408.0,0.0,272.0,0.0,772.0,1088.0,154.0,,225.0,605.0,,1586.0,1125.0,5323.0,,2146.0,1832.0,356.0,1203.0,36.0,324.0,3707.0,1849.0,,,1798.0,615.0,,,1734.0,,,2699.0,,,42.0,,12.0,,979.0,,144.0,810.0,37.0,1832.0,156.0,,319.0,,7552.0,2905.0,516.0,,1507.0,,3355.0,1561.0,364.0,,,,280.0,0.0,1637.0,6367.0,3939.0,1171.0,507.0,17.0,,1537.0,873.0,2088.0,3116.0,1883.0,83.0,2311.0,80.0,3250.0,,5381.0,34.0,,,277.0,1731.0,,216.0,1539.0,,,3160.0,,1002.0,,11732.0,,145.0,7037.0,319.0,1073.0,2165.0,221.0,3973.0,29.0,,5896.0,22286.0,428.0,4324.0,507.0,108.0,,1683.0,2166.0,2605.0,7.0,,1250.0,55824.0,,3784.0,,1177.0,722.0,1070.0,2118.0,13123.0,14.0,712.0,1486.0,26249.0,36.0,8807.0,,434.0,,0.0,,657.0,2476.0,896.0,,1528.0,786.0,118.0,219.0,126.0,147.0,1349.0,,,,,0.0,0.0,0.0,316.0,146.0,76.0,417.0,7367.0,1413.0,3720.0,2778.0,1339.0,3758.0,,
2017-09,189.0,80.0,,,,,,,,,,,,,,,,,,264.0,,,,,34.0,,3962.0,1489.0,1458.0,369.0,24.0,1692.0,1543.0,2115.0,2465.0,2971.0,147.0,2144.0,15.0,205.0,1762.0,621.0,,150.0,,272.0,,3.0,214.0,,2519.0,,143.0,0.0,2332.0,6039.0,13.0,,,904.0,,5647.0,206.0,558.0,283.0,1069.0,4176.0,1121.0,1809.0,,505.0,313.0,,1254.0,,191.0,393.0,0.0,289.0,0.0,799.0,1184.0,90.0,,121.0,554.0,,1488.0,1036.0,5081.0,,1964.0,2152.0,396.0,1210.0,45.0,263.0,3427.0,1688.0,,,1938.0,626.0,,,1518.0,,,2406.0,,,21.0,,9.0,,960.0,,122.0,700.0,47.0,1835.0,111.0,,264.0,,7486.0,2362.0,416.0,9.0,1562.0,,3377.0,1629.0,334.0,,,,298.0,0.0,1826.0,6174.0,3610.0,1138.0,455.0,62.0,,1672.0,848.0,1746.0,4312.0,1326.0,86.0,2223.0,75.0,2529.0,,5687.0,13.0,,,211.0,1773.0,,224.0,1429.0,,,2835.0,,1005.0,155.0,10335.0,,94.0,6660.0,235.0,1075.0,2170.0,247.0,4070.0,21.0,,5002.0,20146.0,405.0,4180.0,478.0,88.0,,1636.0,2076.0,2195.0,14.0,,1255.0,29362.0,,3508.0,,1097.0,750.0,1035.0,1813.0,12599.0,15.0,736.0,1561.0,26629.0,34.0,9488.0,,394.0,,0.0,,590.0,2519.0,936.0,,1461.0,811.0,108.0,64.0,125.0,101.0,1133.0,,,,,0.0,0.0,0.0,235.0,151.0,82.0,333.0,6882.0,1232.0,4047.0,2468.0,1440.0,3678.0,,
2017-10,183.0,82.0,,,,,,,,,,,,,,,,,,307.0,,,,,26.0,,4047.0,1436.0,1432.0,763.0,40.0,1458.0,1291.0,2088.0,2054.0,2966.0,145.0,2302.0,28.0,163.0,1584.0,584.0,,141.0,,288.0,,4.0,233.0,,2188.0,,218.0,0.0,2163.0,6410.0,12.0,,,906.0,,5360.0,261.0,592.0,296.0,933.0,4140.0,999.0,1710.0,,512.0,455.0,,1215.0,,185.0,322.0,0.0,255.0,0.0,792.0,1092.0,98.0,,95.0,625.0,,1363.0,967.0,5069.0,,1949.0,2065.0,364.0,1141.0,42.0,265.0,3393.0,1839.0,,,1784.0,563.0,,,1681.0,,,2764.0,,,18.0,,8.0,,820.0,,108.0,657.0,43.0,1871.0,117.0,,285.0,,6844.0,2218.0,463.0,20.0,1104.0,,3415.0,1351.0,313.0,,,,285.0,0.0,1584.0,5887.0,3367.0,1220.0,464.0,41.0,,1422.0,811.0,1729.0,3935.0,1471.0,90.0,2667.0,76.0,2858.0,,5101.0,9.0,,,202.0,1770.0,,244.0,1434.0,,,2645.0,,883.0,140.0,11676.0,,115.0,6438.0,275.0,1032.0,1777.0,235.0,3911.0,27.0,,4675.0,18861.0,424.0,3796.0,408.0,110.0,5816.0,1648.0,1927.0,1995.0,12.0,13760.0,1362.0,27405.0,,3403.0,,989.0,587.0,1031.0,2028.0,12867.0,11.0,683.0,1413.0,25124.0,37.0,7990.0,,400.0,,0.0,,565.0,2696.0,878.0,,1420.0,785.0,87.0,66.0,76.0,62.0,891.0,,,,,0.0,0.0,0.0,208.0,181.0,59.0,317.0,6823.0,1161.0,4067.0,2122.0,1268.0,3477.0,,
