Week,1960-1969,Afweer,Aids,Amantadine,Antigene_drift,Antigene_shift,Astma,Aviaire_influenza,Azerbeidzjan,Aziatische_griep,Bloedtransfusie,Borstvoeding,Buikgriep,COPD,Cytostaticum,Darminfectie,Diabetes_mellitus,Ebola,Echinacea_(plant),Eerste_Wereldoorlog,Eiwitmantel,Endemie_(geneeskunde),Epidemie,Genetica,Griep,Griepprik,H1N1,H2N2,H3N2,H5N1,H5N2,H7N9,Hemagglutinine,Hiv,Hoest,Hoesten,Hong_Kong_griep,Hongkong,Hongkonggriep,Hoofdpijn,Immuundeficiëntie,Immuunsysteem,Incubatieperiode,Infectie,Infectieziekte,Influenza,Influenzavirus_A,Keel_(anatomie),Keelpijn,Koorts,Koude_rilling,Koude_rillingen,La_Gloria_(Veracruz),Lijst_van_longziekten,Marburgvirus,Mexicaanse_griep,Morbiditeitsgraad,Mortaliteit,Mutatie_(biologie),Neuraminidase,Opportunistische_infectie,Orthomyxovirus,Oseltamivir,Palmitoylethanolamide,Pandemie,Pandemrix,Pathogeen,Pokken,Pulmonologie,Recombinatie_(genetica),SARS,Spaanse_griep,Spierpijn,Steenpuist,Symptoom,Vaccin,Varkensgriep,Verkoudheid,Virologie,Virulentie,Virus_(biologie),Virusinfectie,Vogelgriep,Vogelpest,Wereldgezondheidsorganisatie,Ziekte
2015-01,,105.0,,,22.0,27.0,,14.0,430.0,22.0,249.0,180.0,486.0,,9.0,17.0,,,0.0,2681.0,27.0,0.0,,,543.0,37.0,,,,,,,43.0,,92.0,22.0,1.0,,78.0,221.0,0.0,423.0,169.0,242.0,158.0,,,0.0,28.0,1031.0,207.0,1.0,0.0,50.0,,145.0,42.0,71.0,0.0,,66.0,,,,,,154.0,,33.0,0.0,,231.0,173.0,272.0,93.0,,27.0,367.0,39.0,49.0,0.0,2.0,16.0,222.0,200.0,200.0
2015-02,,346.0,,,54.0,66.0,,25.0,1431.0,64.0,1128.0,359.0,916.0,,18.0,41.0,,,0.0,11755.0,42.0,0.0,,,1579.0,67.0,,,,,,,113.0,,163.0,35.0,1.0,,106.0,554.0,0.0,1104.0,564.0,758.0,413.0,,,0.0,44.0,2523.0,496.0,3.0,0.0,147.0,,324.0,124.0,184.0,0.0,,142.0,,,,,,497.0,,75.0,0.0,,456.0,469.0,533.0,240.0,,72.0,897.0,119.0,174.0,0.0,6.0,48.0,435.0,509.0,567.0
2015-03,,367.0,,,68.0,55.0,,19.0,1385.0,56.0,719.0,353.0,734.0,,20.0,32.0,,,0.0,11051.0,66.0,0.0,,,1831.0,62.0,,,,,,,102.0,,188.0,51.0,3.0,,118.0,488.0,3.0,1224.0,554.0,703.0,536.0,,,0.0,55.0,2674.0,485.0,2.0,0.0,184.0,,327.0,136.0,311.0,0.0,,124.0,,,,,,488.0,,94.0,0.0,,426.0,466.0,535.0,285.0,,82.0,891.0,91.0,135.0,0.0,15.0,27.0,392.0,473.0,505.0
2015-04,,354.0,,,76.0,62.0,,24.0,1868.0,77.0,611.0,342.0,837.0,,14.0,36.0,,,0.0,8641.0,43.0,0.0,,,2099.0,91.0,,,,,,,96.0,,213.0,41.0,0.0,,183.0,522.0,0.0,1436.0,551.0,706.0,467.0,,,0.0,52.0,2629.0,496.0,3.0,0.0,182.0,,377.0,99.0,169.0,0.0,,149.0,,,,,,479.0,,85.0,0.0,,543.0,530.0,545.0,268.0,,84.0,862.0,113.0,124.0,0.0,3.0,34.0,322.0,514.0,522.0
2015-05,,296.0,,,67.0,47.0,,25.0,1378.0,68.0,600.0,320.0,863.0,,25.0,33.0,,,0.0,7721.0,41.0,0.0,,,2518.0,69.0,,,,,,,75.0,,163.0,39.0,0.0,,144.0,430.0,0.0,1119.0,481.0,718.0,408.0,,,0.0,46.0,2844.0,423.0,0.0,0.0,167.0,,341.0,129.0,160.0,0.0,,137.0,,,,,,405.0,,102.0,0.0,,474.0,371.0,518.0,247.0,,96.0,865.0,127.0,133.0,0.0,8.0,37.0,268.0,373.0,470.0
2015-06,,375.0,,,54.0,46.0,,34.0,969.0,93.0,563.0,311.0,753.0,,19.0,30.0,,,0.0,7723.0,25.0,0.0,,,2541.0,103.0,,,,,,,66.0,,167.0,36.0,0.0,,181.0,464.0,0.0,1480.0,606.0,755.0,448.0,,,0.0,40.0,2607.0,441.0,1.0,0.0,147.0,,345.0,72.0,140.0,0.0,,134.0,,,,,,349.0,,108.0,0.0,,492.0,367.0,503.0,199.0,,112.0,942.0,130.0,138.0,0.0,3.0,34.0,306.0,366.0,535.0
2015-07,,344.0,,,35.0,48.0,,33.0,1179.0,46.0,552.0,362.0,756.0,,13.0,36.0,,,0.0,6751.0,46.0,0.0,,,2145.0,99.0,,,,,,,43.0,,196.0,35.0,3.0,,86.0,454.0,1.0,1515.0,537.0,777.0,416.0,,,0.0,46.0,2633.0,475.0,1.0,0.0,202.0,,322.0,77.0,144.0,0.0,62.0,130.0,,,,,,391.0,,111.0,0.0,,412.0,481.0,503.0,205.0,,90.0,945.0,112.0,107.0,0.0,6.0,33.0,252.0,355.0,535.0
2015-08,,250.0,,,29.0,30.0,,20.0,980.0,48.0,518.0,281.0,762.0,,22.0,34.0,,,0.0,5784.0,44.0,0.0,,,1794.0,65.0,,,,,,,47.0,,181.0,45.0,0.0,,103.0,420.0,3.0,1078.0,410.0,616.0,372.0,,,0.0,50.0,2425.0,425.0,0.0,0.0,165.0,,381.0,72.0,132.0,0.0,52.0,132.0,,,,,,400.0,,69.0,0.0,,418.0,377.0,486.0,188.0,,194.0,908.0,103.0,106.0,0.0,6.0,29.0,227.0,339.0,370.0
2015-09,,239.0,1690.0,,91.0,63.0,,37.0,952.0,63.0,484.0,387.0,731.0,,13.0,39.0,,,0.0,6210.0,44.0,0.0,,,1467.0,110.0,,,,,,,160.0,,184.0,33.0,0.0,1344.0,83.0,471.0,0.0,1048.0,398.0,722.0,406.0,,,0.0,53.0,2393.0,430.0,3.0,0.0,159.0,,302.0,58.0,137.0,0.0,118.0,129.0,,,,,,431.0,,90.0,0.0,,395.0,397.0,460.0,211.0,,233.0,823.0,121.0,170.0,0.0,3.0,34.0,210.0,391.0,477.0
2015-10,,268.0,2090.0,,31.0,35.0,,20.0,1559.0,53.0,567.0,315.0,605.0,,13.0,39.0,,,0.0,7800.0,39.0,0.0,,,1295.0,74.0,,,,,,,67.0,,203.0,26.0,0.0,1599.0,81.0,593.0,0.0,1089.0,429.0,712.0,461.0,,,0.0,57.0,2084.0,371.0,1.0,0.0,203.0,,437.0,94.0,132.0,0.0,42.0,127.0,,,,,,470.0,,102.0,0.0,,470.0,427.0,451.0,206.0,,206.0,757.0,109.0,153.0,0.0,9.0,33.0,267.0,459.0,513.0
