Week,1960-1969,Afweer,Aids,Amantadine,Antigene_drift,Antigene_shift,Astma,Aviaire_influenza,Azerbeidzjan,Aziatische_griep,Bloedtransfusie,Borstvoeding,Buikgriep,COPD,Cytostaticum,Darminfectie,Diabetes_mellitus,Ebola,Echinacea_(plant),Eerste_Wereldoorlog,Eiwitmantel,Endemie_(geneeskunde),Epidemie,Genetica,Griep,Griepprik,H1N1,H2N2,H3N2,H5N1,H5N2,H7N9,Hemagglutinine,Hiv,Hoest,Hoesten,Hong_Kong_griep,Hongkong,Hongkonggriep,Hoofdpijn,Immuundeficiëntie,Immuunsysteem,Incubatieperiode,Infectie,Infectieziekte,Influenza,Influenzavirus_A,Keel_(anatomie),Keelpijn,Koorts,Koude_rilling,Koude_rillingen,La_Gloria_(Veracruz),Lijst_van_longziekten,Marburgvirus,Mexicaanse_griep,Morbiditeitsgraad,Mortaliteit,Mutatie_(biologie),Neuraminidase,Opportunistische_infectie,Orthomyxovirus,Oseltamivir,Palmitoylethanolamide,Pandemie,Pandemrix,Pathogeen,Pokken,Pulmonologie,Recombinatie_(genetica),SARS,Spaanse_griep,Spierpijn,Steenpuist,Symptoom,Vaccin,Varkensgriep,Verkoudheid,Virologie,Virulentie,Virus_(biologie),Virusinfectie,Vogelgriep,Vogelpest,Wereldgezondheidsorganisatie,Ziekte
2018-01,,202.0,,,25.0,50.0,,5.0,1704.0,84.0,737.0,279.0,1766.0,,6.0,50.0,,,0.0,8689.0,19.0,0.0,,,2537.0,100.0,,,,,,,44.0,,194.0,16.0,0.0,,113.0,303.0,173.0,886.0,236.0,531.0,228.0,,,0.0,170.0,2008.0,571.0,86.0,0.0,213.0,,421.0,66.0,248.0,0.0,,103.0,,,,,,388.0,,76.0,0.0,,855.0,315.0,731.0,192.0,,80.0,1403.0,76.0,88.0,0.0,6.0,9.0,136.0,271.0,310.0
2018-02,,289.0,,,48.0,68.0,,17.0,1339.0,82.0,805.0,432.0,1580.0,,10.0,42.0,,,0.0,10674.0,47.0,0.0,,,2733.0,115.0,,,,,,,57.0,,182.0,20.0,0.0,,161.0,304.0,218.0,1298.0,291.0,590.0,315.0,,,0.0,150.0,1945.0,583.0,92.0,0.0,199.0,,487.0,71.0,153.0,0.0,,108.0,,,,,,438.0,,73.0,0.0,,857.0,447.0,647.0,218.0,,57.0,1103.0,102.0,76.0,0.0,2.0,14.0,174.0,492.0,485.0
2018-03,,336.0,,,49.0,55.0,,14.0,1251.0,100.0,818.0,404.0,1771.0,,3.0,45.0,,,0.0,11020.0,62.0,0.0,,,2905.0,161.0,,,,,,,73.0,,187.0,15.0,0.0,,125.0,253.0,223.0,1363.0,282.0,639.0,328.0,,,0.0,122.0,2388.0,701.0,91.0,0.0,225.0,,501.0,67.0,248.0,0.0,,90.0,,,,,,430.0,,106.0,0.0,,1048.0,316.0,808.0,219.0,,85.0,1161.0,113.0,109.0,0.0,4.0,21.0,163.0,362.0,410.0
2018-04,,309.0,,,36.0,51.0,,20.0,1284.0,103.0,817.0,648.0,1783.0,,7.0,40.0,,,0.0,10500.0,35.0,0.0,,,3333.0,124.0,,,,,,,39.0,,212.0,8.0,0.0,,139.0,251.0,208.0,1267.0,315.0,633.0,392.0,,,0.0,191.0,2795.0,771.0,87.0,0.0,237.0,,469.0,77.0,157.0,0.0,,96.0,,,,,,486.0,,67.0,0.0,,972.0,361.0,657.0,221.0,,67.0,1127.0,110.0,91.0,0.0,8.0,11.0,190.0,362.0,467.0
2018-05,,241.0,,,29.0,44.0,,14.0,1107.0,104.0,698.0,530.0,1567.0,,5.0,36.0,,,0.0,8661.0,37.0,0.0,,,3539.0,113.0,,,,,,,56.0,,161.0,13.0,0.0,,135.0,252.0,167.0,994.0,249.0,527.0,328.0,,,0.0,137.0,2448.0,570.0,72.0,0.0,227.0,,585.0,44.0,119.0,0.0,,75.0,,,,,,365.0,,95.0,0.0,,1219.0,332.0,592.0,201.0,,94.0,1047.0,110.0,93.0,0.0,7.0,22.0,193.0,320.0,367.0
2018-06,,193.0,,,34.0,41.0,,8.0,1361.0,103.0,499.0,345.0,1371.0,,8.0,23.0,,,0.0,7283.0,32.0,0.0,,,3139.0,128.0,,,,,,,47.0,,135.0,13.0,0.0,,95.0,204.0,127.0,766.0,199.0,506.0,249.0,,,0.0,109.0,2213.0,556.0,75.0,0.0,162.0,,545.0,25.0,129.0,0.0,,80.0,,,,,,322.0,,54.0,0.0,,903.0,243.0,472.0,158.0,,58.0,1085.0,110.0,80.0,0.0,10.0,17.0,142.0,258.0,319.0
2018-07,,218.0,,,37.0,38.0,,9.0,1440.0,166.0,743.0,425.0,1640.0,,6.0,26.0,,,0.0,7922.0,29.0,0.0,,,4218.0,125.0,,,,,,,44.0,,160.0,22.0,0.0,,118.0,259.0,172.0,845.0,294.0,400.0,353.0,,,0.0,199.0,3245.0,751.0,119.0,0.0,191.0,,698.0,42.0,147.0,0.0,28.0,74.0,,,,,,354.0,,81.0,0.0,,1005.0,336.0,660.0,500.0,,259.0,1386.0,97.0,73.0,0.0,4.0,21.0,172.0,337.0,412.0
2018-08,,236.0,,,37.0,37.0,,26.0,1448.0,95.0,793.0,380.0,1755.0,,5.0,42.0,,,0.0,9899.0,24.0,0.0,,,4250.0,87.0,,,,,,,50.0,,187.0,28.0,0.0,,122.0,272.0,160.0,992.0,320.0,572.0,380.0,,,0.0,184.0,3216.0,716.0,100.0,0.0,189.0,,618.0,43.0,147.0,0.0,41.0,78.0,,,,,,410.0,,103.0,0.0,,1052.0,346.0,617.0,208.0,,80.0,1594.0,114.0,128.0,0.0,13.0,13.0,198.0,433.0,446.0
2018-09,,199.0,1491.0,,28.0,43.0,,21.0,1479.0,295.0,707.0,269.0,1691.0,,4.0,30.0,,,0.0,7949.0,28.0,0.0,,,3879.0,127.0,,,,,,,82.0,,168.0,14.0,0.0,2903.0,303.0,242.0,163.0,910.0,277.0,530.0,436.0,,,0.0,182.0,2766.0,582.0,106.0,0.0,151.0,,952.0,45.0,162.0,0.0,50.0,77.0,,,,,,342.0,,89.0,0.0,,4310.0,287.0,574.0,159.0,,86.0,1395.0,64.0,86.0,0.0,6.0,26.0,439.0,324.0,359.0
2018-10,,167.0,1612.0,,19.0,20.0,,15.0,1093.0,115.0,563.0,206.0,1360.0,,7.0,32.0,,,0.0,7036.0,21.0,0.0,,,2633.0,65.0,,,,,,,44.0,,117.0,11.0,0.0,1989.0,116.0,197.0,121.0,766.0,189.0,444.0,240.0,,,0.0,128.0,2142.0,412.0,74.0,0.0,130.0,,520.0,33.0,87.0,0.0,22.0,75.0,,,,,,274.0,,54.0,0.0,,1650.0,245.0,530.0,135.0,,65.0,839.0,60.0,129.0,0.0,10.0,16.0,163.0,308.0,349.0
