Week,1948,1950-1959,1957,1958,1960-1969,1968,1970-1979,1994,1997,1999,2000,2002,2003,2004,2005,2006,2007,20e_eeuw,AIDS,Aandoening,Acetylsalicylzuur,Afrika,Afweer,Aids,Amantadine,Aminozuur,Antibioticum,Antigene_drift,Antigene_shift,Antistof,Arts,Aspirine,Astma,Aves,Aviaire_influenza,Aziatische_griep,Azië,B-cel,Bacterie,Bacteriën,Basalecelcarcinoom,Beenmerg,Beenmergtransplantatie,België,Bestraling,Bevalling,Bindweefsel,Biologie,Bloed,Bloed-hersenbarrière,Bloedarmoede,Bloedplaatje,Bof,Bronchitis,Buikgriep,COPD,Cel_(biologie),Celmembraan,Chemotherapie,Chirurgie,Chordadieren,Chromosoom,Conserveermiddel,Coronavirus,Coronavirussen,Creative_Commons,Cytoplasma,Cytosol,Cytostaticum,Desoxyribonucleïnezuur,Diabetes_mellitus,Diarree,Dierenrijk,Dierproef,Dizuurstof,Dood,Dopamine,Drop,Duitsland,Eerste_Wereldoorlog,Eetlust,Eiwitmantel,Emfyseem,Endemie_(geneeskunde),Engeland,Engels,Enzym,Epidemie,Eten,Ethylkwik,Eukaryoten,Europa_(werelddeel),Ex_vivo,Fagocytose,Frankrijk,Fruitvlieg,Gen,Geneeskunde,Geneesmiddel,Genetica,Genoom,Geslacht_(biologie),Giftigheid,Grieks,Griep,Griepprik,H1N1,H2N2,H3N2,H5N1,H5N2,H7N7,H7N9,Hart,Hart-_en_vaatziekten,Hartaandoening,Hartinfarct,Hemagglutinine,Hematologie,Hemoglobine,Hersenen,Hersenvliesontsteking,Hiv,Hoest,Hoesten,Hong_Kong_griep,Honger,Hongkong,Hongkonggriep,Hoofdpijn,Huid,Immuniteit,Immuniteit_(grondstuk),Immunoglobuline,Immunologie,Immuundeficiëntie,Immuunsuppressiva,Immuunsuppressivum,Immuunsysteem,In_silico,In_vitro,In_vivo,India,Inenting,Infectie,Infectieziekte,Influenza,Influenzavirus_A,Ion_(deeltje),Italië,Japan,Kanker,Keel_(anatomie),Keelpijn,Koolstof,Koorts,Koude_rilling,Koude_rillingen,LD50,Latijn,Leukemie,Lever,Lichaamstemperatuur,Long_(orgaan),Longaandoening,Longemfyseem,Longontsteking,Lymfeklier,Lymfeklierkanker,Lymfoom,Maag,Maag-darmstelsel,Macrofaag,Malaria,Meiose,Mens,Messenger_RNA,Mexicaanse_griep,Mexico_(land),Micro-organisme,Middellandse_Zeegebied,Molecuul,Morbiditeitsgraad,Mortaliteit,Mutant,Mutatie,Mutatie_(biologie),Nederland,Neuraminidase,Nier_(biologie),Ontsteking_(geneeskunde),Open_access,Oraal,Orgaan,Organisme,Orthomyxovirus,Oseltamivir,Palmitoylethanolamide,Pandemie,Parasiet,Pathogeen,Peptide,Pest_(ziekte),Pijn,Planten,Pokken,Polio,Polyploïdie,Proefdier,Proteïne,Pulmonologie,RNA-polymerase,RNA-virus,Radiotherapie,Recombinatie_(genetica),Resistentie,Rhinovirus,Ribonucleïnezuur,Rinovirus,Rode_bloedcel,Roken_(tabak),Rooms-Katholieke_Kerk,Rusland,SARS,Salicylaat,Schimmels,Slijm,Slijmvlies,Soort,Spaanse_griep,Spanje,Spier_(anatomie),Spierpijn,Stamceltransplantatie,Steenpuist,Sterfte,Sterftecijfer,Stikstof_(element),Stofwisseling,Structuurformule,Symptoom,Tamiflu,Temperatuur,Turkije,Tweede_Wereldoorlog,Urine,Vaccin,Vaccinatie,Varkensgriep,Verenigd_Koninkrijk,Verenigde_Naties,Verenigde_Staten,Verkoudheid,Virus_(biologie),Virusinfectie,Vlaams,Vlaanderen,Vogelgriep,Vogelpest,Vogels,Volksrepubliek_China,Vrije_kennis,Water,Waterpokken,Waterstof_(element),Weefsel_(biologie),Wereldgezondheidsorganisatie,Witte_bloedcel,Ziekte,Ziekte_van_Parkinson,Zoogdieren,Zuurstof_(element),Zwangerschap,Zweden
2015-01,,,,,,,,,,,,,,,,,,502.0,,74.0,501.0,,105.0,,,776.0,441.0,22.0,27.0,35.0,,,,,14.0,22.0,4.0,146.0,106.0,3.0,43.0,217.0,21.0,,17.0,315.0,301.0,,351.0,5.0,498.0,246.0,,,486.0,,0.0,232.0,314.0,159.0,295.0,869.0,26.0,,37.0,,139.0,,9.0,3.0,,227.0,477.0,93.0,213.0,,,,,2681.0,11.0,27.0,199.0,0.0,,,544.0,,,6.0,327.0,0.0,,216.0,2017.0,15.0,,343.0,374.0,,242.0,0.0,71.0,356.0,543.0,37.0,,,,,,,,,79.0,5.0,373.0,43.0,131.0,,484.0,506.0,,92.0,22.0,1.0,58.0,,78.0,221.0,375.0,37.0,0.0,,143.0,0.0,2.0,43.0,423.0,,,,,112.0,242.0,158.0,,,0.0,23.0,,,0.0,28.0,410.0,1031.0,207.0,1.0,,498.0,695.0,,257.0,0.0,2.0,28.0,921.0,332.0,80.0,8.0,275.0,352.0,208.0,,288.0,,,145.0,0.0,213.0,77.0,332.0,42.0,71.0,,72.0,0.0,,,0.0,0.0,,,184.0,209.0,,,,,248.0,154.0,,0.0,176.0,385.0,,,0.0,13.0,13.0,33.0,103.0,49.0,151.0,0.0,4.0,,0.0,,260.0,0.0,57.0,,,10.0,465.0,77.0,162.0,197.0,231.0,1815.0,0.0,173.0,95.0,272.0,13.0,94.0,0.0,520.0,129.0,93.0,,279.0,1921.0,2496.0,,,37.0,27.0,,,3147.0,367.0,0.0,2.0,,,16.0,222.0,,1057.0,35.0,,382.0,0.0,0.0,200.0,444.0,200.0,934.0,579.0,0.0,474.0,
2015-02,,436.0,,,,,655.0,,,,,,,,,,,1237.0,,179.0,1416.0,,346.0,,,2193.0,1123.0,54.0,66.0,110.0,,,,,25.0,64.0,12.0,424.0,315.0,6.0,66.0,556.0,62.0,,36.0,697.0,794.0,,1115.0,7.0,1332.0,740.0,,,916.0,,0.0,610.0,793.0,383.0,745.0,1571.0,64.0,,108.0,,400.0,,18.0,6.0,,569.0,1362.0,345.0,679.0,,,,,11755.0,20.0,42.0,591.0,0.0,,,1712.0,,,56.0,912.0,0.0,,562.0,8671.0,36.0,,766.0,1005.0,,481.0,0.0,180.0,817.0,1579.0,67.0,,,,,,,,,239.0,3.0,1136.0,113.0,459.0,,1379.0,1789.0,,163.0,35.0,1.0,157.0,,106.0,554.0,1001.0,126.0,0.0,,325.0,0.0,3.0,166.0,1104.0,,,,,367.0,758.0,413.0,,,0.0,15.0,,,0.0,44.0,1320.0,2523.0,496.0,3.0,,1229.0,1761.0,,840.0,0.0,4.0,76.0,2301.0,818.0,295.0,39.0,834.0,873.0,529.0,,793.0,,,324.0,0.0,583.0,200.0,805.0,124.0,184.0,136.0,312.0,0.0,,,0.0,0.0,,,564.0,689.0,,,,,739.0,497.0,,0.0,498.0,1040.0,,,0.0,17.0,5.0,75.0,197.0,107.0,348.0,0.0,28.0,,4.0,,853.0,0.0,77.0,,,14.0,1502.0,130.0,301.0,565.0,456.0,5073.0,0.0,469.0,290.0,533.0,23.0,195.0,0.0,1316.0,342.0,240.0,,2168.0,4410.0,8685.0,,,78.0,72.0,,,7800.0,897.0,0.0,6.0,,,48.0,435.0,,2355.0,52.0,,903.0,0.0,0.0,509.0,1192.0,567.0,2055.0,1655.0,0.0,950.0,
2015-03,,574.0,,,,,777.0,,,,,,,,,,,1202.0,,180.0,1572.0,3324.0,367.0,,,1956.0,1099.0,68.0,55.0,113.0,,,,,19.0,56.0,5.0,425.0,348.0,1.0,65.0,508.0,42.0,,34.0,745.0,703.0,,1113.0,3.0,1324.0,783.0,,,734.0,,0.0,599.0,620.0,411.0,730.0,1442.0,58.0,,98.0,,366.0,,20.0,4.0,,511.0,1391.0,310.0,639.0,,,,,11051.0,36.0,66.0,702.0,0.0,,,2034.0,,,19.0,1022.0,0.0,,565.0,6984.0,40.0,,769.0,1084.0,,413.0,0.0,212.0,818.0,1831.0,62.0,,,,,,,,,279.0,9.0,1316.0,102.0,522.0,,1372.0,1600.0,,188.0,51.0,3.0,171.0,,118.0,488.0,1061.0,139.0,0.0,,292.0,3.0,5.0,163.0,1224.0,,,,,363.0,703.0,536.0,,,0.0,20.0,,,0.0,55.0,1397.0,2674.0,485.0,2.0,,1252.0,1693.0,,855.0,0.0,6.0,99.0,2425.0,803.0,215.0,47.0,780.0,983.0,555.0,,820.0,,,327.0,0.0,615.0,246.0,850.0,136.0,311.0,125.0,259.0,0.0,,,0.0,0.0,,,592.0,687.0,,,,,733.0,488.0,,0.0,562.0,1197.0,,92.0,0.0,11.0,3.0,94.0,271.0,113.0,316.0,0.0,39.0,,0.0,,864.0,0.0,116.0,,,18.0,1313.0,154.0,291.0,574.0,426.0,5074.0,0.0,466.0,220.0,535.0,27.0,233.0,0.0,1238.0,365.0,285.0,,1015.0,4479.0,8362.0,,,95.0,82.0,,,7605.0,891.0,0.0,15.0,,,27.0,392.0,,2563.0,92.0,,1013.0,0.0,0.0,473.0,1349.0,505.0,2299.0,1798.0,0.0,1032.0,
2015-04,,530.0,,,,,789.0,,,,,,,,,,,1170.0,,196.0,1936.0,3350.0,354.0,,,1896.0,1190.0,76.0,62.0,151.0,,,,,24.0,77.0,4.0,557.0,319.0,1.0,99.0,489.0,45.0,,37.0,635.0,680.0,,1010.0,0.0,1323.0,876.0,,,837.0,,0.0,453.0,717.0,360.0,745.0,1380.0,50.0,,104.0,,329.0,,14.0,1.0,,528.0,1410.0,339.0,632.0,,,,,8641.0,28.0,43.0,720.0,0.0,,,1828.0,,,9.0,878.0,0.0,,467.0,5883.0,48.0,,914.0,1050.0,,446.0,0.0,180.0,783.0,2099.0,91.0,,,,,,,,,309.0,8.0,1147.0,96.0,515.0,,1228.0,1954.0,,213.0,41.0,0.0,170.0,,183.0,522.0,1239.0,111.0,0.0,,282.0,0.0,12.0,150.0,1436.0,,,,,317.0,706.0,467.0,,,0.0,3.0,,,0.0,52.0,1305.0,2629.0,496.0,3.0,,1183.0,1568.0,,859.0,0.0,1.0,87.0,2138.0,816.0,203.0,44.0,744.0,885.0,626.0,,756.0,,,377.0,0.0,630.0,206.0,824.0,99.0,169.0,109.0,259.0,0.0,,,0.0,0.0,,,557.0,616.0,,,,,654.0,479.0,,0.0,548.0,1212.0,,122.0,0.0,17.0,0.0,85.0,172.0,130.0,289.0,0.0,23.0,,0.0,,826.0,0.0,108.0,,,7.0,1566.0,156.0,270.0,576.0,543.0,5584.0,0.0,530.0,210.0,545.0,26.0,244.0,0.0,1340.0,402.0,268.0,,862.0,4983.0,7059.0,,,97.0,84.0,,,7173.0,862.0,0.0,3.0,,,34.0,322.0,,3349.0,104.0,,1077.0,0.0,0.0,514.0,1299.0,522.0,2850.0,1520.0,0.0,903.0,
2015-05,,493.0,,,,,907.0,,,,,,,,,,,1133.0,,157.0,1289.0,2923.0,296.0,,,1769.0,1051.0,67.0,47.0,128.0,,,,,25.0,68.0,10.0,408.0,309.0,2.0,75.0,438.0,47.0,,28.0,677.0,535.0,,1021.0,0.0,1258.0,802.0,,,863.0,,0.0,477.0,642.0,356.0,746.0,1100.0,49.0,,109.0,,314.0,,25.0,5.0,,493.0,1364.0,338.0,576.0,,,,,7721.0,34.0,41.0,499.0,0.0,,,1609.0,,,15.0,736.0,0.0,,343.0,5516.0,37.0,,855.0,1016.0,,570.0,0.0,217.0,779.0,2518.0,69.0,,,,,,,,,288.0,8.0,936.0,75.0,468.0,,1245.0,1585.0,,163.0,39.0,0.0,152.0,,144.0,430.0,1086.0,130.0,0.0,,214.0,0.0,10.0,131.0,1119.0,,,,,378.0,718.0,408.0,,,0.0,21.0,,,0.0,46.0,1060.0,2844.0,423.0,0.0,,1107.0,1555.0,,882.0,0.0,2.0,82.0,1977.0,714.0,229.0,59.0,681.0,803.0,427.0,,708.0,,,341.0,0.0,630.0,189.0,706.0,129.0,160.0,89.0,256.0,0.0,,,0.0,0.0,,,608.0,584.0,,,,,604.0,405.0,,0.0,481.0,1150.0,,89.0,1.0,19.0,3.0,102.0,153.0,121.0,280.0,0.0,30.0,,1.0,,707.0,0.0,67.0,,,15.0,1455.0,159.0,264.0,606.0,474.0,5481.0,0.0,371.0,212.0,518.0,38.0,247.0,0.0,1196.0,368.0,247.0,,829.0,4601.0,7709.0,767.0,,95.0,96.0,,,7452.0,865.0,0.0,8.0,,,37.0,268.0,,2454.0,92.0,,991.0,0.0,0.0,373.0,1174.0,470.0,2000.0,1559.0,0.0,921.0,
2015-06,,538.0,,,,,763.0,,,,,,,,,,,1124.0,,227.0,1500.0,2895.0,375.0,,,1624.0,1082.0,54.0,46.0,190.0,,,,,34.0,93.0,11.0,595.0,298.0,8.0,110.0,394.0,36.0,,24.0,631.0,554.0,,1020.0,6.0,1255.0,713.0,,,753.0,,0.0,446.0,677.0,363.0,685.0,1189.0,48.0,,107.0,,359.0,,19.0,8.0,,548.0,1480.0,282.0,560.0,,,,,7723.0,25.0,25.0,446.0,0.0,,,1613.0,,,17.0,745.0,0.0,,371.0,5665.0,33.0,,726.0,1038.0,,338.0,0.0,172.0,779.0,2541.0,103.0,,,,,,,,,324.0,12.0,987.0,66.0,470.0,,1288.0,1593.0,,167.0,36.0,0.0,161.0,,181.0,464.0,930.0,163.0,0.0,,235.0,0.0,6.0,142.0,1480.0,,,,,473.0,755.0,448.0,,,0.0,17.0,,,0.0,40.0,1111.0,2607.0,441.0,1.0,,1075.0,1570.0,,916.0,0.0,4.0,63.0,2139.0,796.0,375.0,52.0,791.0,795.0,501.0,,427.0,,,345.0,0.0,683.0,192.0,835.0,72.0,140.0,93.0,262.0,0.0,,,0.0,0.0,,,660.0,639.0,,,,,710.0,349.0,,0.0,492.0,1033.0,,105.0,2.0,11.0,7.0,108.0,117.0,124.0,277.0,0.0,33.0,,1.0,,674.0,0.0,90.0,,,11.0,1325.0,147.0,288.0,564.0,492.0,5082.0,0.0,367.0,192.0,503.0,25.0,227.0,0.0,975.0,283.0,199.0,,844.0,4536.0,7365.0,732.0,,183.0,112.0,,,7094.0,942.0,0.0,3.0,332.0,,34.0,306.0,,2209.0,80.0,,1003.0,0.0,0.0,366.0,1250.0,535.0,1937.0,1573.0,0.0,956.0,
2015-07,,491.0,,,,,624.0,,,,,,,,,,,932.0,,239.0,1390.0,2720.0,344.0,,,1468.0,906.0,35.0,48.0,191.0,,,,,33.0,46.0,13.0,541.0,319.0,2.0,75.0,431.0,38.0,,34.0,577.0,606.0,,830.0,1.0,1481.0,727.0,,,756.0,,0.0,308.0,551.0,387.0,769.0,967.0,58.0,,230.0,,265.0,,13.0,11.0,,544.0,1401.0,318.0,544.0,742.0,,,,6751.0,16.0,46.0,401.0,0.0,,,1244.0,,,17.0,626.0,0.0,,289.0,5700.0,30.0,,786.0,945.0,,320.0,0.0,201.0,717.0,2145.0,99.0,,,,,,,,,312.0,14.0,1018.0,43.0,498.0,,1258.0,1640.0,,196.0,35.0,3.0,128.0,,86.0,454.0,1030.0,114.0,0.0,,256.0,1.0,4.0,159.0,1515.0,,,,,381.0,777.0,416.0,,,0.0,23.0,,,0.0,46.0,1049.0,2633.0,475.0,1.0,,1051.0,1418.0,1378.0,812.0,0.0,7.0,69.0,2081.0,709.0,273.0,53.0,643.0,736.0,485.0,,487.0,,,322.0,0.0,658.0,164.0,799.0,77.0,144.0,88.0,230.0,0.0,,62.0,0.0,0.0,,,579.0,549.0,,,,,587.0,391.0,,0.0,387.0,927.0,,110.0,2.0,19.0,7.0,111.0,104.0,114.0,274.0,0.0,34.0,,0.0,,780.0,0.0,66.0,,,12.0,1334.0,145.0,265.0,557.0,412.0,4844.0,0.0,481.0,162.0,503.0,34.0,233.0,0.0,1124.0,276.0,205.0,,739.0,4351.0,6962.0,605.0,,166.0,90.0,,,7266.0,945.0,0.0,6.0,296.0,,33.0,252.0,,1932.0,74.0,,939.0,0.0,0.0,355.0,1244.0,535.0,1940.0,1596.0,0.0,842.0,
2015-08,,452.0,,,,,645.0,,,,,,,,,,,1013.0,,161.0,1165.0,2325.0,250.0,,,1368.0,948.0,29.0,30.0,88.0,,,,,20.0,48.0,12.0,332.0,281.0,2.0,71.0,351.0,44.0,,28.0,597.0,634.0,,853.0,0.0,1325.0,634.0,,,762.0,,0.0,321.0,538.0,387.0,713.0,934.0,49.0,,131.0,,273.0,,22.0,6.0,,532.0,1312.0,220.0,440.0,808.0,,,,5784.0,27.0,44.0,442.0,0.0,,,1078.0,,,12.0,624.0,0.0,,227.0,4638.0,23.0,,798.0,855.0,,292.0,0.0,140.0,691.0,1794.0,65.0,,,,,,,,,251.0,11.0,977.0,47.0,475.0,,1136.0,1412.0,,181.0,45.0,0.0,132.0,,103.0,420.0,812.0,112.0,0.0,,230.0,3.0,5.0,143.0,1078.0,,,,,308.0,616.0,372.0,,,0.0,18.0,,,0.0,50.0,959.0,2425.0,425.0,0.0,,1064.0,1433.0,1327.0,580.0,0.0,8.0,55.0,2028.0,705.0,282.0,68.0,609.0,708.0,448.0,,415.0,,,381.0,0.0,480.0,192.0,671.0,72.0,132.0,71.0,218.0,0.0,,52.0,0.0,0.0,,,444.0,496.0,,,,,602.0,400.0,,0.0,397.0,723.0,,102.0,0.0,12.0,1.0,69.0,107.0,104.0,255.0,0.0,31.0,,1.0,,589.0,0.0,70.0,,,19.0,1192.0,137.0,304.0,485.0,418.0,4040.0,0.0,377.0,123.0,486.0,21.0,185.0,0.0,950.0,250.0,188.0,,639.0,3705.0,5787.0,583.0,,68.0,194.0,,,6003.0,908.0,0.0,6.0,251.0,,29.0,227.0,,2011.0,43.0,,759.0,0.0,0.0,339.0,1020.0,370.0,1753.0,1299.0,0.0,768.0,
2015-09,,474.0,,,,,695.0,,,,,,,,,,,1052.0,,220.0,1398.0,2407.0,239.0,1690.0,,1769.0,1005.0,91.0,63.0,63.0,,,,,37.0,63.0,14.0,334.0,292.0,4.0,75.0,360.0,40.0,,21.0,601.0,571.0,,825.0,1.0,1266.0,618.0,,,731.0,,0.0,341.0,605.0,417.0,830.0,988.0,36.0,,124.0,,254.0,128.0,13.0,7.0,,536.0,1225.0,264.0,490.0,789.0,,,,6210.0,18.0,44.0,598.0,0.0,,,1211.0,,,16.0,608.0,0.0,,266.0,4905.0,52.0,,791.0,872.0,,384.0,0.0,144.0,711.0,1467.0,110.0,,,,,,,,,235.0,7.0,917.0,160.0,454.0,,1148.0,1652.0,,184.0,33.0,0.0,130.0,1344.0,83.0,471.0,890.0,86.0,0.0,,245.0,0.0,5.0,122.0,1048.0,,,,,348.0,722.0,406.0,,,0.0,29.0,,,0.0,53.0,971.0,2393.0,430.0,3.0,,1079.0,1404.0,1238.0,695.0,0.0,2.0,90.0,2011.0,738.0,241.0,54.0,596.0,682.0,378.0,,470.0,,,302.0,0.0,528.0,149.0,691.0,58.0,137.0,107.0,218.0,0.0,,118.0,0.0,0.0,,,434.0,539.0,,,,,609.0,431.0,,0.0,405.0,830.0,,128.0,0.0,20.0,13.0,90.0,95.0,83.0,297.0,0.0,31.0,,6.0,,579.0,0.0,49.0,,,9.0,1226.0,130.0,251.0,528.0,395.0,4806.0,0.0,397.0,171.0,460.0,22.0,180.0,0.0,945.0,281.0,211.0,,916.0,3767.0,6386.0,618.0,,95.0,233.0,,,7330.0,823.0,0.0,3.0,300.0,,34.0,210.0,,2093.0,59.0,,1023.0,0.0,0.0,391.0,1023.0,477.0,1964.0,1701.0,0.0,795.0,
2015-10,,558.0,,,,,785.0,,,,,,,,,,,1172.0,,220.0,1479.0,2856.0,268.0,2090.0,,1743.0,1093.0,31.0,35.0,86.0,,,,,20.0,53.0,11.0,352.0,327.0,4.0,81.0,501.0,52.0,,45.0,696.0,581.0,,1038.0,2.0,1517.0,768.0,,,605.0,,0.0,381.0,562.0,388.0,840.0,1215.0,73.0,,133.0,,342.0,142.0,13.0,4.0,,567.0,1432.0,404.0,562.0,893.0,,,,7800.0,28.0,39.0,494.0,0.0,,,1490.0,,,12.0,749.0,0.0,,333.0,5791.0,51.0,,814.0,1098.0,,407.0,0.0,211.0,749.0,1295.0,74.0,,,,,,,,,297.0,15.0,1002.0,67.0,456.0,,1314.0,1560.0,,203.0,26.0,0.0,155.0,1599.0,81.0,593.0,1077.0,116.0,0.0,,240.0,0.0,7.0,128.0,1089.0,,,,,360.0,712.0,461.0,,,0.0,18.0,,,0.0,57.0,1279.0,2084.0,371.0,1.0,,1227.0,1566.0,1378.0,628.0,0.0,8.0,77.0,1782.0,762.0,231.0,40.0,702.0,849.0,355.0,,556.0,,,437.0,0.0,606.0,200.0,797.0,94.0,132.0,80.0,261.0,0.0,,42.0,0.0,0.0,,,599.0,703.0,,,,,650.0,470.0,,0.0,412.0,1086.0,,99.0,2.0,18.0,6.0,102.0,99.0,114.0,313.0,0.0,26.0,,2.0,,845.0,0.0,36.0,,,13.0,1547.0,127.0,339.0,697.0,470.0,5223.0,0.0,427.0,206.0,451.0,25.0,219.0,0.0,1034.0,329.0,206.0,,968.0,4414.0,7889.0,681.0,,100.0,206.0,,,7154.0,757.0,0.0,9.0,346.0,,33.0,267.0,,2422.0,84.0,,888.0,0.0,0.0,459.0,1088.0,513.0,2027.0,1949.0,0.0,895.0,
